Overall Results - All Groups,,,,,
Pos,No.,Name,Class,Best Time/Heat,Model/Engine
1,962,Andrew Pinkerton,UNLIMITED - RWD,1:27.195,Miata
2,525,Jeremy Lowder,UNLIMITED - RWD,1:33.023,Camaro
3,325,Erin Sanford,TRACK MOD - RWD,1:33.814,240sx
4,29,Kyle McKiou,STREET MOD - RWD,1:33.826,GR Supra
5,307,Andy Hsiao,STREET MOD - RWD,1:34.186,Corvette
6,687,Jackie Ding,STREET GT - RWD,1:35.143,MR
7,701,Phil Grabow,UNLIMITED - AWD,1:35.402,WRX STi
8,115,Phillip Glass-Hess,TRACK MOD - RWD,1:35.823,Miata
9,570,Kyle Magnuson,STREET GT - RWD,1:36.769,Cayman
10,104,Evan McWhirter,UNLIMITED - RWD,1:37.039,Corvette
11,425,Zachary Lovoy,TRACK MOD - RWD,1:37.190,M3
12,333,Tony Barber,STREET - AWD,1:37.200,Model 3
13,40,Ben Bulthuis,STREET GT - RWD,1:37.782,Supra
14,882,Mark Kilgore,STREET GT - RWD,1:37.999,M4
15,18,Kevin Vue,CLUB TR - FWD,1:38.629,Integra
16,713,Matt Rouse,STREET GT - RWD,1:38.734,Corvette
17,781,Lyle Zyra,CLUB TR - RWD,1:38.954,GR86
18,674,David Entz,STREET GT - RWD,1:38.977,Cayman GT4
19,7,Halka Racing,STREET - AWD,1:38.987,Impreza
20,823,Dana Palmer,TRACK MOD - RWD,1:39.094,GT350
21,402,Anthony Lusano,CLUB TR - FWD,1:39.538,Civic
22,693,Alex Schwartz,TRACK MOD - AWD,1:40.000,Golf R
23,732,Chris Harper,STREET GT - RWD,1:40.170,440i
24,281,Randy Reeves,STREET MOD - RWD,1:40.338,Miata
25,13,Jerami Bailey,CLUB TR - RWD,1:40.572,FR-S
26,23,Rick Stengard,STREET GT - RWD,1:40.897,Camaro
27,232,Brian Tyson,CLUB TR - AWD,1:40.957,Focus RS
28,47,Kerry Kerr,UNLIMITED - RWD,1:41.017,M3
29,375,Jason Brumfield,STREET GT - RWD,1:41.163,M3
30,161,Todd Kaley,CLUB TR - RWD,1:41.824,S2000
31,461,Josh McQuaid,CLUB TR - RWD,1:41.957,S2000
32,298,Brian Flanagan,STREET - RWD,1:42.762,M3
33,132,Clayton Abercrombie,STREET MOD - RWD,1:42.944,Camaro
34,515,Jared Garcia,CLUB TR - RWD,1:43.477,S2000
35,329,Cameron Hall,CLUB TR - RWD,1:44.715,Miata
36,414,Julio Perez,CLUB TR - RWD,1:44.890,Z3
37,331,David Neil,CLUB TR - RWD,1:45.785,Miata
38,934,Cameron Boers,STREET - FWD,1:45.903,GTI
39,125,Kevin Head,CLUB TR - RWD,1:50.198,RX7
40,919,Xianwei Hou,STREET - RWD,1:50.670,370Z
41,143,Michael Robinson,CLUB TR - RWD,1:52.170,323i
42,91,Chris Rice,SUNDAE CUP - FWD,1:52.501,Fit
43,147,Brett Whisenant,CLUB TR - FWD,1:52.689,Fiesta ST
44,227,Dustin Stevenson,SUNDAE CUP - RWD,1:54.665,Miata
45,201,Faaez Dar,SUNDAE CUP - FWD,1:56.169,Fit
46,122,Jason Davidson,SUNDAE CUP - FWD,1:56.549,TSX
47,498,Bradley Folse,STREET - AWD,2:02.404,STI
