GLTC Qualifying,,,,,
Pos,No.,Name,Class,Best Tm,Points
1,3,Jeremy Swenson,GLTC - RWD,1:40.479,3
2,45,Paul Curley,GLTC - RWD,1:40.483,2
3,7,Luke McGrew,GLTC - RWD,1:41.581,1
4,41,James Houghton,GLTC - FWD,1:41.736,0
5,90,Matt Waldbaum,GLTC - RWD,1:41.954,0
6,484,Matan Rosenberg,GLTC - RWD,1:42.035,0
7,1,Gary Wimble,GLTC - RWD,1:42.454,0
8,11,Jon Kozlow,GLTC - RWD,1:43.142,0
9,47,Ryan Power,GLTC - RWD,1:43.171,0
10,71,Joel Morrison,GLTC - RWD,1:43.420,0
11,17,Tony Marchev,GLTC - RWD,1:43.539,0
12,98,Andrew Rains,GLTC - RWD,1:43.989,0
13,129,James Cathers,GLTC - RWD,1:44.116,0
14,4,Adam Ulrich,GLTC - RWD,1:44.116,0
15,32,Eddie Nakato,GLTC - RWD,1:44.386,0
16,159,Joshua Rubenstein,GLTC - RWD,1:44.635,0
17,917,Lena Chin,GLTC - RWD,1:44.981,0
18,42,Zac Lovoy,GLTC - RWD,1:45.059,0
19,106,Justin Thompson,GLTC - FWD,1:45.144,0
20,33,Justin Lee,GLTC - RWD,1:45.162,0
21,14,Carlos Mendez,GLTC - RWD,1:45.171,0
22,23,Brian Tyson,GLTC - FWD,1:45.913,0
23,213,Scott Robertson,GLTC - RWD,1:45.935,0
24,767,Wes Case,GLTC - RWD,1:45.951,0
25,66,Vytis Aranauskas,GLTC - RWD,1:46.951,0
26,182,Ethan Swindel,GLTC - FWD,1:49.578,0
27,36,Tyler Starr,GLTC - RWD,1:49.764,0
28,91,Michael Kramer,GLTC - FWD,1:49.870,0
29,163,Andy Funston,GLTC - RWD,1:50.292,0
30,562,Doug Geiger,GLTC - RWD,1:50.601,0
31,610,Benjamin Swanson,GLTC - AWD,1:51.324,0
32,165,Carter Hollis,GLTC - FWD,1:51.342,0
33,888,Dai Nguyen,GLTC - RWD,1:51.732,0
34,6,Robert McDaniels,GLTC - RWD,1:52.073,0
35,56,Bob Ross,GLTC - RWD,1:53.263,0
36,184,Eric Jensen,GLTC - RWD,2:25.558,0
37,99,Ronnie Vajdak,GLTC - FWD,,0
