GLTC Race 2 Results (wet),,,,,,,,
Pos,No.,Name,Class,Best Tm,In Lap,Laps,Gap,Points
1,3,Jeremy Swenson,GLTC - RWD,1:59.520,3,6,,25
2,90,Matt Waldbaum,GLTC - RWD,1:58.635,2,6,1.070,21
3,99,Ronnie Vajdak,GLTC - FWD,2:00.030,5,6,4.357,18
4,45,Paul Curley,GLTC - RWD,2:02.064,3,6,27.985,16
5,98,Andrew Rains,GLTC - RWD,2:04.127,3,6,2.796,15
6,213,Scott Robertson,GLTC - RWD,2:01.257,3,6,1.714,14
7,71,Joel Morrison,GLTC - RWD,2:04.373,3,6,1.470,13
8,159,Joshua Rubenstein,GLTC - RWD,2:04.630,3,6,0.013,12
9,484,Matan Rosenberg,GLTC - RWD,2:04.191,3,6,7.069,11
10,47,Ryan Power,GLTC - RWD,2:05.288,3,6,0.376,10
11,1,Gary Wimble,GLTC - RWD,2:04.197,2,6,6.616,9
12,17,Tony Marchev,GLTC - RWD,2:05.031,4,6,1.180,8
13,32,Eddie Nakato,GLTC - RWD,2:09.258,3,6,14.389,7
14,42,Zac Lovoy,GLTC - RWD,2:08.471,2,6,0.318,6
15,14,Carlos Mendez,GLTC - RWD,2:09.617,2,6,1.352,5
16,41,James Houghton,GLTC - FWD,2:01.072,2,6,1.067,4
17,106,Justin Thompson,GLTC - FWD,2:10.152,2,6,6.884,3
18,18,Colton Wade,GLTC - RWD,2:08.297,2,6,2.178,2
19,11,Jon Kozlow,GLTC - RWD,2:09.329,2,6,1.352,1
20,23,Brian Tyson,GLTC - FWD,2:11.646,3,6,6.730,0
21,33,Justin Lee,GLTC - RWD,2:10.437,3,6,7.367,0
22,36,Tyler Starr,GLTC - RWD,2:13.016,2,6,11.460,0
23,163,Andy Funston,GLTC - RWD,2:14.463,2,6,4.013,0
24,917,Lena Chin,GLTC - RWD,2:11.640,2,6,2.667,0
25,91,Michael Kramer,GLTC - FWD,2:15.686,2,6,5.394,0
26,6,Robert McDaniels,GLTC - RWD,2:14.564,2,6,0.899,0
27,182,Ethan Swindel,GLTC - FWD,2:14.398,2,6,5.069,0
28,66,Vytis Aranauskas,GLTC - RWD,2:15.166,2,6,10.530,0
29,888,Dai Nguyen,GLTC - RWD,2:14.038,2,6,12.035,0
30,184,Eric Jensen,GLTC - RWD,2:13.716,2,6,3.415,0
31,767,Wes Case,GLTC - RWD,2:08.107,2,6,9.328,0
32,171,Clayton Fitzpatrick,GLTC - RWD,2:18.285,2,5,1 Lap,0
33,88,Jacob Poole,GLTC - FWD,2:18.543,2,4,1 Lap,0
34,56,Bob Ross,GLTC - RWD,2:16.080,2,2,2 Laps,0
35,165,Carter Hollis,GLTC - FWD,2:15.301,2,2,0.254,0
36,562,Doug Geiger,GLTC - RWD,2:27.620,1,1,1 Lap,0
DQ,7,Luke McGrew,GLTC - RWD,2:01.152,3,6,,0
