GLTC Race 3 Results,,,,,,,,
Pos,No.,Name,Class,Best Tm,In Lap,Laps,Gap,Points
1,45,Paul Curley,GLTC - RWD,1:42.081,4,7,,25
2,3,Jeremy Swenson,GLTC - RWD,1:42.603,4,7,0.401,21
3,90,Matt Waldbaum,GLTC - RWD,1:42.861,5,7,2.416,18
4,484,Matan Rosenberg,GLTC - RWD,1:42.544,5,7,3.241,16
5,99,Ronnie Vajdak,GLTC - FWD,1:43.253,5,7,3.731,15
6,7,Luke McGrew,GLTC - RWD,1:42.491,7,7,1.791,14
7,41,James Houghton,GLTC - FWD,1:42.214,7,7,0.683,13
8,98,Andrew Rains,GLTC - RWD,1:44.586,4,7,2.902,12
9,71,Joel Morrison,GLTC - RWD,1:44.346,5,7,0.411,11
10,47,Ryan Power,GLTC - RWD,1:44.610,7,7,3.902,10
11,159,Joshua Rubenstein,GLTC - RWD,1:45.264,3,7,4.388,9
12,11,Jon Kozlow,GLTC - RWD,1:44.519,7,7,1.582,8
13,213,Scott Robertson,GLTC - RWD,1:45.673,7,7,2.373,7
14,14,Carlos Mendez,GLTC - RWD,1:45.829,3,7,3.864,6
15,17,Tony Marchev,GLTC - RWD,1:45.278,4,7,0.213,5
16,917,Lena Chin,GLTC - RWD,1:45.350,7,7,4.481,4
17,42,Zac Lovoy,GLTC - RWD,1:46.062,5,7,2.732,3
18,106,Justin Thompson,GLTC - FWD,1:46.083,5,7,1.641,2
19,184,Eric Jensen,GLTC - RWD,1:47.043,5,7,0.625,1
20,32,Eddie Nakato,GLTC - RWD,1:46.443,6,7,0.268,0
21,767,Wes Case,GLTC - RWD,1:47.351,5,7,1.285,0
22,18,Colton Wade,GLTC - RWD,1:46.728,4,7,0.812,0
23,4,Adam Ulrich,GLTC - RWD,1:46.378,4,7,0.734,0
24,33,Justin Lee,GLTC - RWD,1:46.587,4,7,0.226,0
25,36,Tyler Starr,GLTC - RWD,1:48.327,5,7,8.901,0
26,66,Vytis Aranauskas,GLTC - RWD,1:48.737,7,7,1.928,0
27,182,Ethan Swindel,GLTC - FWD,1:48.413,5,7,10.817,0
28,163,Andy Funston,GLTC - RWD,1:50.122,3,7,0.628,0
29,91,Michael Kramer,GLTC - FWD,1:50.871,3,7,8.603,0
30,562,Doug Geiger,GLTC - RWD,1:50.448,6,7,0.204,0
31,56,Bob Ross,GLTC - RWD,1:51.263,7,7,3.255,0
32,165,Carter Hollis,GLTC - FWD,1:52.426,7,7,4.503,0
33,6,Robert McDaniels,GLTC - RWD,1:52.540,7,7,0.159,0
34,888,Dai Nguyen,GLTC - RWD,1:49.783,3,4,3 Laps,0
35,1,Gary Wimble,GLTC - RWD,1:52.415,1,1,3 Laps,0
DQ,171,Clayton Fitzpatrick,GLTC - RWD,1:52.066,3,7,,0
DQ,88,Jacob Poole,GLTC - FWD,1:52.832,5,5,,0
