Practice 1 Results - All Groups,,,,,
Pos,No.,Name,Class,Overall BestTm,Model/Engine
1,121,Ryan Mathews,STREET MOD - RWD,1:36.266,Corvette
2,114,Bronson McNemar,TRACK MOD - RWD,1:37.343,Mx-5 Miata
3,14,Kal Fortner,STREET MOD - RWD,1:38.648,AMG GT S
4,77,Jason Kanakry,TRACK MOD - RWD,1:39.110,720S
5,307,Andy Hsiao,STREET MOD - RWD,1:39.551,Corvette
6,29,Kyle McKiou,STREET MOD - RWD,1:39.588,GR Supra
7,34,Andy Voelkel,STREET GT - RWD,1:39.716,Corvette
8,145,Devin Hofmann,STREET MOD - AWD,1:40.945,WRX Sti
9,56,John Rueger,UNLIMITED - AWD,1:41.238,TCR
10,777,Josh Halka,STREET - AWD,1:41.641,WRX
11,40,Ben Bulthuis,STREET GT - RWD,1:42.162,GR Supra
12,244,Jonathan Wheeler,STREET MOD - RWD,1:42.660,370Z
13,219,Nicholas Dillon,TRACK MOD - AWD,1:42.767,R8
14,256,Drew Vosk,STREET GT - RWD,1:43.758,GR Supra
15,421,Logan Kenseth,STREET MOD - RWD,1:44.249,CTS-V
16,89,Brandon Hodge,STREET GT - RWD,1:44.876,GR Supra
17,32,Barry Pettit,UNLIMITED - RWD,1:44.958,M3
18,696,Fernando Granados,STREET MOD - RWD,1:45.168,GR Supra
19,727,Mario Mirone,CLUB TR - FWD,1:45.168,Civic
20,333,Tony Barber,STREET - AWD,1:45.604,Model 3
21,900,Josh Briggs,UNLIMITED - RWD,1:45.650,Miata
22,298,Brian Flanagan,STREET - RWD,1:45.885,370z
23,2,Connor Gallagher,STREET GT - RWD,1:45.904,GTR
24,351,Michael Barnes,STREET GT - RWD,1:45.929,Shelby GT350
25,90,Michael Kitchens,STREET GT - RWD,1:46.258,GR Supra
26,880,Dead Boiz,CLUB TR - RWD,1:47.046,FR-S
27,131,Lisa Keyes,STREET GT - RWD,1:47.232,Cayman GTS
28,311,Berk Cerci,STREET GT - RWD,1:48.053,Mustang
29,75,Patrick Daugherty,STREET - FWD,1:48.087,Civic Type R
30,73,Thomas Lathrop,TRACK MOD - RWD,1:48.302,325i
31,72,Jakob Boedenauer,TRACK MOD - RWD,1:48.310,Corvette
32,21,Devin Herndon,STREET - AWD,1:48.326,GLA45 AMG
33,994,Nathan Brown,STREET - FWD,1:48.574,Gti
34,70,Phil Grabow,UNLIMITED - AWD,1:48.669,WRX STi
35,47,Kerry Kerr,TRACK MOD - RWD,1:48.786,M3
36,110,William Gravely,STREET GT - RWD,1:48.913,911
37,7,Thomas Halka,STREET - AWD,1:48.917,Impreza Awd
38,373,Benjamin Smolen,STREET GT - RWD,1:49.149,Mustang
39,377,,,1:49.438,
40,41,Nathan Eichinger,STREET MOD - AWD,1:49.997,Impreza
41,177,Brandon Luethye,STREET - AWD,1:49.997,Golf R
42,33,Chris Boersma,TRACK MOD - FWD,1:50.129,Civic
43,78,Andrew Zhang,CLUB TR - RWD,1:50.217,S2000
44,495,,,1:51.010,
45,611,Benjamin Carter,CLUB TR - RWD,1:51.261,S2000
46,30,Ryan Zupancic,CLUB TR - RWD,1:51.286,Mx-5 Miata
47,18,Kevin Vue,CLUB TR - FWD,1:51.824,Integra
48,75,Jerome Cahuzac,STREET GT - RWD,1:52.018,M2
49,127,Mark Johnson,UNLIMITED - FWD,1:52.253,Civic
50,411,Marshal Moore,CLUB TR - RWD,1:52.365,GR86
51,28,,,1:53.212,
52,860,Joshua Garcia,STREET MOD - RWD,1:54.082,Corolla Sport
53,166,Justin Wingfield,CLUB TR - RWD,1:54.341,BRZ
54,302,,,1:55.616,
55,65,,,1:56.143,
56,580,Junar Gwinn,CLUB TR - FWD,1:56.453,Civic
57,48,Jordan Spangler,CLUB TR - FWD,1:57.170,RSX
58,704,Bryan Meyers,CLUB TR - FWD,1:57.330,Civic
59,174,Mike Janssen,CLUB TR - FWD,1:57.478,Civic
60,58,Grant White,STREET GT - AWD,1:57.791,Model 3 Performance
61,196,Ben Johnson,STREET MOD - AWD,1:58.029,Golf R
62,395,Michael Ross-Smith,SUNDAE CUP - FWD,1:58.735,Fit
63,350,Nishant Patel,STREET - RWD,1:59.442,350z
64,144,Ryan Mukherjee,SUNDAE CUP - FWD,2:01.982,Fit
65,1,Chris Wolf,SUNDAE CUP - FWD,2:02.022,Fit
66,91,Chris Rice,SUNDAE CUP - FWD,2:02.090,Fit
67,313,Dily Daly,SUNDAE CUP - FWD,2:04.538,Fit
68,31,Colton Simpson,SUNDAE CUP - FWD,2:04.822,Fit
69,322,Justin Okamoto,CLUB TR - RWD,2:04.828,318i
70,107,,,2:05.185,
71,126,,,2:05.801,
72,787,Gary Burris,STREET - RWD,2:06.406,Miata
73,186,Trip Walker,CLUB TR - RWD,2:09.136,FR-S
74,125,Kevin Head,STREET - FWD,2:12.631,Kona
75,117,Daniel Glasgow,SUNDAE CUP - FWD,2:15.864,Fit
76,959,James Wood,TRACK MOD - RWD,,RX-7
77,700,Paul Jaquish,TRACK MOD - AWD,,Talon
78,830,Eric Fleming,UNLIMITED - RWD,,Corvette
79,82,Jaime Santos,STREET MOD - RWD,,135i
80,6,,,,
