Practice 2 Results - All Groups,,,,,
Pos,No.,Name,Class,Best Time/Heat,Model/Engine
1,830,Eric Fleming,UNLIMITED - RWD,1:33.576,Corvette
2,121,Ryan Mathews,STREET MOD - RWD,1:36.354,Corvette
3,77,Jason Kanakry,TRACK MOD - RWD,1:36.908,720S
4,114,Bronson McNemar,TRACK MOD - RWD,1:37.530,Mx-5 Miata
5,245,Justin Peachy,TRACK MOD - RWD,1:37.575,Corvette
6,33,Chris Boersma,TRACK MOD - FWD,1:37.748,Civic
7,14,Kal Fortner,STREET MOD - RWD,1:38.728,AMG GT S
8,307,Andy Hsiao,STREET MOD - RWD,1:39.129,Corvette
9,29,Kyle McKiou,STREET MOD - RWD,1:39.276,GR Supra
10,6,Michael Aumick,STREET MOD - AWD,1:39.462,WRX STi
11,82,Jaime Santos,STREET MOD - RWD,1:40.844,135i
12,219,Nicholas Dillon,TRACK MOD - AWD,1:41.152,R8
13,333,Tony Barber,STREET - AWD,1:41.828,Model 3
14,89,Brandon Hodge,STREET GT - RWD,1:41.903,GR Supra
15,700,Paul Jaquish,TRACK MOD - AWD,1:41.939,Talon
16,40,Ben Bulthuis,STREET GT - RWD,1:42.285,GR Supra
17,777,Josh Halka,STREET - AWD,1:42.953,WRX
18,799,Ruben Lopez,STREET GT - RWD,1:43.184,GR Supra
19,2,Connor Gallagher,STREET GT - RWD,1:43.805,GTR
20,256,Drew Vosk,STREET GT - RWD,1:43.831,GR Supra
21,70,Phil Grabow,UNLIMITED - AWD,1:43.930,WRX STi
22,32,Barry Pettit,UNLIMITED - RWD,1:44.873,M3
23,47,Kerry Kerr,TRACK MOD - RWD,1:44.919,M3
24,351,Michael Barnes,STREET GT - RWD,1:44.988,Shelby GT350
25,377,Matt Santos,STREET MOD - RWD,1:45.271,Mustang
26,131,Lisa Keyes,STREET GT - RWD,1:45.647,Cayman GTS
27,495,Richard Cho,STREET - RWD,1:45.987,370Z
28,110,William Gravely,STREET GT - RWD,1:46.065,911
29,421,Logan Kenseth,STREET MOD - RWD,1:46.154,CTS-V
30,73,Thomas Lathrop,TRACK MOD - RWD,1:46.289,325i
31,696,Fernando Granados,STREET MOD - RWD,1:46.354,GR Supra
32,994,Nathan Brown,STREET - FWD,1:46.905,Gti
33,72,Jakob Boedenauer,TRACK MOD - RWD,1:47.160,Corvette
34,90,Michael Kitchens,STREET GT - RWD,1:47.215,GR Supra
35,880,Dead Boiz,CLUB TR - RWD,1:47.320,FR-S
36,298,Brian Flanagan,STREET - RWD,1:47.429,370z
37,75,Patrick Daugherty,STREET - FWD,1:47.478,Civic Type R
38,7,Thomas Halka,STREET - AWD,1:47.616,Impreza Awd
39,350,Nishant Patel,STREET - RWD,1:47.992,350z
40,21,Devin Herndon,STREET - AWD,1:48.418,GLA45 AMG
41,18,Kevin Vue,CLUB TR - FWD,1:48.682,Integra
42,302,Scott Giles,STREET GT - RWD,1:49.193,Mach1
43,127,Mark Johnson,UNLIMITED - FWD,1:49.325,Civic
44,41,Nathan Eichinger,STREET MOD - AWD,1:49.639,Impreza
45,222,Bradley Balkham,STREET MOD - AWD,1:49.989,Evo
46,373,Benjamin Smolen,STREET GT - RWD,1:50.109,Mustang
47,311,Berk Cerci,STREET GT - RWD,1:50.130,Mustang
48,196,Ben Johnson,STREET MOD - AWD,1:50.213,Golf R
49,285,Keith Brown,TRACK MOD - RWD,1:51.294,Camaro ZL1
50,78,Andrew Zhang,CLUB TR - RWD,1:51.623,S2000
51,177,Brandon Luethye,STREET - AWD,1:51.691,Golf R
52,65,Michael Calamaras,STREET GT - RWD,1:51.792,M3
53,174,Mike Janssen,CLUB TR - FWD,1:52.582,Civic
54,166,Justin Wingfield,CLUB TR - RWD,1:52.714,BRZ
55,30,Ryan Zupancic,CLUB TR - RWD,1:53.508,Mx-5 Miata
56,860,Joshua Garcia,STREET MOD - RWD,1:53.888,Corolla Sport
57,611,Benjamin Carter,CLUB TR - RWD,1:53.912,S2000
58,58,Grant White,STREET GT - AWD,1:54.068,Model 3 Performance
59,75,Jerome Cahuzac,STREET GT - RWD,1:55.051,M2
60,269,Shawn Bassett,UNLIMITED - RWD,1:55.238,240Z
61,48,Jordan Spangler,CLUB TR - FWD,1:55.596,RSX
62,28,Knottfast Motorsports,CLUB TR - RWD,1:56.287,FRS
63,704,Bryan Meyers,CLUB TR - FWD,1:57.024,Civic
64,186,Trip Walker,CLUB TR - RWD,1:58.811,FR-S
65,395,Michael Ross-Smith,SUNDAE CUP - FWD,1:58.943,Fit
66,144,Ryan Mukherjee,SUNDAE CUP - FWD,2:00.150,Fit
67,91,Chris Rice,SUNDAE CUP - FWD,2:00.273,Fit
68,126,Jacob Abbott,SUNDAE CUP - FWD,2:00.830,Fit
69,31,Colton Simpson,SUNDAE CUP - FWD,2:02.157,Fit
70,320,Ryan Schabel,STREET - RWD,2:02.533,BRZ
71,87,Alan Newsome,STREET MOD - RWD,2:05.526,RX-7
72,138,David Bruner,STREET - RWD,2:07.779,350z
73,1,Chris Wolf,SUNDAE CUP - FWD,2:07.981,Fit
74,137,David Brizuela,STREET MOD - RWD,2:13.839,Mx-5 Miata
75,959,James Wood,TRACK MOD - RWD,2:14.410,RX-7
76,117,Daniel Glasgow,SUNDAE CUP - FWD,2:16.690,Fit
77,313,Dily Daly,SUNDAE CUP - FWD,2:23.272,Fit
78,107,Mary Barker,TRACK MOD - AWD,2:23.632,Impreza AWD
79,411,Marshal Moore,CLUB TR - RWD,,GR86
80,27,Mitchell Marhefka,CLUB TR - RWD,,Mx-5 Miata
81,300,Chance Ahlstrom,TRACK MOD - RWD,,300zx
82,103,Jose Mercado,TRACK MOD - FWD,,RSX
83,580,Junar Gwinn,CLUB TR - FWD,,Civic
