Qualifying 1 Results - All Groups,,,,,
Pos,No.,Name,Class,Best Time/Heat,Model/Engine
1,727,Mario Mirone,CLUB TR - FWD,1:45.718,Civic
2,880,Dead Boiz,CLUB TR - RWD,1:48.918,FR-S
3,18,Kevin Vue,CLUB TR - FWD,1:48.923,Integra
4,611,Benjamin Carter,CLUB TR - RWD,1:49.476,S2000
5,78,Andrew Zhang,CLUB TR - RWD,1:49.650,S2000
6,174,Mike Janssen,CLUB TR - FWD,1:50.087,Civic
7,28,Knottfast Motorsports,CLUB TR - RWD,1:50.720,FRS
8,411,Marshal Moore,CLUB TR - RWD,1:50.774,GR86
9,580,Junar Gwinn,CLUB TR - FWD,1:51.100,Civic
10,186,Trip Walker,CLUB TR - RWD,1:51.950,FR-S
11,166,Justin Wingfield,CLUB TR - RWD,1:52.396,BRZ
12,30,Ryan Zupancic,CLUB TR - RWD,1:52.736,Mx-5 Miata
13,48,Jordan Spangler,CLUB TR - FWD,1:54.295,RSX
14,704,Bryan Meyers,CLUB TR - FWD,1:56.547,Civic
15,322,Justin Okamoto,CLUB TR - RWD,2:03.676,318i
1,333,Tony Barber,STREET - AWD,1:40.375,Model 3
2,777,Josh Halka,STREET - AWD,1:40.501,WRX
3,495,Richard Cho,STREET - RWD,1:45.202,370Z
4,298,Brian Flanagan,STREET - RWD,1:46.281,370z
5,350,Nishant Patel,STREET - RWD,1:46.609,350z
6,994,Nathan Brown,STREET - FWD,1:47.318,Gti
7,275,Patrick Daugherty,STREET - FWD,1:47.736,Civic Type R
8,7,Thomas Halka,STREET - AWD,1:48.474,Impreza Awd
9,21,Devin Herndon,STREET - AWD,1:49.178,GLA45 AMG
10,177,Brandon Luethye,STREET - AWD,1:49.308,Golf R
11,787,Gary Burris,STREET - RWD,,Miata
1,256,Drew Vosk,STREET GT - RWD,1:41.456,GR Supra
2,40,Ben Bulthuis,STREET GT - RWD,1:42.111,GR Supra
3,34,Andy Voelkel,STREET GT - RWD,1:42.513,Corvette
4,89,Brandon Hodge,STREET GT - RWD,1:42.594,GR Supra
5,799,Ruben Lopez,STREET GT - RWD,1:42.739,GR Supra
6,351,Michael Barnes,STREET GT - RWD,1:43.603,Shelby GT350
7,2,Connor Gallagher,STREET GT - RWD,1:44.126,GTR
8,131,Lisa Keyes,STREET GT - RWD,1:45.592,Cayman GTS
9,110,William Gravely,STREET GT - RWD,1:45.965,911
10,90,Michael Kitchens,STREET GT - RWD,1:46.308,GR Supra
11,302,Scott Giles,STREET GT - RWD,1:46.629,Mach1
12,373,Benjamin Smolen,STREET GT - RWD,1:47.964,Mustang
13,311,Berk Cerci,STREET GT - RWD,1:48.412,Mustang
14,285,Keith Brown,TRACK MOD - RWD,1:50.165,Camaro ZL1
15,75,Jerome Cahuzac,STREET GT - RWD,1:51.627,M2
16,65,Michael Calamaras,STREET GT - RWD,1:52.438,M3
17,58,Grant White,STREET GT - AWD,1:54.117,Model 3 Performance
1,121,Ryan Mathews,STREET MOD - RWD,1:35.576,Corvette
2,14,Kal Fortner,STREET MOD - RWD,1:37.878,AMG GT S
3,82,Jaime Santos,STREET MOD - RWD,1:39.141,135i
4,29,Kyle McKiou,STREET MOD - RWD,1:39.276,GR Supra
5,307,Andy Hsiao,STREET MOD - RWD,1:39.693,Corvette
6,145,Devin Hofmann,STREET MOD - AWD,1:42.624 UO,WRX Sti
7,244,Jonathan Wheeler,STREET MOD - RWD,1:42.913,370Z
8,696,Fernando Granados,STREET MOD - RWD,1:44.682,GR Supra
9,377,Matt Santos,STREET MOD - RWD,1:44.685,Mustang
10,421,Logan Kenseth,STREET MOD - RWD,1:45.807,CTS-V
11,6,Michael Aumick,STREET MOD - AWD,1:45.857,WRX STi
12,41,Nathan Eichinger,STREET MOD - AWD,1:49.284,Impreza
13,196,Ben Johnson,STREET MOD - AWD,1:50.860,Golf R
14,860,Joshua Garcia,STREET MOD - RWD,1:51.347,Corolla Sport
15,137,David Brizuela,STREET MOD - RWD,2:08.777,Mx-5 Miata
1,369,Lucas Urban,SUNDAE CUP - FWD,1:57.372,Escort ZX2
2,395,Michael Ross-Smith,SUNDAE CUP - FWD,1:58.354,Fit
3,126,Jacob Abbott,SUNDAE CUP - FWD,1:58.762,Fit
4,31,Colton Simpson,SUNDAE CUP - FWD,1:59.787,Fit
5,91,Chris Rice,SUNDAE CUP - FWD,2:00.061,Fit
6,144,Ryan Mukherjee,SUNDAE CUP - FWD,2:00.295,Fit
7,1,Chris Wolf,SUNDAE CUP - FWD,2:03.188,Fit
8,313,Dily Daly,SUNDAE CUP - FWD,2:04.357,Fit
9,117,Daniel Glasgow,SUNDAE CUP - FWD,2:10.970,Fit
1,77,Jason Kanakry,TRACK MOD - RWD,1:35.528,720S
2,245,Justin Peachy,TRACK MOD - RWD,1:36.293,Corvette
3,33,Chris Boersma,TRACK MOD - FWD,1:36.491,Civic
4,114,Bronson McNemar,TRACK MOD - RWD,1:37.492,Mx-5 Miata
5,700,Paul Jaquish,TRACK MOD - AWD,1:39.823,Talon
6,219,Nicholas Dillon,TRACK MOD - AWD,1:41.178,R8
7,72,Jakob Boedenauer,TRACK MOD - RWD,1:46.981,Corvette
8,73,Thomas Lathrop,TRACK MOD - RWD,1:47.836,325i
9,98,Kerry Kerr,TRACK MOD - RWD,1:49.384,330ci
10,959,James Wood,TRACK MOD - RWD,1:51.972,RX-7
11,107,Mary Barker,TRACK MOD - AWD,1:59.091,Impreza AWD
12,138,Seth Monteleone,TRACK MOD - RWD,,BRZ
13,300,Chance Ahlstrom,TRACK MOD - RWD,,300zx
1,830,Eric Fleming,UNLIMITED - RWD,1:32.709,Corvette
2,56,John Rueger,UNLIMITED - AWD,1:42.735,TCR
3,32,Barry Pettit,UNLIMITED - RWD,1:44.576,M3
4,269,Shawn Bassett,UNLIMITED - RWD,1:51.559,240Z
5,900,Josh Briggs,UNLIMITED - RWD,2:47.029,Miata
6,70,Phil Grabow,UNLIMITED - AWD,2:47.564,WRX STi
