Podium Sprint Results - All Groups,,,,,
Pos,No.,Name,Class,Best Time/Heat,Model/Engine
1,727,Mario Mirone,CLUB TR - FWD,1:45.602,Civic
2,18,Kevin Vue,CLUB TR - FWD,1:46.726,Integra
3,880,Dead Boiz,CLUB TR - RWD,1:49.141,FR-S
4,611,Benjamin Carter,CLUB TR - RWD,1:49.437,S2000
5,186,Trip Walker,CLUB TR - RWD,1:51.052,FR-S
1,777,Josh Halka,STREET - AWD,1:40.500,WRX
2,333,Tony Barber,STREET - AWD,1:41.064,Model 3
3,350,Nishant Patel,STREET - RWD,1:46.601,350z
4,7,Thomas Halka,STREET - AWD,1:47.377,Impreza Awd
5,495,Richard Cho,STREET - RWD,DQ,370Z
1,89,Brandon Hodge,STREET GT - RWD,1:40.572,GR Supra
2,40,Ben Bulthuis,STREET GT - RWD,1:41.756,GR Supra
3,34,Andy Voelkel,STREET GT - RWD,1:42.068,Corvette
4,256,Drew Vosk,STREET GT - RWD,1:43.043,GR Supra
5,2,Connor Gallagher,STREET GT - RWD,1:43.726,GTR
1,6,Michael Aumick,STREET MOD - AWD,1:37.046,WRX STi
2,14,Kal Fortner,STREET MOD - RWD,1:37.424,AMG GT S
3,121,Ryan Mathews,STREET MOD - RWD,1:37.621,Corvette
4,29,Kyle McKiou,STREET MOD - RWD,1:39.739,GR Supra
5,82,Jaime Santos,STREET MOD - RWD,DQ,135i
1,126,Jacob Abbott,SUNDAE CUP - FWD,1:59.340,Fit
2,395,Michael Ross-Smith,SUNDAE CUP - FWD,1:59.409,Fit
3,144,Ryan Mukherjee,SUNDAE CUP - FWD,2:00.223,Fit
4,91,Chris Rice,SUNDAE CUP - FWD,2:00.404,Fit
5,369,Lucas Urban,SUNDAE CUP - FWD,DNF,ZX2
1,77,Jason Kanakry,TRACK MOD - RWD,1:34.485,720S
2,245,Justin Peachy,TRACK MOD - RWD,1:35.909,Corvette
3,33,Chris Boersma,TRACK MOD - FWD,1:36.430,Civic
4,114,Bronson McNemar,TRACK MOD - RWD,1:38.212,Mx-5 Miata
5,700,Paul Jaquish,TRACK MOD - AWD,1:39.293,Talon
1,830,Eric Fleming,UNLIMITED - RWD,1:31.700,Corvette
2,56,John Rueger,UNLIMITED - AWD,1:41.878,TCR
3,32,Barry Pettit,UNLIMITED - RWD,1:46.296,M3
4,25,Jeremy Lowder,UNLIMITED - RWD,DQ,ZL1 1LE
5,900,Josh Briggs,UNLIMITED - RWD,DNS,Miata
