Heat 4 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time/Heat,Model/Engine
1,155,Michael Pagano,TRACK MOD - RWD,1:32.044,330CI
2,77,Jason Kanakry,TRACK MOD - RWD,1:32.819,720S
3,655,Allen Ma,STREET MOD - RWD,1:36.913,RX-7
4,51,Jon Roed,STREET MOD - RWD,1:36.948,MX-5 MIATA
5,62,Matt Simpkins,STREET MOD - RWD,1:36.985,GR SUPRA
6,34,Andy Voelkel,STREET GT - RWD,1:37.005,CORVETTE
7,307,Andy Hsiao,STREET MOD - RWD,1:37.342,CORVETTE
8,570,Kyle Magnuson,STREET GT - RWD,1:37.684,718 CAYMAN
9,187,Keenan Prusank,STREET GT - RWD,1:37.696,CAMARO
10,29,Kyle Mckiou,STREET MOD - RWD,1:37.765,GR SUPRA
11,687,Jackie Ding,STREET MOD - RWD,1:38.055,M2
12,226,Jerry Liu,STREET GT - RWD,1:38.099,718 CAYMAN
13,12,Andrew Sonnevil,TRACK MOD - RWD,1:38.200,MX-5 MIATA
14,212,Chris Smith,TRACK MOD - RWD,1:38.404,1 SERIES
15,89,Brandon Hodge,STREET GT - RWD,1:38.428,GR SUPRA
16,109,Dana Basinski,CLUB TR - RWD,1:38.433,BRZ
17,242,Zach Horvath,STREET GT - RWD,1:38.625,CORVETTE
18,44,Joel Phillips,STREET GT - RWD,1:38.924,911
19,531,Evan Weider,CLUB TR - FWD,1:39.301,CIVIC
20,727,Mario Mirone,CLUB TR - FWD,1:39.357,CIVIC
21,326,Stan Fayngold,CLUB TR - RWD,1:39.404 UO,86
22,61,Fez Babar,CLUB TR - RWD,1:39.539,GR86
23,511,Peter Granberg,CLUB TR - RWD,1:39.690,BRZ
24,513,Justin Ruble,STREET GT - RWD,1:39.854,M2
25,625,Sam Bosnian,STREET - RWD,1:40.164,350Z
26,98,Steven Stewart,TRACK MOD - AWD,1:40.177,IMPREZA
27,351,Michael Barnes,STREET GT - RWD,1:40.284,MUSTANG
28,108,Andre Wenzel,STREET MOD - RWD,1:41.219,RX-7
29,224,Su Xiong,CLUB TR - RWD,1:41.553,S2000
30,139,Wilbur Huang,STREET MOD - RWD,1:41.744,GR SUPRA
31,743,Devin Giles,STREET MOD - RWD,1:41.755,CAYMAN S
32,771,William Rori,STREET - FWD,1:41.761,ELANTRA
33,711,Anthony Leclerc,CLUB TR - RWD,1:41.824,4C
34,551,Benjamin Hawrysko,CLUB TR - AWD,1:42.847,COROLLA
35,321,Phillip Jue,STREET MOD - RWD,1:43.035,350Z
36,123,Ruben Manrique,CLUB TR - RWD,1:43.060,S2000
37,20,Matthew Koval,CLUB TR - RWD,1:43.193,S2000
38,880,Dead Boiz Racing,CLUB TR - RWD,1:43.229,FR-S
39,199,Ian Flavin,CLUB TR - RWD,1:43.667,BRZ
40,94,Mike Bryant,CLUB TR - RWD,1:43.722,MX-5
41,960,Sean Heneghan,CLUB TR - FWD,1:44.050,CIVIC
42,151,Nathan Poulson,CLUB TR - RWD,1:44.107,BRZ
43,997,Jason Gaydos,STREET - RWD,1:44.576,BRZ
44,611,Benjamin Carter,CLUB TR - RWD,1:45.775,S2000
45,320,Ryan Schabel,CLUB TR - RWD,1:45.797,330I
46,96,Stephen Valich,TRACK MOD - FWD,1:45.922,GTI
47,736,Cody Smith,STREET MOD - RWD,1:46.133,CUTLASS
48,81,Cody Grimm,CLUB TR - RWD,1:46.200,MX-5
49,260,Matthew Morehouse,STREET - AWD,1:46.248,FORESTER
50,930,Jasper Zhang,STREET MOD - RWD,1:46.748,BRZ
51,442,Logan Geyer,CLUB TR - RWD,1:47.447,BRZ
52,238,Garrett Gloceri,CLUB TR - RWD,1:47.798,RX-8
53,111,Jared Chapin,CLUB TR - RWD,1:47.830,S2000
54,624,Tyler Vogt,STREET - FWD,1:48.721,COBALT
55,138,David Bruner,STREET - RWD,1:48.902,350Z
56,327,Aaron Dukes,CLUB TR - FWD,1:49.003,RSX
57,417,Drew Sanford,CLUB TR - RWD,1:49.098,S2000
58,169,Dan Mai,CLUB TR - RWD,1:51.046,325I
59,130,James Smith,SUNDAE CUP - FWD,1:51.564,FIT
60,463,Kevin Gu,SUNDAE CUP - FWD,1:51.874,CIVIC
61,126,Jacob Abbott,SUNDAE CUP - FWD,1:52.159,FIT
62,92,Brad Smith,SUNDAE CUP - FWD,1:52.252,FIT
63,501,Tim Beek,STREET - FWD,1:52.861,COBALT
64,202,Rebekah Cohen,STREET MOD - FWD,1:53.277,CIVIC TYPE R
65,247,Yu Feng,TRACK MOD - RWD,1:53.530,911
66,144,Ryan Mukherjee,SUNDAE CUP - FWD,1:53.991,FIT
67,460,Grant Walker,STREET - FWD,1:54.429,CIVIC
68,88,Collin Ryser,SUNDAE CUP - FWD,1:54.816,COOPER
69,99,George Reeves,CLUB TR - RWD,1:54.990,MX-5
70,385,Ian Manger,STREET - FWD,1:55.047,INTEGRA
71,707,Team Knock,SUNDAE CUP - FWD,1:55.620,FIT
72,118,Bj Ragudo,STREET - FWD,1:55.660,ECLIPSE
73,201,Faaez Dar,SUNDAE CUP - FWD,1:56.594,FIT
74,308,Kyle Malarkey,SUNDAE CUP - FWD,2:00.266,COOPER
75,823,Erin Weaver,CLUB TR - RWD,2:00.303,MX-5 MIATA
76,424,Brandt Vircks,SUNDAE CUP - AWD,2:01.998,LEGACY
77,38,Aaron Rekkedahl,STREET - FWD,7:06.299,CIVIC TYPE R
78,174,Rauck Trailer Sales,SUNDAE CUP - FWD,,CIVIC
79,420,Aric Streeter,CLUB TR - RWD,,RX-7
