Overall Results - All Groups,,,,,
Pos,No.,Name,Class,Best Time/Heat,Model/Engine
1,77,Jason Kanakry,TRACK MOD - RWD,1:30.934,720S
2,155,Michael Pagano,TRACK MOD - RWD,1:31.616,330CI
3,911,Jim Rauck,UNLIMITED - RWD,1:32.392,GT2RS
4,299,Colton Drescosky,TRACK MOD - RWD,1:33.166,VIPER
5,6,Michael Aumick,STREET MOD - AWD,1:33.194,STI
6,22,Dallas Reed,UNLIMITED - RWD,1:34.252,RX-8
7,70,Dewey Dewitt,STREET MOD - AWD,1:34.263,IMPREZA
8,51,Jon Roed,STREET MOD - RWD,1:35.345,MX-5 MIATA
9,307,Andy Hsiao,STREET MOD - RWD,1:35.423,CORVETTE
10,29,Kyle Mckiou,STREET MOD - RWD,1:36.085,GR SUPRA
11,34,Andy Voelkel,STREET GT - RWD,1:36.204,CORVETTE
12,62,Matt Simpkins,STREET MOD - RWD,1:36.755,GR SUPRA
13,570,Kyle Magnuson,STREET GT - RWD,1:36.872,718 CAYMAN
14,655,Allen Ma,STREET MOD - RWD,1:36.910,RX-7
15,187,Keenan Prusank,STREET GT - RWD,1:37.567,CAMARO
16,687,Jackie Ding,STREET GT - RWD,1:37.883,M2
17,89,Brandon Hodge,STREET GT - RWD,1:38.002,GR SUPRA
18,226,Jerry Liu,STREET GT - RWD,1:38.099,718 CAYMAN
19,12,Andrew Sonnevil,TRACK MOD - RWD,1:38.200,MX-5 MIATA
20,44,Joel Phillips,STREET GT - RWD,1:38.318,911
21,212,Chris Smith,TRACK MOD - RWD,1:38.404,1 SERIES
22,109,Dana Basinski,CLUB TR - RWD,1:38.433,BRZ
23,242,Zach Horvath,STREET GT - RWD,1:38.625,CORVETTE
24,727,Mario Mirone,CLUB TR - FWD,1:38.824,CIVIC
25,326,Stan Fayngold,CLUB TR - RWD,1:38.935,86
26,61,Fez Babar,CLUB TR - RWD,1:39.027,GR86
27,531,Evan Weider,CLUB TR - FWD,1:39.301,CIVIC
28,511,Peter Granberg,CLUB TR - RWD,1:39.329,BRZ
29,20,Matthew Koval,CLUB TR - RWD,1:39.401,S2000
30,513,Justin Ruble,STREET GT - RWD,1:39.443,M2
31,826,Tim Fleury,TRACK MOD - RWD,1:39.720,
32,108,Andre Wenzel,STREET MOD - RWD,1:40.063,RX-7
33,351,Michael Barnes,STREET GT - RWD,1:40.088,MUSTANG
34,139,Wilbur Huang,STREET MOD - RWD,1:40.149,GR SUPRA
35,98,Steven Stewart,TRACK MOD - AWD,1:40.158,IMPREZA
36,625,Sam Bosnian,STREET - RWD,1:40.164,350Z
37,711,Anthony Leclerc,CLUB TR - RWD,1:40.580,4C
38,123,Ruben Manrique,CLUB TR - RWD,1:41.122,S2000
39,880,Dead Boiz Racing,CLUB TR - RWD,1:41.369,FR-S
40,743,Devin Giles,STREET MOD - RWD,1:41.444,Cayman S
41,224,Su Xiong,CLUB TR - RWD,1:41.468,S2000
42,771,William Rori,STREET - FWD,1:41.761,ELANTRA
43,551,Benjamin Hawrysko,CLUB TR - AWD,1:42.024,COROLLA
44,38,Aaron Rekkedahl,STREET - FWD,1:42.145,CIVIC TYPE R
45,321,Phillip Jue,STREET MOD - RWD,1:42.679,350Z
46,960,Sean Heneghan,CLUB TR - FWD,1:42.833,CIVIC
47,199,Ian Flavin,CLUB TR - RWD,1:42.927,BRZ
48,997,Jason Gaydos,STREET - RWD,1:42.963,BRZ
49,551,Benjamin Hawrysko,STREET - AWD,1:42.968,COROLLA
50,94,Mike Bryant,CLUB TR - RWD,1:42.987,MX-5
51,25,Chris Quashnie,STREET - FWD,1:43.127,Civic
52,74,Grant Davidson,CLUBTR - FWD,1:43.412,INTEGRA
