GLTC Qualifying,,,,,
Pos,No.,Name,Class,Best Tm,Points
1,45,Paul Curley,GLTC - RWD,1:38.802,3
2,3,Jeremy Swenson,GLTC - RWD,1:39.164,2
3,7,Luke Mcgrew,GLTC - RWD,1:39.368,1
4,484,Matan Rosenberg,GLTC - RWD,1:39.514,0
5,41,James Houghton,GLTC - FWD,1:39.546,0
6,90,Matt Waldbaum,GLTC - RWD,1:39.990,0
7,82,Eric Kutil,GLTC - FWD,1:40.227,0
8,184,Eric Jensen,GLTC - RWD,1:40.838,0
9,1,Gary Wimble,GLTC - RWD,1:40.868,0
10,34,Austin Hertel,GLTC - RWD,1:40.909,0
11,98,Andrew Rains,GLTC - RWD,1:41.042,0
12,2,Erik Meadows,GLTC - RWD,1:41.063,0
13,99,Ronnie Vajdak,GLTC - FWD,1:41.458,0
14,871,Aurimas Karosas,GLTC - RWD,1:41.542,0
15,71,Joel Morrison,GLTC - RWD,1:41.561,0
16,42,Zac Lovoy,GLTC - RWD,1:41.750,0
17,17,Tony Marchev,GLTC - RWD,1:41.949,0
18,73,Jason Saini,GLTC - RWD,1:42.014,0
19,18,Colton Wade,GLTC - RWD,1:42.076,0
20,320,Eddie Nakato,GLTC - RWD,1:42.083,0
21,911,Julio Crispin,GLTC - RWD,1:42.158,0
22,4,Adam Ulrich,GLTC - RWD,1:42.192,0
23,13,Ryan Upham,GLTC - RWD,1:42.291,0
24,917,Lena Chin,GLTC - RWD,1:42.349,0
25,21,Shawn Krebsbach,GLTC - AWD,1:42.511,0
26,245,Ryan Power,GLTC - RWD,1:42.551,0
27,77,Hans Horpedahl,GLTC - RWD,1:42.690,0
28,132,Jake Joraanstad,GLTC - RWD,1:42.819,0
29,85,Samuel Scott,GLTC - RWD,1:42.945,0
30,33,Justin Lee,GLTC - RWD,1:43.369,0
31,527,Jackson Jensen,GLTC - RWD,1:43.435,0
32,410,Salil Shukla,GLTC - RWD,1:43.515,0
33,333,Fiona Lou,GLTC - RWD,1:43.581,0
34,95,Robert Vierhout,GLTC - RWD,1:43.590,0
35,14,Carlos Mendez,GLTC - RWD,1:43.652,0
36,26,Louis Chatroop,GLTC - RWD,1:43.775,0
37,150,Alex Moss,GLTC - RWD,1:44.645,0
38,81,Benjamin Marouski,GLTC - FWD,1:44.716,0
39,767,Wes Case,GLTC - RWD,1:44.784,0
40,618,Bob Dice,GLTC - FWD,1:44.839,0
41,541,Seth Gale,GLTC - FWD,1:45.064,0
42,207,Adam Wood,GLTC - AWD,1:45.518,0
43,515,Thomas Moss,GLTC - RWD,1:45.902,0
44,313,Chandler Roe,GLTC - FWD,1:46.095,0
45,144,Vytis Aranauskas,GLTC - RWD,1:46.134,0
46,36,Michael Starr,GLTC - RWD,1:46.233,0
47,888,Dai Nguyen,GLTC - RWD,1:46.795,0
48,528,Richard Sawicki,GLTC - RWD,1:46.880,0
49,51,David Rudzinski,GLTC - RWD,1:48.945,0
50,860,Nathan Manning,GLTC - RWD,1:49.392,0
