GLTC Race 1 Results,,,,,,,,
Pos,No.,Name,Class,Best Tm,In Lap,Laps,Gap,Points
1,45,Paul Curley,GLTC - RWD,1:39.803,4,9,,25
2,3,Jeremy Swenson,GLTC - RWD,1:39.854,4,9,0.726,21
3,484,Matan Rosenberg,GLTC - RWD,1:39.867,5,9,3.216,18
4,7,Luke Mcgrew,GLTC - RWD,1:39.896,5,9,0.424,16
5,41,James Houghton,GLTC - FWD,1:40.058,3,9,7.937,15
6,90,Matt Waldbaum,GLTC - RWD,1:40.833,5,9,0.094,14
7,1,Gary Wimble,GLTC - RWD,1:41.287,6,9,7.108,13
8,34,Austin Hertel,GLTC - RWD,1:41.455,6,9,1.533,12
9,98,Andrew Rains,GLTC - RWD,1:41.582,6,9,0.776,11
10,2,Erik Meadows,GLTC - RWD,1:41.884,5,9,2.686,10
11,99,Ronnie Vajdak,GLTC - FWD,1:41.831,7,9,0.394,9
12,82,Eric Kutil,GLTC - FWD,1:41.719,3,9,2.963,8
13,871,Aurimas Karosas,GLTC - RWD,1:41.847,5,9,1.541,7
14,17,Tony Marchev,GLTC - RWD,1:42.140,7,9,1.789,6
15,71,Joel Morrison,GLTC - RWD,1:42.206,9,9,1.240,5
16,42,Zac Lovoy,GLTC - RWD,1:42.141,3,9,0.737,4
17,320,Eddie Nakato,GLTC - RWD,1:42.720,8,9,8.292,3
18,917,Lena Chin,GLTC - RWD,1:43.022,6,9,2.372,2
19,13,Ryan Upham,GLTC - RWD,1:42.744,5,9,0.768,1
20,77,Hans Horpedahl,GLTC - RWD,1:42.787,5,9,0.630,0
21,245,Ryan Power,GLTC - RWD,1:42.517,5,9,0.735,0
22,410,Salil Shukla,GLTC - RWD,1:42.451,7,9,0.288,0
23,18,Colton Wade,GLTC - RWD,1:43.242,8,9,0.633,0
24,4,Adam Ulrich,GLTC - RWD,1:42.476,6,9,0.266,0
25,14,Carlos Mendez,GLTC - RWD,1:43.683,6,9,3.839,0
26,26,Louis Chatroop,GLTC - RWD,1:43.920,4,9,5.990,0
27,767,Wes Case,GLTC - RWD,1:43.760,5,9,1.203,0
28,132,Jake Joraanstad,GLTC - RWD,1:44.878,4,9,1.262,0
29,150,Alex Moss,GLTC - RWD,1:44.829,5,9,1.479,0
30,207,Adam Wood,GLTC - AWD,1:44.447,6,9,1.108,0
31,85,Samuel Scott,GLTC - RWD,1:43.695,5,9,1.476,0
32,333,Fiona Lou,GLTC - RWD,1:44.697,7,9,1.795,0
33,81,Benjamin Marouski,GLTC - FWD,1:45.348,9,9,3.871,0
34,144,Vytis Aranauskas,GLTC - RWD,1:45.122,9,9,0.199,0
35,541,Seth Gale,GLTC - FWD,1:45.467,5,9,2.921,0
36,95,Robert Vierhout,GLTC - RWD,1:46.161,6,9,1.619,0
37,515,Thomas Moss,GLTC - RWD,1:46.174,6,9,11.199,0
38,888,Dai Nguyen,GLTC - RWD,1:46.772,7,9,3.024,0
39,618,Bob Dice,GLTC - FWD,1:47.534,3,9,1.403,0
40,32,Chandler Roe,GLTC - FWD,1:46.142,6,9,0.685,0
41,73,Jason Saini,GLTC - RWD,1:42.443,3,8,1 Lap,0
42,528,Richard Sawicki,GLTC - RWD,1:49.179,3,8,1:43.571,0
43,184,Eric Jensen,GLTC - RWD,1:41.411,6,7,1 Lap,0
44,21,Shawn Krebsbach,GLTC - AWD,1:43.286,5,7,19.599,0
45,860,Nathan Manning,GLTC - RWD,1:50.549,2,3,4 Laps,0
46,51,David Rudzinski,GLTC - RWD,1:50.366,3,3,2.366,0
47,527,Jackson Jensen,GLTC - RWD,1:50.916,1,1,2 Laps,0
DQ,911,Julio Crispin,GLTC - RWD,1:45.434,3,9,,0
