t,,,,,
Pos,No.,Name,Class,Best Time/Heat,Model/Engine
1,72,Feras Qartoumy,UNLIMITED - RWD,1:25.103,Corvette
2,314,Michael Puglisi,TRACK MOD - AWD,1:31.156,LANCER
3,77,Jason Kanakry,TRACK MOD - RWD,1:33.817,720S
4,14,Kal Fortner,STREET MOD - RWD,1:34.164,AMG GT S
5,6,Michael Aumick,STREET MOD - AWD,1:34.312,STI
6,121,Ryan Mathews,STREET MOD - RWD,1:34.630,CORVETTE
7,22,Dallas Reed,UNLIMITED - RWD,1:35.432,RX-8
8,33,Chris Boersma,TRACK MOD - FWD,1:37.702,CIVIC
9,687,Jackie Ding,STREET GT - RWD,1:37.793,M2
10,655,Allen Ma,STREET MOD - RWD,1:37.849,RX-7
11,555,Joe Mielke,STREET - AWD,1:38.120,WRX STI
12,364,Nicholas Hendrix,STREET GT - RWD,1:38.124,CORVETTE
13,114,Bronson Mcnemar,TRACK MOD - RWD,1:38.138,MX-5 MIATA
14,70,Dewey Dewitt,STREET MOD - AWD,1:38.560,IMPREZA
15,29,Kyle Mckiou,STREET MOD - RWD,1:38.766,GR SUPRA
16,570,Kyle Magnuson,STREET GT - RWD,1:39.182,718 CAYMAN
17,74,Grant Davidson,CLUB TR - FWD,1:39.261,INTEGRA
18,55,Charles Miller,STREET - AWD,1:39.472,LANCER
19,363,Michael Kubiak,STREET GT - RWD,1:39.493,Corvette
20,310,Mike Coons,STREET - AWD,1:39.570,IMPREZA
21,351,Michael Barnes,STREET GT - RWD,1:39.646,MUSTANG
22,511,Peter Granberg,CLUB TR - RWD,1:40.126,BRZ
23,470,Edward Segal,STREET - FWD,1:40.319,CIVIC
24,139,Wilbur Huang,STREET MOD - RWD,1:40.530,GR SUPRA
25,62,Matt Simpkins,STREET MOD - RWD,1:40.643,GR SUPRA
26,12,Andrew Sonnevil,TRACK MOD - RWD,1:41.018,MX-5 MIATA
27,727,Mario Mirone,CLUB TR - FWD,1:41.048,CIVIC
28,54,Unfinished Racing,STREET MOD - RWD,1:41.151,CORVETTE
29,226,Jerry Liu,STREET MOD - RWD,1:41.396,718 CAYMAN
30,717,Scott Hollingsworth,STREET MOD - RWD,1:42.038,S2000
31,206,Dalton Klein,TRACK MOD - RWD,1:42.281,CORVETTE
32,89,Brandon Hodge,STREET GT - RWD,1:42.679,GR SUPRA
33,109,Dana Basinski,CLUB TR - RWD,1:42.786,BRZ
34,61,Fez Babar,CLUB TR - RWD,1:43.022,GR86
35,79,Nicholas Kohrs,STREET MOD - FWD,1:43.201,CIVIC
36,13,Jerami Bailey,CLUB TR - RWD,1:43.322,FR-S
37,960,Sean Heneghan,CLUB TR - FWD,1:43.573,CIVIC
38,517,Tim Lutz,STREET MOD - RWD,1:43.777,CORVETTE
39,64,Alex Westergaard,TRACK MOD - RWD,1:43.994,S2000
40,194,Mike Callaway,STREET - AWD,1:44.454,IMPREZA
41,514,Evan Mclaren,CLUB TR - FWD,1:44.569,INTEGRA
42,19,Josh Powers,TRACK MOD - RWD,1:44.585,CORVETTE
43,129,Johnny Rose,CLUB TR - RWD,1:44.598,GR86
44,307,Andy Hsiao,STREET MOD - RWD,1:44.632,CORVETTE
45,997,Jason Gaydos,STREET - RWD,1:44.661,BRZ
46,44,Joel Phillips,STREET GT - RWD,1:44.766,911
47,878,John Silva,STREET MOD - FWD,1:44.855,CIVIC
48,98,Steven Stewart,TRACK MOD - AWD,1:45.022,IMPREZA
49,39,Gregory Formosa,STREET - AWD,1:45.057,LANCER
50,736,Cody Smith,STREET MOD - RWD,1:45.595,CUTLASS
51,199,Ian Flavin,CLUB TR - RWD,1:45.638,BRZ
52,7,Thomas Halka,STREET - AWD,1:46.050,IMPREZA
53,238,Garrett Gloceri,CLUB TR - RWD,1:46.995,RX-8
54,169,Dan Mai,CLUB TR - RWD,1:47.620,325I
55,87,Alan Newsome,STREET MOD - RWD,1:49.381,RX7
56,202,Rebekah Cohen,STREET MOD - FWD,1:49.563,CIVIC TYPE R
57,11,Graham Gaylord,- AWD,1:49.976,RS 3
58,191,Jessica Powers,TRACK MOD - RWD,1:50.208,CORVETTE
59,575,Clay Davidson,STREET MOD - RWD,1:50.849,240SX
60,15,Adam Wrobel,CLUB TR - FWD,1:51.400,INTEGRA
61,46,Nehru Cheddie,CLUB TR - AWD,1:51.591,GR COROLLA
62,611,Benjamin Carter,CLUB TR - RWD,1:51.865,S2000
63,130,James Smith,SUNDAE CUP - FWD,1:52.481,FIT
64,69,Cody Umbaugh,STREET - FWD,1:53.275,CIVIC
65,63,Luca Barberis,STREET - AWD,1:53.683,LANCER
66,5,Ezekiel Malchow,STREET MOD - RWD,1:53.812,MUSTANG
67,509,Kevin Wendt,CLUB TR - FWD,1:54.008,CR-X
68,144,Ryan Mukherjee,SUNDAE CUP - FWD,1:54.369,FIT
69,99,George Reeves,CLUB TR - RWD,1:55.422,MX-5
70,823,Erin Weaver,CLUB TR - RWD,1:57.107,MX-5 MIATA
71,488,Matt Dietlin,SUNDAE CUP - FWD,1:58.171,FIT
72,1,Chris Wolf,SUNDAE CUP - FWD,2:00.344,FIT
73,269,Christian Wendland,SUNDAE CUP - FWD,2:09.034,FIT
74,95,Will Stewart,STREET MOD - RWD,,MX-5 MIATA
75,338,Ernestas Puzelis,UNLIMITED - RWD,,CORVETTE C6
