Practice 2 Results - All Groups,,,,,
Pos,No.,Name,Class,Best Time/Heat,Model/Engine
1,72,Feras Qartoumy,UNLIMITED - RWD,1:23.227,Corvette
2,121,Ryan Mathews,STREET MOD - RWD,1:34.072,CORVETTE
3,314,Michael Puglisi,TRACK MOD - AWD,1:34.268,LANCER
4,70,Dewey Dewitt,STREET MOD - AWD,1:34.805,IMPREZA
5,22,Dallas Reed,UNLIMITED - RWD,1:35.480,RX-8
6,338,Ernestas Puzelis,UNLIMITED - RWD,1:35.577,CORVETTE C6
7,687,Jackie Ding,STREET GT - RWD,1:36.884,M2
8,17,Alex Artayet,STREET GT - RWD,1:37.333,M3
9,29,Kyle Mckiou,STREET MOD - RWD,1:37.363,GR SUPRA
10,307,Andy Hsiao,STREET MOD - RWD,1:37.704,CORVETTE
11,570,Kyle Magnuson,STREET GT - RWD,1:37.750,718 CAYMAN
12,62,Matt Simpkins,STREET MOD - RWD,1:37.928,GR SUPRA
13,114,Bronson Mcnemar,TRACK MOD - RWD,1:38.349,MX-5 MIATA
14,555,Joe Mielke,STREET - AWD,1:38.434,WRX STI
15,333,Anthony Barber,STREET - AWD,1:38.683,MODEL 3
16,226,Jerry Liu,STREET MOD - RWD,1:38.967,718 CAYMAN
17,89,Brandon Hodge,STREET GT - RWD,1:39.076,GR SUPRA
18,717,Scott Hollingsworth,STREET MOD - RWD,1:39.153,S2000
19,364,Nicholas Hendrix,STREET GT - RWD,1:39.237,CORVETTE
20,55,Charles Miller,STREET - AWD,1:39.637,LANCER
21,727,Mario Mirone,CLUB TR - FWD,1:39.789,CIVIC
22,531,Evan Weider,CLUB TR - FWD,1:40.092,CIVIC
23,470,Edward Segal,STREET - FWD,1:40.390,CIVIC
24,34,Andy Voelkel,STREET GT - RWD,1:40.457,CORVETTE
25,511,Peter Granberg,CLUB TR - RWD,1:40.651,BRZ
26,79,Nicholas Kohrs,STREET MOD - FWD,1:40.654,CIVIC
27,109,Dana Basinski,CLUB TR - RWD,1:40.792,BRZ
28,139,Wilbur Huang,STREET MOD - RWD,1:40.871,GR SUPRA
29,77,Jason Kanakry,TRACK MOD - RWD,1:40.894,720S
30,514,Evan Mclaren,CLUB TR - FWD,1:41.174,INTEGRA
31,123,Whiskey Danger Racing,TRACK MOD - RWD,1:41.380,S2000
32,206,Dalton Klein,TRACK MOD - RWD,1:41.496,CORVETTE
33,187,Keenan Prusank,STREET GT - RWD,1:41.510,CAMARO
34,61,Fez Babar,CLUB TR - RWD,1:41.785,GR86
35,11,Graham Gaylord,STREET GT - AWD,1:42.514,RS 3
36,13,Jerami Bailey,CLUB TR - RWD,1:42.674,FR-S
37,878,John Silva,STREET MOD - FWD,1:42.775,CIVIC
38,64,Alex Westergaard,TRACK MOD - RWD,1:42.834,S2000
39,743,Devin Giles,STREET MOD - RWD,1:42.938,Cayman
40,960,Sean Heneghan,CLUB TR - FWD,1:43.119,CIVIC
41,517,Tim Lutz,STREET MOD - RWD,1:43.527,CORVETTE
42,98,Steven Stewart,TRACK MOD - AWD,1:43.596,IMPREZA
43,997,Jason Gaydos,STREET - RWD,1:43.789,BRZ
44,129,Johnny Rose,CLUB TR - RWD,1:45.314,GR86
45,199,Ian Flavin,CLUB TR - RWD,1:46.335,BRZ
46,7,Thomas Halka,STREET - AWD,1:46.406,IMPREZA
47,28,Knottfast Motorsports,CLUB TR - RWD,1:46.917,FR-S
48,611,Benjamin Carter,CLUB TR - RWD,1:47.179,S2000
49,169,Dan Mai,CLUB TR - RWD,1:49.044,325I
50,69,Cody Umbaugh,STREET - FWD,1:49.445,CIVIC
51,15,Adam Wrobel,CLUB TR - FWD,1:49.465,INTEGRA
52,410,Foster Johnson,CLUB TR - RWD,1:50.535,S2000
53,509,Kevin Wendt,CLUB TR - FWD,1:51.752,CR-X
54,5,Ezekiel Malchow,STREET MOD - RWD,1:51.952,MUSTANG
55,191,Jessica Powers,TRACK MOD - RWD,1:52.108,CORVETTE
56,575,Clay Davidson,STREET MOD - RWD,1:52.195,240SX
57,19,Josh Powers,TRACK MOD - RWD,1:52.270,CORVETTE
58,144,Ryan Mukherjee,SUNDAE CUP - FWD,1:54.255,FIT
59,488,Matt Dietlin,SUNDAE CUP - FWD,1:58.610,FIT
60,269,Christian Wendland,SUNDAE CUP - FWD,2:03.163,FIT
61,63,Luca Barberis,STREET - AWD,,LANCER
62,194,Mike Callaway,STREET - AWD,,IMPREZA
63,165,Jeremy Salenius,UNLIMITED - RWD,,MUSTANG
