Qualifying 1 Results - All Groups,,,,,
Pos,No.,Name,Class,Best Time/Heat,Model/Engine
1,74,Grant Davidson,CLUB TR - FWD,1:39.912,INTEGRA
2,531,Evan Weider,CLUB TR - FWD,1:40.327,CIVIC
3,20,Matthew Koval,CLUB TR - RWD,1:40.361,S2000
4,109,Dana Basinski,CLUB TR - RWD,1:40.465,BRZ
5,326,Last Minute Racing,CLUB TR - RWD,1:41.067,86
6,511,Peter Granberg,CLUB TR - RWD,1:41.122,BRZ
7,61,Fez Babar,CLUB TR - RWD,1:41.133,GR86
8,514,Evan Mclaren,CLUB TR - FWD,1:41.863,INTEGRA
9,123,Whiskey Danger Racing,CLUB TR - RWD,1:42.755,S2000
10,13,Jerami Bailey,CLUB TR - RWD,1:43.363,FR-S
11,611,Benjamin Carter,CLUB TR - RWD,1:45.025,S2000
12,199,Ian Flavin,CLUB TR - RWD,1:45.164,BRZ
13,510,Piero Pucci,CLUB TR - RWD,1:45.314,FR-S
14,129,Johnny Rose,CLUB TR - RWD,1:45.708,GR86
15,238,Garrett Gloceri,CLUB TR - RWD,1:45.940,RX-8
16,28,Knottfast Motorsports,CLUB TR - RWD,1:46.815,FR-S
17,151,Nathan Poulson,CLUB TR - RWD,1:46.877,BRZ
18,442,Logan Geyer,CLUB TR - RWD,1:47.307 UO,BRZ
19,572,Ivan Munoz,CLUB TR - RWD,1:47.499,BRZ
20,142,Juan Johnson,CLUB TR - RWD,1:48.095,S2000
21,15,Adam Wrobel,CLUB TR - FWD,1:48.182,INTEGRA
22,46,Nehru Cheddie,CLUB TR - AWD,1:48.813,GR COROLLA
23,169,Dan Mai,CLUB TR - RWD,1:49.991,325I
24,125,Kevin Head,CLUB TR - RWD,1:50.023,RX-7
25,509,Kevin Wendt,CLUB TR - FWD,1:54.060,CR-X
26,99,George Reeves,CLUB TR - RWD,1:55.246,MX-5
27,280,Emanuel Carr,CLUB TR - RWD,1:56.717,280Z
28,950,Jacob Maller,CLUB TR - FWD,2:05.622,850
29,823,Erin Weaver,CLUB TR - RWD,,MX-5 MIATA
1,63,Luca Barberis,STREET - AWD,1:38.153,LANCER
2,333,Anthony Barber,STREET - AWD,1:39.354,MODEL 3
3,625,Sam Bosnian,STREET - RWD,1:39.469,350Z
4,310,Mike Coons,STREET - AWD,1:39.470,IMPREZA
5,55,Charles Miller,STREET - AWD,1:40.885,LANCER
6,470,Edward Segal,STREET - FWD,1:41.951,CIVIC
7,399,Kevin Kerr,STREET - AWD,1:42.180,LANCER
8,194,Mike Callaway,STREET - AWD,1:43.170,IMPREZA
9,68,Patrick Daugherty,STREET - FWD,1:44.199,CIVIC TYPE R
10,551,Benjamin Hawrysko,STREET - AWD,1:44.643,
11,39,Gregory Formosa,STREET - AWD,1:45.005,LANCER
12,7,Thomas Halka,STREET - AWD,1:45.632,IMPREZA
13,997,Jason Gaydos,STREET - RWD,1:47.340,BRZ
14,69,Cody Umbaugh,STREET - FWD,1:47.403,CIVIC
15,410,Foster Johnson,STREET - FWD,1:48.080,CIVIC TYPE R
16,124,Damian Mccann,STREET - AWD,1:51.896,IMPREZA
17,555,Joe Mielke,STREET - AWD,,WRX STI
1,84,Ido Waksman,STREET GT - RWD,1:36.474,CORVETTE
2,570,Kyle Magnuson,STREET GT - RWD,1:37.148,718 CAYMAN
3,687,Jackie Ding,STREET GT - RWD,1:37.647,M2
4,34,Andy Voelkel,STREET GT - RWD,1:37.781,CORVETTE
5,17,Alex Artayet,STREET GT - RWD,1:38.132,M3
6,89,Brandon Hodge,STREET GT - RWD,1:38.564,GR SUPRA
7,187,Keenan Prusank,STREET GT - RWD,1:39.231,CAMARO
8,364,Nicholas Hendrix,STREET GT - RWD,1:39.554,CORVETTE
9,226,Jerry Liu,STREET GT - RWD,1:40.083,718 CAYMAN
10,44,Joel Phillips,STREET GT - RWD,1:40.237,911
11,363,Michael Kubiak,STREET GT - RWD,1:40.270,CORVETTE
12,351,Michael Barnes,STREET GT - RWD,1:40.752,MUSTANG
13,11,Graham Gaylord,STREET GT - AWD,1:43.820,RS 3
14,373,Benjamin Smolen,STREET GT - RWD,,MUSTANG
1,6,Michael Aumick,STREET MOD - AWD,1:32.517,STI
2,121,Ryan Mathews,STREET MOD - RWD,1:33.786,CORVETTE
3,14,Kal Fortner,STREET MOD - RWD,1:34.740,AMG GT S
4,29,Kyle Mckiou,STREET MOD - RWD,1:36.375,GR SUPRA
5,307,Andy Hsiao,STREET MOD - RWD,1:36.503,CORVETTE
6,878,John Silva,STREET MOD - FWD,1:37.940,CIVIC
7,655,Allen Ma,STREET MOD - RWD,1:38.228,RX-7
8,82,Jaime Santos,STREET MOD - RWD,1:38.309,135I
