Podium Sprint Results - All Groups,,,,,
Pos,No.,Name,Class,Best Time/Heat,Model/Engine
1,326,Last Minute Racing,CLUB TR - RWD,1:40.718,86
2,511,Peter Granberg,CLUB TR - RWD,1:41.056,BRZ
3,109,Dana Basinski,CLUB TR - RWD,1:41.271,BRZ
4,61,Fez Babar,CLUB TR - RWD,1:41.274,GR86
5,74,Grant Davidson,CLUB TR - FWD,1:41.345,INTEGRA
1,63,Luca Barberis,STREET - AWD,1:37.238,LANCER
2,555,Joe Mielke,STREET - AWD,1:38.216,WRX STI
3,55,Charles Miller,STREET - AWD,1:40.079,LANCER
4,310,Mike Coons,STREET - AWD,1:40.883,IMPREZA
5,333,Anthony Barber,STREET - AWD,1:40.203 DQ,MODEL 3
1,84,Ido Waksman,STREET GT - RWD,1:37.274,CORVETTE
2,687,Jackie Ding,STREET GT - RWD,1:37.887,M2
3,89,Brandon Hodge,STREET GT - RWD,1:37.977,GR SUPRA
4,570,Kyle Magnuson,STREET GT - RWD,1:38.717,718 CAYMAN
5,34,Andy Voelkel,STREET GT - RWD,1:38.768,CORVETTE
1,70,Dewey Dewitt,STREET MOD - AWD,1:32.778,IMPREZA
2,121,Ryan Mathews,STREET MOD - RWD,1:34.364,CORVETTE
3,6,Michael Aumick,STREET MOD - AWD,1:34.722,STI
4,14,Kal Fortner,STREET MOD - RWD,1:35.235,AMG GT S
5,307,Andy Hsiao,STREET MOD - RWD,1:37.352,CORVETTE
1,130,James Smith,SUNDAE CUP - FWD,1:54.136,FIT
2,463,Kevin Gu,SUNDAE CUP - FWD,1:54.132,CIVIC
3,144,Ryan Mukherjee,SUNDAE CUP - FWD,1:55.206,FIT
4,369,Lucas Urban,SUNDAE CUP - FWD,1:54.534 DQ,ZX2
5,126,Jacob Abbott,SUNDAE CUP - FWD,1:53.294 DQ,FIT
1,77,Jason Kanakry,TRACK MOD - RWD,1:31.754,720S
2,33,Chris Boersma,TRACK MOD - FWD,1:32.677,CIVIC
3,114,Bronson Mcnemar,TRACK MOD - RWD,1:36.776,MX-5 MIATA
4,206,Dalton Klein,TRACK MOD - RWD,1:37.235,CORVETTE
5,314,Michael Puglisi,TRACK MOD - AWD,1:33.336 DQ,LANCER
1,72,Feras Qartoumy,UNLIMITED - RWD,1:26.302,CORVETTE
2,22,Dallas Reed,UNLIMITED - RWD,1:32.871,RX-8
3,338,Ernestas Puzelis,UNLIMITED - RWD,1:33.941,CORVETTE C6
4,911,Jim Rauck,UNLIMITED - RWD,1:34.069,GT2RS
5,171,Andrius Bertulis,UNLIMITED - RWD,1:41.146,RCF
