Heat 1 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time/Heat,Model/Engine
1,610,Nick Anderson,UNLIMITED - RWD,1:35.195,VIPER
2,27,Brad Perkins,UNLIMITED - RWD,1:36.715,M3
3,70,Dewey Dewitt,STREET MOD - AWD,1:42.053,IMPREZA
4,77,Jason Kanakry,TRACK MOD - RWD,1:42.508,720S
5,171,Andrius Bertulis,UNLIMITED - RWD,1:43.673,RCF
6,310,Mike Coons,STREET - AWD,1:45.549,IMPREZA
7,55,Charles Miller,STREET - AWD,1:45.813,LANCER
8,570,Kyle Magnuson,STREET GT - RWD,1:45.822,718 CAYMAN
9,364,Nicholas Hendrix,STREET GT - RWD,1:45.895,CORVETTE
10,109,Dana Basinski,CLUB TR - RWD,1:46.028,BRZ
11,299,Colton Drescosky,UNLIMITED - RWD,1:46.300,VIPER
12,34,Andy Voelkel,STREET GT - RWD,1:46.497,CORVETTE
13,29,Kyle Mckiou,STREET MOD - RWD,1:46.876,GR SUPRA
14,63,Luca Barberis,STREET - AWD,1:47.154,LANCER
15,165,Jeremy Salenius,UNLIMITED - RWD,1:47.183,MUSTANG
16,40,Jeremy Boysen,TRACK MOD - RWD,1:47.567,CORVETTE
17,128,Daniel Moore,STREET MOD - FWD,1:47.648,CIVIC
18,61,Fez Babar,CLUB TR - RWD,1:47.781,GR86
19,326,Stan Fayngold,CLUB TR - RWD,1:48.146,86
20,511,Peter Granberg,CLUB TR - RWD,1:48.759,BRZ
21,546,Andy Sundeen,TRACK MOD - RWD,1:48.994,M3
22,722,Cody Sawyers,STREET - AWD,1:49.261,GOLF R
23,727,Mario Mirone,CLUB TR - FWD,1:49.510,CIVIC
24,19,Josh Powers,TRACK MOD - RWD,1:49.590,CORVETTE
25,605,Aaron Meyer,UNLIMITED - RWD,1:50.310,VIPER
26,67,Mat Beck,TRACK MOD - RWD,1:50.316,240SX
27,309,Tony Starks,STREET - FWD,1:50.708,TL
28,38,Aaron Rekkedahl,STREET - FWD,1:50.839,CIVIC TYPE R
29,510,Piero Pucci,CLUB TR - RWD,1:51.026,FR-S
30,163,Luke Records,STREET GT - RWD,1:51.289,CORVETTE
31,338,Ernestas Puzelis,UNLIMITED - RWD,1:51.290,CAYMAN
32,572,Ivan Munoz,CLUB TR - RWD,1:51.559,FRS
33,757,Ernie Ramirez,STREET - AWD,1:51.672,LANCER
34,199,Ian Flavin,CLUB TR - RWD,1:52.262,BRZ
35,239,Tan Nguyen,CLUB TR - RWD,1:52.598,S2000
36,39,Gregory Formosa,STREET - AWD,1:52.895,LANCER
37,398,Mike Vaniperen,TRACK MOD - RWD,1:53.182,MUSTANG
38,740,Alexis Fregoso,CLUB TR - FWD,1:53.317,RSX
39,654,Nick Aegerter,STREET - AWD,1:53.616,FOCUS
40,826,Tim Fleury,TRACK MOD - RWD,1:53.727,CAMARO
41,13,Jerami Bailey,CLUB TR - RWD,1:54.087,FR-S
42,995,Thomas Martinez,STREET GT - RWD,1:54.229,M2
43,11,Graham Gaylord,CLUB TR - AWD,1:54.653,GR COROLLA
44,417,Drew Sanford,CLUB TR - RWD,1:55.202,S2000
45,191,Jessica Powers,TRACK MOD - RWD,1:55.264,CORVETTE
46,223,Kunwoo Lee,CLUB TR - RWD,1:56.249,GR86
47,186,Trip Walker,CLUB TR - RWD,1:57.229,FR-S
48,46,Nehru Cheddie,CLUB TR - AWD,1:57.611,GR COROLLA
49,828,Matthew Smith,CLUB TR - RWD,1:58.116,S2000
50,60,Steven Bright,TRACK MOD - RWD,1:58.190,350Z
51,622,Jake Rawson,STREET MOD - RWD,1:59.156,M3
52,470,Cooper Pierce,SUNDAE CUP - FWD,1:59.463,FIT
53,130,James Smith,SUNDAE CUP - FWD,2:00.379,FIT
54,113,Chip Smith,STREET GT - RWD,2:00.473,MUSTANG
55,369,Lucas Urban,SUNDAE CUP - FWD,2:00.526,ZX2
56,144,Ryan Mukherjee,SUNDAE CUP - FWD,2:00.915,FIT
57,88,Collin Ryser,SUNDAE CUP - FWD,2:01.328,COOPER
58,36,Daniel Cummings,SUPER UNLIMITED - RWD,2:01.484,360
59,272,Scott Bria,STREET - RWD,2:01.879,M3
60,126,Jacob Abbott,SUNDAE CUP - FWD,2:02.275,FIT
61,488,Matt Dietlin,SUNDAE CUP - FWD,2:02.332,FIT
62,156,Mike Janssen,SUNDAE CUP - FWD,2:03.083,HARDTOP
63,433,Robert Miller,SUNDAE CUP - FWD,2:07.279,RIO
64,413,Parker Field,CLUB TR - FWD,2:08.423,RABBIT
65,675,Adam Jabaay,SUNDAE CUP - FWD,2:09.469,Fit
66,269,Christian Wendland,SUNDAE CUP - FWD,2:10.148,FIT
