Overall Results - All Groups,,,,,
Pos,No.,Name,Class,Best Time/Heat,Model/Engine
1,500,Steve Luca,UNLIMITED - RWD,1:32.864,Mustang
2,27,Brad Perkins,UNLIMITED - RWD,1:34.353,M3
3,610,Nick Anderson,UNLIMITED - RWD,1:34.887,VIPER
4,70,Dewey Dewitt,STREET MOD - AWD,1:37.727,IMPREZA
5,77,Jason Kanakry,TRACK MOD - RWD,1:38.556,720S
6,29,Kyle Mckiou,STREET MOD - RWD,1:39.720,GR SUPRA
7,299,Colton Drescosky,UNLIMITED - RWD,1:40.013,VIPER
8,171,Andrius Bertulis,UNLIMITED - RWD,1:40.606,RCF
9,67,Mat Beck,TRACK MOD - RWD,1:41.206,240SX
10,570,Kyle Magnuson,STREET GT - RWD,1:41.656,718 CAYMAN
11,63,Luca Barberis,STREET - AWD,1:41.993,LANCER
12,206,Dalton Klein,TRACK MOD - RWD,1:42.356,CORVETTE
13,128,Daniel Moore,STREET MOD - FWD,1:42.658,CIVIC
14,826,Tim Fleury,TRACK MOD - RWD,1:42.716,CAMARO
15,310,Mike Coons,STREET - AWD,1:42.888,IMPREZA
16,34,Andy Voelkel,STREET GT - RWD,1:43.044,CORVETTE
17,364,Nicholas Hendrix,STREET GT - RWD,1:43.284,CORVETTE
18,109,Dana Basinski,CLUB TR - RWD,1:43.459,BRZ
19,605,Aaron Meyer,UNLIMITED - RWD,1:43.896,VIPER
20,727,Mario Mirone,CLUB TR - FWD,1:44.405,CIVIC
21,55,Charles Miller,STREET - AWD,1:44.422,LANCER
22,40,Jeremy Boysen,TRACK MOD - RWD,1:45.125,CORVETTE
23,61,Fez Babar,CLUB TR - RWD,1:45.133,GR86
24,38,Aaron Rekkedahl,STREET - FWD,1:45.355,CIVIC TYPE R
25,525,Jeremy Lowder,UNLIMITED - RWD,1:45.564,Corvette
26,338,Ernestas Puzelis,UNLIMITED - RWD,1:45.581,CAYMAN
27,309,Tony Starks,STREET - FWD,1:45.591,TL
28,326,Stan Fayngold,CLUB TR - RWD,1:45.673,86
29,654,Nick Aegerter,STREET - AWD,1:45.689,FOCUS
30,722,Cody Sawyers,STREET - AWD,1:45.940,GOLF R
31,39,Gregory Formosa,STREET - AWD,1:46.065,LANCER
32,511,Peter Granberg,CLUB TR - RWD,1:46.272,BRZ
33,199,Ian Flavin,CLUB TR - RWD,1:46.491,BRZ
34,239,Tan Nguyen,CLUB TR - RWD,1:46.806,S2000
35,510,Piero Pucci,CLUB TR - RWD,1:47.174,FR-S
36,165,Jeremy Salenius,UNLIMITED - RWD,1:47.183,MUSTANG
37,13,Jerami Bailey,CLUB TR - RWD,1:47.420,FR-S
38,757,Ernie Ramirez,STREET - AWD,1:47.774,LANCER
39,546,Andy Sundeen,TRACK MOD - RWD,1:47.932,M3
40,19,Josh Powers,TRACK MOD - RWD,1:48.189,CORVETTE
41,163,Luke Records,STREET GT - RWD,1:48.642,CORVETTE
42,398,Mike Vaniperen,TRACK MOD - RWD,1:49.010,MUSTANG
43,36,Daniel Cummings,SUPER UNLIMITED - RWD,1:49.504,360
44,572,Ivan Munoz,CLUB TR - RWD,1:49.681,FRS
45,11,Graham Gaylord,CLUB TR - AWD,1:49.824,GR COROLLA
46,223,Kunwoo Lee,CLUB TR - RWD,1:50.184,GR86
47,417,Drew Sanford,CLUB TR - RWD,1:50.610,S2000
48,622,Jake Rawson,STREET MOD - RWD,1:50.725,M3
49,191,Jessica Powers,TRACK MOD - RWD,1:51.038,CORVETTE
50,828,Matthew Smith,CLUB TR - RWD,1:51.617,S2000
51,740,Alexis Fregoso,CLUB TR - FWD,1:51.641,RSX
52,186,Trip Walker,CLUB TR - RWD,1:51.980,FR-S
53,995,Thomas Martinez,STREET GT - RWD,1:52.515,M2
54,46,Nehru Cheddie,CLUB TR - AWD,1:54.662,GR COROLLA
55,113,Chip Smith,STREET GT - RWD,1:55.781,MUSTANG
56,304,Cesar Molina,CLUB TR - FWD,1:56.501,CIVIC
57,126,Jacob Abbott,SUNDAE CUP - FWD,1:57.041,FIT
58,156,Mike Janssen,SUNDAE CUP - FWD,1:57.062,HARDTOP
59,144,Ryan Mukherjee,SUNDAE CUP - FWD,1:57.114,FIT
60,369,Lucas Urban,SUNDAE CUP - FWD,1:57.228,ZX2
61,470,Cooper Pierce,SUNDAE CUP - FWD,1:57.333,FIT
62,138,David Bruner,STREET - RWD,1:57.357,350Z
63,130,James Smith,SUNDAE CUP - FWD,1:57.418,FIT
64,60,Steven Bright,TRACK MOD - RWD,1:57.669,350Z
65,88,Collin Ryser,SUNDAE CUP - FWD,1:58.553,COOPER
66,488,Matt Dietlin,SUNDAE CUP - FWD,1:58.887,FIT
67,413,Parker Field,CLUB TR - FWD,2:00.044,RABBIT
68,272,Scott Bria,STREET - RWD,2:01.879,M3
69,675,Adam Jabaay,SUNDAE CUP - FWD,2:03.313,Fit
70,433,Robert Miller,SUNDAE CUP - FWD,2:03.720,RIO
71,804,Joey Vance,SUNDAE CUP - FWD,2:03.733,FIT
72,269,Christian Wendland,SUNDAE CUP - FWD,2:10.148,FIT
