Heat 6 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time/Heat,Model/Engine
1,33,Chris Boersma,TRACK MOD - FWD,54.749,CIVIC
2,713,William Auyeung,UNLIMITED - FWD,54.791,RSX
3,878,James Houghton,STREET MOD - FWD,54.821,CIVIC
4,70,Dewey Dewitt,STREET MOD - AWD,54.924,IMPREZA
5,338,Ernestas Puzelis,UNLIMITED - RWD,55.461,CORVETTE C6
6,6,Michael Aumick,STREET MOD - AWD,55.683,IMPREZA
7,232,Andrew Dekoning,TRACK MOD - AWD,56.328,MODEL S
8,14,Kal Fortner,STREET MOD - RWD,57.415,AMG GT S
9,555,Joe Mielke,STREET - AWD,58.236,WRX STI
10,109,Dana Basinski,CLUB TR - RWD,58.315,BRZ
11,34,Andy Voelkel,STREET GT - RWD,58.345,CORVETTE
12,330,James Houghton,CLUB TR - FWD,58.405,CSX
13,220,Jesse Echanique,TRACK MOD - AWD,58.446,ECLIPSE
14,212,Chris Smith,TRACK MOD - RWD,58.575,1 SERIES
15,167,Michael Kosior,STREET MOD - AWD,58.595,LANCER
16,525,Jeremy Lowder,UNLIMITED - RWD,58.732,CAMARO
17,727,Mario Mirone,CLUB TR - FWD,58.840,CIVIC
18,404,David Bamforth,TRACK MOD - RWD,58.960,CAYMAN
19,2,Connor Gallagher,STREET GT - AWD,58.983,GT-R
20,187,Keenan Prusank,STREET GT - RWD,59.031,CAMARO
21,531,Evan Weider,CLUB TR - FWD,59.066,CIVIC
22,632,Chris Ferraro,STREET MOD - RWD,59.199,M3
23,197,Mechanical Advantage Racing,UNLIMITED - AWD,59.316,IMPREZA
24,28,Knottfast Motorsports,TRACK MOD - RWD,59.485,FR-S
25,71,Kevin Horn,STREET GT - RWD,59.620,CAMARO
26,511,Peter Granberg,CLUB TR - RWD,59.644,BRZ
27,418,Blake Fitzgerald,CLUB TR - RWD,59.645,S2000
28,82,Jaime Santos,STREET - FWD,59.691,FOCUS
29,868,Steven Cheng,STREET GT - RWD,59.748,M3
30,369,Igor Kesilyov,TRACK MOD - AWD,59.945,MODEL 3
31,514,Evan Mclaren,CLUB TR - FWD,1:00.009,INTEGRA
32,991,Michael Budai,CLUB TR - FWD,1:00.514,CIVIC
33,194,Mike Callaway,STREET - AWD,1:00.602,IMPREZA
34,64,Alex Westergaard,TRACK MOD - RWD,1:00.602,S2000
35,55,Charles Miller,STREET - AWD,1:00.714,LANCER
36,495,Richard Cho,STREET - RWD,1:00.813,370Z
37,80,Chris Nahill,CLUB TR - RWD,1:00.843,BRZ
38,313,Otto Munoz,CLUB TR - RWD,1:00.952,S2000
39,44,Joel Phillips,STREET GT - RWD,1:00.980,911
40,880,Dead Boiz Racing,CLUB TR - RWD,1:01.164,FR-S
41,155,Michael Pagano,STREET GT - RWD,1:01.273,M4
42,994,Nathan Brown,STREET - FWD,1:01.364,GTI
43,230,Daniel Persing,CLUB TR - RWD,1:01.612,BRZ
44,925,Evan Motl,CLUB TR - RWD,1:01.713,S2000
45,49,Christopher Acosta,CLUB TR - FWD,1:01.726,CIVIC
46,442,Logan Geyer,CLUB TR - RWD,1:01.782,BRZ
47,470,Eddy Segal,STREET - FWD,1:01.910,CIVIC
48,87,Alan Newsome,STREET MOD - RWD,1:02.247,RX-7
49,69,Cody Umbaugh,STREET - FWD,1:02.365,CIVIC
50,76,Ethan Brown,STREET MOD - FWD,1:02.732,GOLF GTI
51,238,Garrett Gloceri,CLUB TR - RWD,1:02.953,RX-8
52,53,Benson Tai,CLUB TR - RWD,1:03.136,S2000
53,5,Ezekiel Malchow,STREET MOD - RWD,1:03.262,MUSTANG
54,419,James Bates,STREET GT - RWD,1:03.830,TRANS AM
55,712,Ian Johnson,CLUB TR - RWD,1:04.250,RX-8
56,146,Rob Dahm,STREET MOD - RWD,1:04.649,RX-7
57,142,Juan Johnson,CLUB TR - RWD,1:04.756,S2000
58,21,Devin Herndon,STREET - FWD,1:05.016,GLA
59,126,Jacob Abbott,SUNDAE CUP - FWD,1:05.165,FIT
60,91,Chris Rice,SUNDAE CUP - FWD,1:05.369,FIT
61,36,Daniel Cummings,SUPER UNLIMITED - RWD,1:05.505,360
62,130,James Smith,SUNDAE CUP - FWD,1:05.525,FIT
63,401,Sean Sullivan,STREET - FWD,1:05.556,GOLF GTI
64,909,Robertson Racing Mooncake,SUNDAE CUP - FWD,1:05.659,2
65,973,Luke Paglione,CLUBTR - FWD,1:05.712,INTEGRA
66,395,Michael Smith,SUNDAE CUP - FWD,1:05.908,FIT
67,996,Michael Hidalgo,CLUB TR - RWD,1:05.918,850
68,756,Mini Cupper,SUNDAE CUP - FWD,1:06.227,COOPER
69,202,Rebekah Cohen,STREET MOD - FWD,1:06.302,CIVIC TYPE R
70,352,Mark Bucheit,STREET - FWD,1:06.699,CIVIC
71,181,Heretics TimeAttack,SUNDAE CUP - FWD,1:06.756,PROTEGE
72,322,Justin Okamoto,CLUB TR - RWD,1:07.379,318I
73,464,Nicholas Babin,CLUB TR - RWD,1:07.394,MX-5 MIATA
74,218,Jason Mulderig,CLUB TR - RWD,1:09.046,S2000
75,400,Logan Manning,SUNDAE CUP - FWD,1:09.057,FIT
76,509,Kevin Wendt,CLUB TR - FWD,1:10.491,CR-X
77,823,Junar Gwinn,SUNDAE CUP - FWD,1:10.596,CR-Z
78,505,Isaac Rodriguez,SUNDAE CUP - FWD,1:14.166,2
79,500,Steven Luca,UNLIMITED - RWD,,MUSTANG
