Overall Results - All Groups,,,,,
Pos,No.,Name,Class,Best Time/Heat,Model/Engine
1,714,Sasha Anis,UNLIMITED - RWD,51.193,350Z
2,338,Ernestas Puzelis,UNLIMITED - RWD,53.871,CORVETTE C6
3,70,Dewey Dewitt,STREET MOD - AWD,54.524,IMPREZA
4,878,James Houghton,STREET MOD - FWD,54.683,CIVIC
5,33,Chris Boersma,TRACK MOD - FWD,54.725,CIVIC
6,460,Grant Walker,UNLIMITED - RWD,54.778,MIATA
7,713,William Auyeung,UNLIMITED - FWD,54.791,RSX
8,500,Steven Luca,UNLIMITED - RWD,55.138,MUSTANG
9,6,Michael Aumick,STREET MOD - AWD,55.253,IMPREZA
10,232,Andrew Dekoning,TRACK MOD - AWD,55.855,MODEL S
11,319,Stefano Lucente,UNLIMITED - RWD,55.953,M2
12,29,Kyle Mckiou,STREET MOD - RWD,56.735,GR SUPRA
13,14,Kal Fortner,STREET MOD - RWD,57.022,AMG GT S
14,525,Jeremy Lowder,UNLIMITED - RWD,57.315,CAMARO
15,275,Steven Mahadeo,TRACK MOD - FWD,57.591,CIVIC
16,167,Michael Kosior,STREET MOD - AWD,57.713,LANCER
17,632,Chris Ferraro,STREET MOD - RWD,57.817,M3
18,555,Joe Mielke,STREET - AWD,57.882,WRX STI
19,330,James Houghton,CLUB TR - FWD,57.907,CSX
20,109,Dana Basinski,CLUB TR - RWD,58.251,BRZ
21,34,Andy Voelkel,STREET GT - RWD,58.331,CORVETTE
22,145,Devin Hofmann,STREET MOD - AWD,58.415,WRX
23,220,Jesse Echanique,TRACK MOD - AWD,58.446,ECLIPSE
24,212,Chris Smith,TRACK MOD - RWD,58.575,1 SERIES
25,187,Keenan Prusank,STREET GT - RWD,58.624,CAMARO
26,404,David Bamforth,TRACK MOD - RWD,58.676,CAYMAN
27,727,Mario Mirone,CLUB TR - FWD,58.746,CIVIC
28,369,Igor Kesilyov,TRACK MOD - AWD,58.837,MODEL 3
29,531,Evan Weider,CLUB TR - FWD,58.916,CIVIC
30,2,Connor Gallagher,STREET GT - AWD,58.983,GT-R
31,511,Peter Granberg,CLUB TR - RWD,59.157,BRZ
32,28,Knottfast Motorsports,TRACK MOD - RWD,59.164,FR-S
33,418,Blake Fitzgerald,CLUB TR - RWD,59.236,S2000
34,197,Mechanical Advantage Racing,UNLIMITED - AWD,59.316,IMPREZA
35,470,Eddy Segal,STREET - FWD,59.353,CIVIC
36,71,Kevin Horn,STREET GT - RWD,59.450,CAMARO
37,333,Tony Barber,STREET - AWD,59.550,MODEL 3
38,82,Jaime Santos,STREET - FWD,59.628,FOCUS
39,514,Evan Mclaren,CLUB TR - FWD,59.735,INTEGRA
40,868,Steven Cheng,STREET GT - RWD,59.748,M3
41,194,Mike Callaway,STREET - AWD,59.923,IMPREZA
42,987,Raul Mora,TRACK MOD - AWD,59.983,IMPREZA
43,925,Evan Motl,CLUB TR - RWD,1:00.206,S2000
44,991,Michael Budai,CLUB TR - FWD,1:00.293,CIVIC
45,230,Daniel Persing,CLUB TR - RWD,1:00.365,BRZ
46,64,Alex Westergaard,TRACK MOD - RWD,1:00.540,S2000
47,55,Charles Miller,STREET - AWD,1:00.583,LANCER
48,880,Dead Boiz Racing,CLUB TR - RWD,1:00.629,FR-S
49,994,Nathan Brown,STREET - FWD,1:00.629,GTI
50,313,Otto Munoz,CLUB TR - RWD,1:00.665,S2000
51,115,Zi Lin,STREET GT - RWD,1:00.707,M4
52,495,Richard Cho,STREET - RWD,1:00.740,370Z
53,80,Chris Nahill,CLUB TR - RWD,1:00.749,BRZ
54,44,Joel Phillips,STREET GT - RWD,1:00.891,911
