GLTC Qualifying,,,,,
Pos,No.,Name,Class,Best Tm,Points
1,3,Jeremy Swenson,GLTC - RWD,1:34.934,3
2,7,Luke Mcgrew,GLTC - RWD,1:35.159,2
3,45,Paul Curley,GLTC - RWD,1:35.344,1
4,484,Matan Rosenberg,GLTC - RWD,1:35.430,0
5,82,Eric Kutil,GLTC - FWD,1:35.677,0
6,90,Matt Waldbaum,GLTC - RWD,1:35.815,0
7,41,James Houghton,GLTC - FWD,1:35.898,0
8,55,Paul Darling,GLTC - RWD,1:36.351,0
9,34,Austin Hertel,GLTC - RWD,1:36.449,0
10,374,Emile Tabb,GLTC - RWD,1:37.009,0
11,129,James Cathers,GLTC - RWD,1:37.173,0
12,2,Erik Meadows,GLTC - RWD,1:37.457,0
13,17,Tony Marchev,GLTC - RWD,1:37.496,0
14,1,Gary Wimble,GLTC - RWD,1:37.598,0
15,132,Jake Joraanstad,GLTC - RWD,1:37.662,0
16,917,Lena Chin,GLTC - RWD,1:37.806,0
17,166,Ben Thorn,GLTC - FWD,1:37.922,0
18,99,Ronnie Vajdak,GLTC - FWD,1:37.953,0
19,184,Eric Jensen,GLTC - RWD,1:37.967,0
20,85,Samuel Scott,GLTC - RWD,1:38.010,0
21,42,Zac Lovoy,GLTC - RWD,1:38.060,0
22,4,Adam Ulrich,GLTC - RWD,1:38.337,0
23,410,Shukla Salil,GLTC - RWD,1:38.668,0
24,243,Kevin Zhu,GLTC - FWD,1:38.675,0
25,14,Carlos Mendez,GLTC - RWD,1:38.840,0
26,71,Joel Morrison,GLTC - RWD,1:38.886,0
27,77,Myriad Motorsports,GLTC - RWD,1:38.964,0
28,40,Jeremy Boysen,GLTC - FWD,1:39.028,0
29,169,Derek King,GLTC - RWD,1:39.172,0
30,207,Adam Wood,GLTC - AWD,1:39.281,0
31,202,Jacob Price,GLTC - RWD,1:39.564,0
32,187,Chris Adams,GLTC - RWD,1:39.909,0
33,52,Mackenzie Korince,GLTC - FWD,1:40.179,0
34,515,Thomas Moss,GLTC - RWD,1:40.524,0
35,261,Brad Kosiba,GLTC - RWD,1:40.857,0
36,541,Seth Gale,GLTC - FWD,1:40.891,0
37,528,Richard Sawicki,GLTC - RWD,1:41.734,0
38,171,Clayton Fitzpatrick,GLTC - RWD,1:41.791,0
39,546,Andy Sundeen,GLTC - RWD,1:42.140,0
40,888,Dai Nguyen,GLTC - RWD,1:43.802,0
41,860,Nathan Manning,GLTC - RWD,1:44.388,0
42,104,Ben Lin,GLTC - RWD,1:48.727,0
43,32,Regular Guy Racing,GLTC - RWD,1:50.571,0
44,911,Julio Crispin,GLTC - RWD,1:38.046,0
