GLTC Race 1 Results,,,,,,,,
Pos,No.,Name,Class,Best Tm,In Lap,Laps,Gap,Points
1,7,Luke Mcgrew,GLTC - RWD,1:35.676,5,9,,25
2,484,Matan Rosenberg,GLTC - RWD,1:35.643,4,9,3.354,21
3,3,Jeremy Swenson,GLTC - RWD,1:35.703,4,9,0.293,18
4,41,James Houghton,GLTC - FWD,1:35.715,6,9,4.236,16
5,90,Matt Waldbaum,GLTC - RWD,1:36.544,7,9,4.670,15
6,55,Paul Darling,GLTC - RWD,1:36.583,9,9,0.484,14
7,34,Austin Hertel,GLTC - RWD,1:36.134,7,9,3.579,13
8,374,Emile Tabb,GLTC - RWD,1:37.400,2,9,5.448,12
9,2,Erik Meadows,GLTC - RWD,1:37.502,4,9,0.558,11
10,1,Gary Wimble,GLTC - RWD,1:37.501,4,9,0.719,10
11,129,James Cathers,GLTC - RWD,1:37.309,8,9,2.241,9
12,99,Ronnie Vajdak,GLTC - FWD,1:37.690,6,9,4.090,8
13,132,Jake Joraanstad,GLTC - RWD,1:37.812,8,9,1.503,7
14,917,Lena Chin,GLTC - RWD,1:37.707,8,9,1.014,6
15,42,Zac Lovoy,GLTC - RWD,1:38.309,7,9,1.908,5
16,166,Ben Thorn,GLTC - FWD,1:38.174,6,9,0.484,4
17,184,Eric Jensen,GLTC - RWD,1:38.385,7,9,4.040,3
18,410,Shukla Salil,GLTC - RWD,1:38.478,8,9,1.187,2
19,4,Adam Ulrich,GLTC - RWD,1:38.454,8,9,0.272,1
20,85,Samuel Scott,GLTC - RWD,1:38.583,4,9,0.463,0
21,71,Joel Morrison,GLTC - RWD,1:38.599,9,9,0.645,0
22,202,Jacob Price,GLTC - RWD,1:38.866,3,9,4.185,0
23,77,Myriad Motorsports,GLTC - RWD,1:39.340,7,9,0.613,0
24,40,Jeremy Boysen,GLTC - FWD,1:38.418,7,9,0.979,0
25,243,Kevin Zhu,GLTC - FWD,1:38.957,3,9,1.667,0
26,169,Derek King,GLTC - RWD,1:39.165,6,9,2.932,0
27,17,Tony Marchev,GLTC - RWD,1:38.416,4,9,1.165,0
28,207,Adam Wood,GLTC - AWD,1:39.099,9,9,1.764,0
29,187,Chris Adams,GLTC - RWD,1:39.901,2,9,2.061,0
30,52,Mackenzie Korince,GLTC - FWD,1:39.990,8,9,1.769,0
31,515,Thomas Moss,GLTC - RWD,1:39.929,7,9,0.037,0
32,261,Brad Kosiba,GLTC - RWD,1:40.523,5,9,3.774,0
33,546,Andy Sundeen,GLTC - RWD,1:40.463,6,9,1.007,0
34,541,Seth Gale,GLTC - FWD,1:40.342,6,9,1.629,0
35,171,Clayton Fitzpatrick,GLTC - RWD,1:40.469,6,9,1.261,0
36,888,Dai Nguyen,GLTC - RWD,1:41.730,3,9,12.112,0
37,860,Nathan Manning,GLTC - RWD,1:44.306,3,9,21.232,0
38,911,Julio Crispin,GLTC - RWD,1:39.797,8,8,1 Lap,0
39,104,Ben Lin,GLTC - RWD,1:45.609,6,8,1.577,0
40,14,Carlos Mendez,GLTC - RWD,1:39.715,4,5,3 Laps,0
41,32,Regular Guy Racing,GLTC - RWD,1:46.312,4,4,1 Lap,0
42,528,Richard Sawicki,GLTC - RWD,1:45.897,1,1,3 Laps,0
43,82,Eric Kutil,GLTC - FWD,,0,,,0
DQ,45,Paul Curley,GLTC - RWD,1:35.515,6,9,,0
