Practice 1 Results - All Groups,,,,,
Pos,No.,Name,Class,Best Time/Heat,Model/Engine
1,182,Logan Carswell,UNLIMITED - RWD,1:29.127,RX-7
2,121,Ryan Mathews,STREET MOD - RWD,1:30.400,CORVETTE
3,33,Chris Boersma,TRACK MOD - FWD,1:31.021,CIVIC
4,14,Kal Fortner,STREET MOD - RWD,1:31.731,AMG GT S
5,430,Devan Keeling,UNLIMITED - RWD,1:32.157,MUSTANG
6,114,Bronson Mcnemar,TRACK MOD - RWD,1:32.203,MX-5 MIATA
7,52,Nicholas Gardner,UNLIMITED - RWD,1:32.417,SHELBY GT500
8,7,Luke Mcgrew,TRACK MOD - RWD,1:32.703,CORVETTE
9,29,Kyle Mckiou,STREET MOD - RWD,1:32.829,GR SUPRA
10,54,Zachary Moore,STREET MOD - RWD,1:33.648,CORVETTE
11,333,Tony Barber,STREET - AWD,1:33.798,MODEL 3
12,84,Ido Waksman,STREET GT - RWD,1:34.178,CORVETTE
13,307,Andy Hsiao,STREET MOD - RWD,1:34.486,CORVETTE
14,155,Michael Pagano,TRACK MOD - RWD,1:34.548,330CI
15,171,Andrius Bertulis,UNLIMITED - RWD,1:35.075,RCF
16,89,Brandon Hodge,STREET GT - RWD,1:35.146,GR SUPRA
17,70,Dewey Dewitt,STREET MOD - AWD,1:35.526,IMPREZA
18,570,Kyle Magnuson,STREET GT - RWD,1:35.687,718 CAYMAN
19,363,Michael Kubiak,STREET GT - RWD,1:35.843,CORVETTE
20,44,Joel Phillips,STREET GT - RWD,1:36.732,911
21,62,Matt Simpkins,STREET MOD - RWD,1:36.876,GR SUPRA
22,187,Keenan Prusank,STREET GT - RWD,1:36.924,CAMARO
23,40,Ben Bulthuis,STREET GT - RWD,1:37.384,GR SUPRA
24,212,Chris Smith,TRACK MOD - RWD,1:37.686,1 SERIES
25,8,Andrew Mishra,STREET GT - RWD,1:38.242,CAYMAN
26,338,Ernestas Puzelis,UNLIMITED - RWD,1:38.305,CORVETTE C6
27,61,Fez Babar,CLUB TR - RWD,1:38.373,GR86
28,77,Jason Kanakry,TRACK MOD - RWD,1:38.509,M3
29,351,Michael Barnes,STREET GT - RWD,1:39.378,MUSTANG
30,511,Peter Granberg,CLUB TR - RWD,1:39.504,BRZ
31,194,Mike Callaway,STREET - AWD,1:39.671,IMPREZA
32,531,Evan Weider,CLUB TR - FWD,1:39.752,CIVIC
33,82,Jaime Santos,STREET MOD - RWD,1:39.943,135I
34,2,Connor Gallagher,STREET GT - AWD,1:40.085,GT-R
35,470,Eddy Segal,STREET - FWD,1:40.237,CIVIC
