Podium Sprint Results - All Groups,,,,,
Pos,No.,Name,Class,Best Time/Heat,Model/Engine
1,727,Mario Mirone,CLUB TR - FWD,1:36.556,CIVIC
2,531,Evan Weider,CLUB TR - FWD,1:36.926,CIVIC
3,514,Evan Mclaren,CLUB TR - FWD,1:37.049,INTEGRA
4,61,Fez Babar,CLUB TR - RWD,1:37.096,GR86
5,511,Peter Granberg,CLUB TR - RWD,1:37.813,BRZ
1,555,Joe Mielke,STREET - AWD,1:32.664,WRX STI
2,63,Luca Barberis,STREET - AWD,1:33.985,LANCER
3,333,Tony Barber,STREET - AWD,1:35.055,MODEL 3
4,470,Eddy Segal,STREET - FWD,1:36.870,CIVIC
5,39,Gregory Formosa,STREET - AWD,DNS,LANCER
1,84,Ido Waksman,STREET GT - RWD,1:32.345,CORVETTE
2,570,Kyle Magnuson,STREET GT - RWD,1:33.786,718 CAYMAN
3,187,Keenan Prusank,STREET GT - RWD,1:34.444,CAMARO
4,364,Nicholas Hendrix,STREET GT - RWD,1:34.959,CORVETTE
5,17,Alex Artayet,STREET GT - RWD,1:35.448,M3
1,70,Dewey Dewitt,STREET MOD - AWD,1:28.172,IMPREZA
2,6,Michael Aumick,STREET MOD - AWD,1:29.730,IMPREZA
3,121,Ryan Mathews,STREET MOD - RWD,1:29.855,CORVETTE
4,14,Kal Fortner,STREET MOD - RWD,1:31.327,AMG GT S
5,29,Kyle Mckiou,STREET MOD - RWD,1:31.561,GR SUPRA
1,463,Kevin Gu,SUNDAE CUP - FWD,1:49.068,CIVIC
2,170,Cooper Pierce,SUNDAE CUP - FWD,1:49.090,CIVIC
3,134,David Best,SUNDAE CUP - FWD,1:49.366,FIT
4,92,Brad Smith,SUNDAE CUP - FWD,1:49.517,Fit
5,130,James Smith,SUNDAE CUP - FWD,1:50.217,FIT
1,232,Andrew DeKonig,TRACK MOD - RWD,1:27.876,Model S
2,33,Chris Boersma,TRACK MOD - FWD,1:29.539,CIVIC
3,7,Luke Mcgrew,TRACK MOD - RWD,1:30.959,CORVETTE
4,114,Bronson Mcnemar,TRACK MOD - RWD,1:31.760,MX-5 MIATA
5,19,Josh Powers,TRACK MOD - RWD,1:37.514,CORVETTE
1,500,Steve Luca,UNLIMITED - RWD,1:28.254,MUSTANG
2,430,Devan Keeling,UNLIMITED - RWD,1:31.472,MUSTANG
3,52,Nicholas Gardner,UNLIMITED - RWD,1:31.716 DQ,SHELBY GT500
4,338,Ernestas Puzelis,UNLIMITED - RWD,DNS,CORVETTE
5,22,Dallas Reed,UNLIMITED - RWD,DNS,RX-8
