Qualifying 1 Results - All Groups,,,,,
Pos,No.,Name,Class,Best Time/Heat,Model/Engine
1,531,Evan Weider,CLUB TR - FWD,1:36.796,CIVIC
2,514,Evan Mclaren,CLUB TR - FWD,1:36.892,INTEGRA
3,330,James Houghton,CLUB TR - FWD,1:36.958,CSX
4,727,Mario Mirone,CLUB TR - FWD,1:37.059,CIVIC
5,511,Peter Granberg,CLUB TR - RWD,1:37.322,BRZ
6,61,Fez Babar,CLUB TR - RWD,1:37.746,GR86
7,13,Jerami Bailey,CLUB TR - RWD,1:39.129,FR-S
8,880,Jason Nguyen,CLUB TR - RWD,1:39.986,FR-S
9,94,Mike Bryant,CLUB TR - RWD,1:40.204,MX-5
10,410,Foster Johnson,CLUB TR - RWD,1:40.418,S2000
11,151,Ian Flavin,CLUB TR - RWD,1:40.592,BRZ
12,11,Graham Gaylord,CLUB TR - FWD,1:40.651,COROLLA
13,151x,Nathan Poulson,CLUB TR - RWD,1:41.045,BRZ
14,161,Todd Kaley,CLUB TR - RWD,1:41.061,BRZ
15,80,Chris Nahill,CLUB TR - RWD,1:41.156,BRZ
16,611,Benjamin Carter,CLUB TR - RWD,1:41.508,S2000
17,515,Winning Formula,CLUB TR - RWD,1:41.819,S2000
18,28,Peter Zhang,CLUB TR - RWD,1:41.948,FR-S
19,442,Logan Geyer,CLUB TR - RWD,1:42.723,BRZ
20,238,Garrett Gloceri,CLUB TR - RWD,1:43.666,RX-8
21,142,Juan Johnson,CLUB TR - RWD,1:44.273,S2000
22,919,Drew Turner,CLUB TR - RWD,1:44.816,S2000
23,15,Adam Wrobel,CLUB TR - FWD,1:45.103,INTEGRA
24,99,George Reeves,CLUB TR - RWD,1:55.633,MX-5
25,823,Erin Weaver,CLUB TR - RWD,1:55.931,Miata
1,232x,Andrew DeKonig,MODEL3 - AWD,1:29.855,Model S
2,333x,Tony Barber,MODEL3 - AWD,1:34.827,Model 3
1,63,Luca Barberis,STREET - AWD,1:33.740,LANCER
2,555,Joe Mielke,STREET - AWD,1:34.031,WRX STI
3,333,Tony Barber,STREET - AWD,1:34.825,MODEL 3
4,470,Eddy Segal,STREET - FWD,1:37.446,CIVIC
5,39,Gregory Formosa,STREET - AWD,1:39.393,LANCER
6,194,Mike Callaway,STREET - AWD,1:39.627,IMPREZA
7,7,Thomas Halka,STREET - AWD,1:41.317,IMPREZA
8,997,Jason Gaydos,STREET - RWD,1:42.272,BRZ
9,291,Dylan Rodgers,STREET - RWD,1:48.106,MX-5 MIATA
10,209,Kevin Wendt,STREET - AWD,1:48.438,LEGACY
11,660,Rick Hoback,STREET - RWD,1:49.882,Crown Victoria
12,69,Cody Umbaugh,STREET - FWD,,CIVIC
1,84,Ido Waksman,STREET GT - RWD,1:32.882,CORVETTE
2,570,Kyle Magnuson,STREET GT - RWD,1:33.798,718 CAYMAN
3,364,Nicholas Hendrix,STREET GT - RWD,1:34.708,CORVETTE
4,17,Alex Artayet,STREET GT - RWD,1:34.736,M3
5,89,Brandon Hodge,STREET GT - RWD,1:34.749,GR SUPRA
6,363,Michael Kubiak,STREET GT - RWD,1:35.628,CORVETTE
7,187,Keenan Prusank,STREET GT - RWD,1:35.848,CAMARO
8,44,Joel Phillips,STREET GT - RWD,1:35.910,911
9,351,Michael Barnes,STREET GT - RWD,1:37.159,MUSTANG
10,2,Connor Gallagher,STREET GT - AWD,1:37.466,GT-R
11,8,Andrew Mishra,STREET GT - RWD,1:38.156,CAYMAN
12,75,Jerome Cahuzac,STREET GT - RWD,1:43.263,M2
13,3,C.J. Mantel,STREET GT - RWD,1:43.996,911
14,40,Ben Bulthuis,STREET GT - RWD,5:14.355,GR SUPRA
1,6,Michael Aumick,STREET MOD - AWD,1:30.693,IMPREZA
2,121,Ryan Mathews,STREET MOD - RWD,1:31.476,CORVETTE
3,14,Kal Fortner,STREET MOD - RWD,1:31.767,AMG GT S
4,29,Kyle Mckiou,STREET MOD - RWD,1:32.160,GR SUPRA
5,307,Andy Hsiao,STREET MOD - RWD,1:33.700,CORVETTE
6,62,Matt Simpkins,STREET MOD - RWD,1:33.983,GR SUPRA
7,82,Jaime Santos,STREET MOD - RWD,1:34.684,135I
8,5,Ezekiel Malchow,STREET MOD - RWD,1:40.544,MUSTANG
9,741,John Butler,STREET MOD - RWD,1:41.737,M3
10,317,Tim Turner,STREET MOD - RWD,1:44.944,M3
11,575,Clay Davidson,STREET MOD - RWD,1:48.390,240SX
12,95,Will Stewart,STREET MOD - RWD,1:54.050,MX-5 MIATA
13,70,Dewey Dewitt,STREET MOD - AWD,,IMPREZA
14,279,Kris Kavar,STREET MOD - FWD,,CIVIC
15,420,Aric Streeter,STREET MOD - RWD,,Mustang
1,130,James Smith,SUNDAE CUP - FWD,1:49.518,FIT
2,91,Chris Rice,SUNDAE CUP - FWD,1:49.696,FIT
3,174,Jim Rauck,SUNDAE CUP - FWD,1:49.702,CIVIC
4,170,Cooper Pierce,SUNDAE CUP - FWD,1:49.774,CIVIC
5,463,Kevin Gu,SUNDAE CUP - FWD,1:49.870,CIVIC
6,134,David Best,SUNDAE CUP - FWD,1:49.953,FIT
7,92,Brad Smith,SUNDAE CUP - FWD,1:50.027,Fit
8,909,Robertson Racing Mooncake,SUNDAE CUP - FWD,1:50.087,MX-5 MIATA
9,395,Michael Smith,SUNDAE CUP - FWD,1:50.104,FIT
10,144,Ryan Mukherjee,SUNDAE CUP - FWD,1:50.401,FIT
11,156,Mike Janssen,SUNDAE CUP - FWD,1:50.447,HARDTOP
12,357,Luis Rodriguez,SUNDAE CUP - FWD,1:50.683,FIT
13,369,Lucas Urban,SUNDAE CUP - FWD,1:51.135,ZX2
14,488,Matt Dietlin,SUNDAE CUP - FWD,1:51.670,FIT
15,181,Heretics Time Attack,SUNDAE CUP - FWD,1:52.506,2
16,126,Abbott Auto,SUNDAE CUP - FWD,1:53.009,FIT
17,271,Ryan Carwile,SUNDAE CUP - FWD,1:53.415,COOPER
18,1,Chris Wolf,SUNDAE CUP - FWD,1:55.053,FIT
19,968,Erin Weaver,SUNDAE CUP - FWD,1:59.718,COUPE
20,175,Adam Morgan,SUNDAE CUP - FWD,2:00.346,FIT
1,232,Andrew DeKonig,TRACK MOD - RWD,1:29.854,Model S
2,33,Chris Boersma,TRACK MOD - FWD,1:31.305,CIVIC
3,114,Bronson Mcnemar,TRACK MOD - RWD,1:31.994,MX-5 MIATA
4,212,Chris Smith,TRACK MOD - RWD,1:36.856,1 SERIES
5,19,Josh Powers,TRACK MOD - RWD,1:38.050,CORVETTE
6,12,Andrew Sonnevil,TRACK MOD - RWD,1:39.075,MX-5 Miata
7,162,Brian Blaine,TRACK MOD - RWD,1:39.698,CIVIC
8,191,Jessica Powers,TRACK MOD - RWD,1:40.021,CORVETTE
9,64,Alex Westergaard,TRACK MOD - RWD,1:40.797,S2000
10,818,Jonny Grunwald,TRACK MOD - RWD,1:58.837,RX-7
11,404,David Bamforth,TRACK MOD - AWD,,IMPREZA
1,338,Ernestas Puzelis,UNLIMITED - RWD,1:29.382,CORVETTE C6
2,52,Nicholas Gardner,UNLIMITED - RWD,1:31.600,SHELBY GT500
3,22,Dallas Reed,UNLIMITED - RWD,1:31.788,RX-8
4,171,Andrius Bertulis,UNLIMITED - RWD,1:34.634,RCF
5,266,Shawn Bassett,UNLIMITED - RWD,1:44.555,CIVIC
6,182,Logan Carswell,UNLIMITED - RWD,,RX-7
