Heat 3 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time/Heat,Model/Engine
1,228,Daniel Dobalo,STREET GT - RWD,1:27.855,CORVETTE
2,525,Jeremy Lowder,UNLIMITED - RWD,1:28.065,Camaro
3,219,Nicholas Dillon,TRACK MOD - AWD,1:29.578,R8
4,34,Andy Voelkel,STREET GT - RWD,1:29.606,Corvette
5,514,Evan Mclaren,CLUB TR - FWD,1:30.696,INTEGRA
6,220,Jesse Echanique,TRACK MOD - AWD,1:31.030,ECLIPSE
7,256,Drew Vosk,STREET GT - RWD,1:31.060,GR SUPRA
8,139,Wilbur Huang,STREET MOD - RWD,1:31.479,GR SUPRA
9,23,Muzafar Umarov,STREET - FWD,1:31.945,VELOSTER
10,868,Steven Cheng,STREET GT - RWD,1:32.008,M3
11,724,Vijay Lorick,STREET - FWD,1:32.102,ELANTRA
12,115,Zi Lin,STREET GT - RWD,1:32.456,M4
13,925,Evan Motl,CLUB TR - RWD,1:32.782,S2000
14,40,Ben Bulthuis,STREET GT - RWD,1:33.233,GR SUPRA
15,470,Eddy Segal,STREET - AWD,1:33.811,Civic
16,404,David Bamforth,TRACK MOD - RWD,1:33.859,CAYMAN
17,495,Richard Cho,STREET - RWD,1:34.177,370Z
18,386,Farzad Karkvandeian,CLUB TR - RWD,1:34.396,GR86
19,80,Chris Nahill,CLUB TR - RWD,1:34.407,BRZ
20,920,Mike David,CLUB TR - RWD,1:35.166,86
21,230,Daniel Persing,CLUB TR - RWD,1:35.401,BRZ
22,410,Foster Johnson,CLUB TR - RWD,1:35.735,S2000
23,21,Devin Herndon,STREET - FWD,1:35.968,GLA
24,49,Christopher Acosta,CLUB TR - FWD,1:35.978,CIVIC
25,301,James Butensky,UNLIMITED - RWD,1:36.092,Corvette
26,69,Cody Umbaugh,STREET - FWD,1:36.716,CIVIC
27,198,Bruce Yhun,STREET MOD - FWD,1:37.215,CIVIC
28,157,Icarus Santos,STREET - RWD,1:37.657,Miata
29,718,Richard Moussa,STREET - RWD,1:37.822,Cayman
30,104,Ben Lin,UNLIMITED - RWD,1:38.542,MR2
31,221,Justin Kennedy,STREET - FWD,1:38.671,COOPER
32,148,Zachary Meyers,STREET - RWD,1:39.644,IS300
33,218,Jason Mulderie,CLUB TR - RWD,1:39.792,S2000
34,719,Samuel Franks,STREET - AWD,1:41.426,WRX
35,395,Michael Smith,SUNDAE CUP - FWD,1:43.159,FIT
36,973,Luke Paglione,CLUB TR - FWD,1:44.686,INTEGRA
37,545,Danny Kruger,SUNDAE CUP - FWD,1:45.662,Fit
38,122,Jason Davidson,SUNDAE CUP - FWD,1:46.813,FIT
39,102,Stephen Lobianco,STREET - RWD,1:47.550,MX-5 MIATA
40,990,Team No Pressure,TRACK MOD - RWD,1:59.806,ATS-V
