Overall Results - All Groups,,,,,
Pos,No.,Name,Class,Best Time/Heat,Model/Engine
1,70,Dewey DeWitt,STREET MOD - AWD,1:24.545,Impreza
2,79,Nicholas Kohrs,STREET MOD - FWD,1:24.706,CIVIC
3,525,Jeremy Lowder,UNLIMITED - RWD,1:25.105,Camaro
4,84,Ido Waksman,STREET GT - RWD,1:26.688,Corvette
5,219,Nicholas Dillon,TRACK MOD - AWD,1:27.729,R8
6,228,Daniel Dobalo,STREET GT - RWD,1:27.855,CORVETTE
7,220,Jesse Echanique,TRACK MOD - AWD,1:28.518,ECLIPSE
8,34,Andy Voelkel,STREET GT - RWD,1:28.918,Corvette
9,514,Evan Mclaren,CLUB TR - FWD,1:29.581,INTEGRA
10,139,Wilbur Huang,STREET MOD - RWD,1:30.040,GR SUPRA
11,470,Eddy Segal,STREET - FWD,1:30.208,Civic
12,256,Drew Vosk,STREET GT - RWD,1:30.676,GR SUPRA
13,23,Muzafar Umarov,STREET - FWD,1:31.066,VELOSTER
14,115,Zi Lin,STREET GT - RWD,1:31.112,M4
15,166,Ben Thorn,UNLIMITED - FWD,1:31.114,Civic
16,868,Steven Cheng,STREET GT - RWD,1:31.488,M3
17,40,Ben Bulthuis,STREET GT - RWD,1:31.742,GR SUPRA
18,724,Vijay Lorick,STREET - FWD,1:32.102,ELANTRA
19,301,James Butensky,UNLIMITED - RWD,1:32.342,Corvette
20,925,Evan Motl,CLUB TR - RWD,1:32.598,S2000
21,404,David Bamforth,TRACK MOD - RWD,1:32.607,CAYMAN
22,767,Kevin Ren,TRACK MOD - RWD,1:33.174,M3
23,399,Kevin Kerr,STREET - AWD,1:33.211,LANCER
24,386,Farzad Karkvandeian,CLUB TR - RWD,1:33.213,GR86
25,230,Daniel Persing,CLUB TR - RWD,1:33.221,BRZ
26,920,Mike David,CLUB TR - RWD,1:33.350,86
27,495,Richard Cho,STREET - RWD,1:33.659,370Z
28,410,Foster Johnson,CLUB TR - RWD,1:33.672,S2000
29,80,Chris Nahill,CLUB TR - RWD,1:33.732,BRZ
30,28,Knottfast Motorsports,CLUB TR - RWD,1:34.867,FR-S
31,49,Christopher Acosta,CLUB TR - FWD,1:35.153,CIVIC
32,718,Richard Moussa,STREET - RWD,1:35.186,Cayman
33,69,Cody Umbaugh,STREET - FWD,1:35.324,CIVIC
34,198,Bruce Yhun,STREET MOD - FWD,1:35.519,CIVIC
35,21,Devin Herndon,STREET - FWD,1:35.636,GLA
36,221,Justin Kennedy,STREET - FWD,1:36.667,COOPER
37,157,Icarus Santos,STREET - RWD,1:37.068,Miata
38,104,Ben Lin,UNLIMITED - RWD,1:37.193,MR2
39,218,Jason Mulderie,CLUB TR - RWD,1:38.267,S2000
40,990,Team No Pressure,TRACK MOD - RWD,1:38.363,ATS-V
41,148,Zachary Meyers,STREET - RWD,1:38.691,IS300
42,973,Luke Paglione,CLUB TR - FWD,1:40.274,INTEGRA
43,719,Samuel Franks,STREET - AWD,1:40.560,WRX
44,395,Michael Smith,SUNDAE CUP - FWD,1:41.993,FIT
45,181,Joseph King,SUNDAE CUP - FWD,1:43.714,Protege
46,122,Jason Davidson,SUNDAE CUP - FWD,1:44.020,FIT
47,545,Danny Kruger,SUNDAE CUP - FWD,1:44.205,Fit
48,102,Stephen Lobianco,STREET - RWD,1:45.087,MX-5 MIATA
49,400,Logan Manning,SUNDAE CUP - FWD,1:46.545,FIT
50,505,Isaac Rodriguez,SUNDAE CUP - FWD,1:47.702,2
51,616,Bill Fischer,SUNDAE CUP - FWD,1:48.165,COOPER
