GLTC Qualifying,,,,,
Pos,No.,Name,Class,Best Tm,Points
1,7,Luke Mcgrew,GLTC - RWD,2:30.471,3
2,3,Jeremy Swenson,GLTC - RWD,2:30.606,2
3,190,Aaron Leichty,GLTC - RWD,2:30.993,1
4,82,Eric Kutil,GLTC - FWD,2:31.030,0
5,447,Micaiah Hackbarth,GLTC - RWD,2:31.793,0
6,484,Matan Rosenberg,GLTC - RWD,2:31.965,0
7,94,Andy Smedegard,GLTC - RWD,2:32.022,0
8,41,James Houghton,GLTC - FWD,2:32.103,0
9,184,Eric Jensen,GLTC - RWD,2:32.501,0
10,34,Austin Hertel,GLTC - RWD,2:32.556,0
11,325,Robert Manouchehri,GLTC - RWD,2:32.775,0
12,1,Gary Wimble,GLTC - RWD,2:33.034,0
13,90,Matt Waldbaum,GLTC - RWD,2:33.214,0
14,2,Erik Meadows,GLTC - RWD,2:34.096,0
15,374,Emile Tabb,GLTC - RWD,2:34.478,0
16,17,Tony Marchev,GLTC - RWD,2:34.524,0
17,71,Joel Morrison,GLTC - RWD,2:35.122,0
18,42,Zac Lovoy,GLTC - RWD,2:35.393,0
19,132,Jake Joraanstad,GLTC - RWD,2:35.658,0
20,13,Ryan Upham,GLTC - RWD,2:35.776,0
21,26,Louis Chatroop,GLTC - RWD,2:36.017,0
22,917,Lena Chin,GLTC - RWD,2:36.924,0
23,33,Thing 3 Racing,GLTC - RWD,2:36.957,0
24,213,Robertson Racing,GLTC - RWD,2:37.020,0
25,51,Carlos Mendez,GLTC - RWD,2:37.284,0
26,527,Jackson Jensen,GLTC - RWD,2:37.848,0
27,40,Jeremy Boysen,GLTC - FWD,2:38.468,0
28,12,Felipe Gonzalez,GLTC - RWD,2:39.028,0
29,4,Adam Ulrich,GLTC - RWD,2:39.250,0
30,546,Andy Sundeen,GLTC - RWD,2:39.513,0
31,207,Adam Wood,GLTC - RWD,2:40.050,0
32,113,Wesley Penn,GLTC - RWD,2:40.244,0
33,95,Robert Vierhout,GLTC - RWD,2:40.538,0
34,177,Justin Lautz,GLTC - RWD,2:40.619,0
35,23,Brian Tyson,GLTC - FWD,2:40.622,0
36,202,Jacob Price,GLTC - RWD,2:41.036,0
37,320,Chris Murray,GLTC - RWD,2:42.549,0
38,146,Bill Griffin,GLTC - RWD,2:42.729,0
39,150,Alex Moss,GLTC - RWD,2:42.836,0
40,36,Tyler Starr,GLTC - RWD,2:43.536,0
41,43,Joe Tullo,GLTC - RWD,2:43.938,0
42,504,Karl Hertel,GLTC - FWD,2:50.085,0
43,187,Chris Adams,GLTC - RWD,,0
