GLTC Race 2 Results,,,,,,,,
Pos,No.,Name,Class,Best Tm,In Lap,Laps,Gap,Points
1,3,Jeremy Swenson,GLTC - RWD,2:29.942,3,6,,25
2,82,Eric Kutil,GLTC - FWD,2:30.493,3,6,1.322,21
3,19,Aaron Leichty,GLTC - RWD,2:30.602,2,6,5.867,18
4,41,James Houghton,GLTC - FWD,2:31.527,5,6,6.437,16
5,484,Matan Rosenberg,GLTC - RWD,2:32.040,5,6,0.262,15
6,325,Robert Manouchehri,GLTC - RWD,2:32.463,5,6,2.677,14
7,34,Austin Hertel,GLTC - RWD,2:31.977,2,6,2.083,13
8,447,Micaiah Hackbarth,GLTC - RWD,2:32.273,5,6,1.561,12
9,1,Gary Wimble,GLTC - RWD,2:32.015,2,6,0.186,11
10,94,Andy Smedegard,GLTC - RWD,2:31.409,2,6,13.967,10
11,17,Tony Marchev,GLTC - RWD,2:33.668,5,6,0.054,9
12,71,Joel Morrison,GLTC - RWD,2:36.872,5,6,12.271,8
13,26,Louis Chatroop,GLTC - RWD,2:35.870,4,6,1.420,7
14,14,Carlos Mendez,GLTC - RWD,2:36.920,6,6,1.203,6
15,13,Ryan Upham,GLTC - RWD,2:35.845,6,6,0.180,5
16,527,Jackson Jensen,GLTC - RWD,2:36.304,6,6,2.191,4
17,77,Hans Horpedahl,GLTC - RWD,2:36.526,4,6,0.986,3
18,213,Robertson Racing,GLTC - RWD,2:37.061,6,6,1.905,2
19,23,Brian Tyson,GLTC - FWD,2:34.865,4,6,1.788,1
20,187,Chris Adams,GLTC - RWD,2:36.869,4,6,3.380,0
21,40,Jeremy Boysen,GLTC - FWD,2:38.939,5,6,6.356,0
22,2,Erik Meadows,GLTC - RWD,2:34.860,2,6,1.347,0
23,202,Jacob Price,GLTC - RWD,2:39.061,6,6,0.960,0
24,150,Alex Moss,GLTC - RWD,2:39.816,5,6,0.808,0
25,4,Adam Ulrich,GLTC - RWD,2:37.617,5,6,0.107,0
26,146,Bill Griffin,GLTC - RWD,2:41.205,3,6,10.567,0
27,207,Adam Wood,GLTC - RWD,2:40.188,4,6,0.710,0
28,184,Eric Jensen,GLTC - RWD,2:36.286,4,6,0.002,0
29,917,Lena Chin,GLTC - RWD,2:36.353,6,6,0.579,0
30,18,Colton Wade,GLTC - RWD,2:39.152,5,6,0.107,0
31,33,Thing 3 Racing,GLTC - RWD,2:38.768,5,6,0.226,0
32,7,Luke Mcgrew,GLTC - RWD,2:30.028,3,6,0.211,0
33,320,Chris Murray,GLTC - RWD,2:41.016,4,6,9.014,0
34,43,Joe Tullo,GLTC - RWD,2:43.270,5,6,3.830,0
35,504,Karl Hertel,GLTC - FWD,2:49.491,6,6,26.626,0
36,113,Wesley Penn,GLTC - RWD,2:39.370,5,5,1 Lap,0
37,90,Matt Waldbaum,GLTC - RWD,2:32.855,2,2,3 Laps,0
38,42,Zac Lovoy,GLTC - RWD,2:41.971,2,2,14.950,0
39,36,Tyler Starr,GLTC - RWD,2:42.365,2,2,9.675,0
DQ,132,Jake Joraanstad,GLTC - RWD,2:38.353,4,6,,0
