Heat 1 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time/Heat,Model/Engine
1,338,Ernestas Puzelis,UNLIMITED - RWD,2:13.696,Corvette
2,257,Mike Dusold,UNLIMITED - RWD,2:17.829,Camaro
3,86,Jimmy Diggs,TRACK MOD - RWD,2:19.536,Supra
4,77,Jason Kanakry,TRACK MOD - RWD,2:20.154,720S
5,52,Nicholas Gardner,UNLIMITED - RWD,2:20.214,SHELBY GT500
6,121,Ryan Mathews,STREET MOD - RWD,2:21.442,Corvette
7,131,Sterling Cole,SUPER UNLIMITED - RWD,2:21.675,RX7
8,174,David Calzada,UNLIMITED - RWD,2:25.815,Miata
9,171,Andrius Bertulis,UNLIMITED - RWD,2:26.115,RCF
10,336,James Clay,STREET MOD - RWD,2:27.689,M4
11,63,Luca Barberis,STREET - AWD,2:31.112,LANCER
12,82,Jaime Santos,STREET MOD - RWD,2:32.395,135I
13,570,Kyle Magnuson,STREET GT - RWD,2:32.609,718 CAYMAN
14,625,Sam Bosnian,STREET - RWD,2:32.633,350Z
15,55,Charles Miller,STREET - AWD,2:33.293,LANCER
16,226,Jerry Liu,STREET GT - RWD,2:33.678,Cayman
17,480,Ravi Tomerlin,TRACK MOD - FWD,2:35.027,Civic
18,426,Alex Roy,TRACK MOD - RWD,2:35.727,M3
19,511,Peter Granberg,CLUB TR - RWD,2:35.875,BRZ
20,314,Michael Puglisi,TRACK MOD - AWD,2:36.703,LANCER
21,17,Peter Zhang,STREET GT - RWD,2:37.530,M3
22,515,Jared Garcia,CLUB TR - RWD,2:42.414,S2000
23,736,Cody Smith,STREET MOD - RWD,2:43.085,CUTLASS
24,206,Dalton Klein,TRACK MOD - RWD,2:43.637,Corvette
25,46,Nehru Cheddie,CLUB TR - AWD,2:57.679,GR COROLLA
26,209,Kevin Wendt,CLUB TR - FWD,3:01.815,CRX
27,79,Nick Kohrs,STREET MOD - FWD,,CIVIC
28,437,Cory Ross,TRACK MOD - RWD,,M3
