Overall Results - All Groups,,,,,
Pos,No.,Name,Class,Best Time/Heat,Model/Engine
1,257,Mike Dusold,UNLIMITED - RWD,2:08.183*,Camaro
2,338,Ernestas Puzelis,UNLIMITED - RWD,2:12.733,Corvette
3,86,Jimmy Diggs,TRACK MOD - RWD,2:13.387,Supra
4,27,Brad Perkins,UNLIMITED - RWD,2:14.797,M3
5,52,Nicholas Gardner,UNLIMITED - RWD,2:16.761,SHELBY GT500
6,174,David Calzada,UNLIMITED - RWD,2:17.446,Miata
7,77,Jason Kanakry,TRACK MOD - RWD,2:18.703,720S
8,336,James Clay,STREET MOD - RWD,2:18.802,M4
9,121,Ryan Mathews,STREET MOD - RWD,2:19.076,Corvette
10,79,Nick Kohrs,STREET MOD - FWD,2:20.24*,CIVIC
11,14,Kal Fortner,STREET MOD - RWD,2:20.29*,AMG GT S
12,131,Sterling Cole,SUPER UNLIMITED - RWD,2:20.418,RX7
13,171,Andrius Bertulis,UNLIMITED - RWD,2:21.889,RCF
14,570,Kyle Magnuson,STREET GT - RWD,2:24.077,718 CAYMAN
15,437,Cory Ross,TRACK MOD - RWD,2:25.794,M3
16,480,Ravi Tomerlin,TRACK MOD - FWD,2:26.279,Civic
17,206,Dalton Klein,TRACK MOD - RWD,2:26.317,Corvette
18,63,Luca Barberis,STREET - AWD,2:26.447,LANCER
19,82,Jaime Santos,STREET MOD - RWD,2:26.610,135I
20,55,Charles Miller,STREET - AWD,2:26.973,LANCER
21,314,Michael Puglisi,TRACK MOD - AWD,2:27.023,LANCER
22,226,Jerry Liu,STREET GT - RWD,2:27.26*,Cayman
23,426,Alex Roy,TRACK MOD - RWD,2:28.506,M3
24,625,Sam Bosnian,STREET - RWD,2:29.725,350Z
25,17,Peter Zhang,STREET GT - RWD,2:31.953,M3
26,511,Peter Granberg,CLUB TR - RWD,2:33.188,BRZ
27,736,Cody Smith,STREET MOD - RWD,2:37.265,CUTLASS
28,515,Jared Garcia,CLUB TR - RWD,2:40.254,S2000
29,46,Nehru Cheddie,CLUB TR - AWD,2:48.294,GR COROLLA
30,209,Kevin Wendt,CLUB TR - FWD,3:00.742,CRX
