GLTC Qualifying Results,,,,,
Pos,No.,Name,Class,Best Tm,Points
1,45,Paul Curley,GLTC - RWD,2:06.729,3
2,484,Matan Rosenberg,GLTC - RWD,2:07.465,2
3,3,Jeremy Swenson,GLTC - RWD,2:07.603,1
4,41,James Houghton,GLTC - FWD,2:08.372,0
5,90,Matt Waldbaum,GLTC - RWD,2:08.388,0
6,7,Luke McGrew,GLTC - RWD,2:08.540,0
7,34,Hertel Austin,GLTC - RWD,2:09.001,0
8,82,Eric Kutil,GLTC - FWD,2:09.291,0
9,374,Jeff Preston,GLTC - RWD,2:09.313,0
10,374,Emile Tabb,GLTC - RWD,2:09.314,0
11,46,Charles Bilodeau,GLTC - RWD,2:09.402,0
12,245,Ryan Power,GLTC - RWD,2:09.538,0
13,71,Joel Morrison,GLTC - RWD,2:09.826,0
14,73,Jason Saini,GLTC - RWD,2:09.903,0
15,17,Tony Marchev,GLTC - RWD,2:10.204,0
16,184,Eric Jensen,GLTC - RWD,2:10.885,0
17,55,Paul Darling,GLTC - RWD,2:10.917,0
18,42,Zac Lovoy,GLTC - RWD,2:11.226,0
19,72,Scott Heckert,GLTC - RWD,2:11.232,0
20,14,Carlos Mendez,GLTC - RWD,2:11.387,0
21,40,Jeremy Boysen,GLTC - RWD,2:11.487,0
22,213,Scott Robertson,GLTC - RWD,2:11.525,0
23,243,Kevin Zhu,GLTC - FWD,2:11.571,0
24,13,Ryan Upham,GLTC - RWD,2:11.590,0
25,333,Fiona Lou,GLTC - RWD,2:11.927,0
26,18,Colton Wade,GLTC - RWD,2:12.577,0
27,159,Joshua Rubenstein,GLTC - RWD,2:13.122,0
28,26,Louis Chatroop,GLTC - RWD,2:13.528,0
29,87,Nicholas Stentiford,GLTC - RWD,2:13.572,0
30,79,Cory Mitchell,GLTC - RWD,2:14.236,0
31,917,Lena Chin,GLTC - RWD,2:14.269,0
32,207,Adam Wood,GLTC - AWD,2:14.600,0
33,22,Peter McParland,GLTC - RWD,2:14.651,0
34,81,Benjamin Marouski,GLTC - FWD,2:14.753,0
35,363,Donald Lui,GLTC - FWD,2:14.753,0
36,33,Justin Lee,GLTC - RWD,2:14.770,0
37,767,Wes Case,GLTC - RWD,2:15.156,0
38,166,Ben Thorn,GLTC - FWD,2:15.288,0
39,777,Michael McGinnis,GLTC - AWD,2:15.965,0
40,888,Dai Nguyen,GLTC - RWD,2:18.882,0
41,32,Lisa Keyes,GLTC - FWD,2:18.996,0
42,515,Thomas Moss,GLTC - RWD,2:19.952,0
43,171,Clayton Fitzpatrick,GLTC - RWD,2:22.559,0
44,88,Jacob Poole,GLTC - FWD,2:22.655,0
45,51,David Rudzinski,GLTC - RWD,2:24.072,0
46,528,Richard Sawicki,GLTC - RWD,2:26.338,0
47,860,Nathan Manning,GLTC - FWD,2:28.466,0
48,24,Tyler Pappas,GLTC - RWD,2:07.669,0
