GLTC Race 2 Results *wet,,,,,,,,
Pos,No.,Name,Class,Best Tm,In Lap,Laps,Gap,Points
1,41,James Houghton,GLTC - FWD,2:23.402,4,6,,25
2,3,Jeremy Swenson,GLTC - RWD,2:23.770,2,6,7.734,21
3,90,Matt Waldbaum,GLTC - RWD,2:23.705,3,6,0.417,18
4,82,Eric Kutil,GLTC - FWD,2:25.216,4,6,0.033,16
5,47,Ryan Power,GLTC - RWD,2:26.308,5,6,5.522,15
6,374,Emile Tabb,GLTC - RWD,2:26.315,5,6,0.019,14
7,14,Carlos Mendez,GLTC - RWD,2:28.348,3,6,12.764,13
8,73,Jason Saini,GLTC - RWD,2:26.025,6,6,0.932,12
9,484,Matan Rosenberg,GLTC - RWD,2:26.421,5,6,0.994,11
10,7,Luke McGrew,GLTC - RWD,2:29.246,5,6,11.410,10
11,213,Scott Robertson,GLTC - RWD,2:29.673,5,6,0.312,9
12,99,Ronnie Vajdak,GLTC - FWD,2:28.026,5,6,0.208,8
13,45,Paul Curley,GLTC - RWD,2:29.718,5,6,0.999,7
14,71,Joel Morrison,GLTC - RWD,2:29.331,5,6,1.072,6
15,243,Kevin Zhu,GLTC - FWD,2:28.143,4,6,3.452,5
16,55,Paul Darling,GLTC - RWD,2:31.956,5,6,6.251,4
17,18,Colton Wade,GLTC - RWD,2:32.285,4,6,1.031,3
18,42,Zac Lovoy,GLTC - RWD,2:32.317,5,6,1.388,2
19,1,Gary Wimble,GLTC - RWD,2:34.115,4,6,13.804,1
20,333,Fiona Lou,GLTC - RWD,2:35.070,6,6,4.415,0
21,24,Tyler Pappas,GLTC - RWD,2:33.177,6,6,3.876,0
22,33,Justin Lee,GLTC - RWD,2:36.599,3,6,11.259,0
23,363,Donald Lui,GLTC - FWD,2:36.489,3,6,6.770,0
24,81,Benjamin Marouski,GLTC - FWD,2:37.936,6,6,0.344,0
25,87,Nicholas Stentiford,GLTC - RWD,2:37.541,6,6,0.676,0
26,207,Adam Wood,GLTC - AWD,2:37.791,6,6,0.422,0
27,34,Austin Hertel,GLTC - RWD,2:34.222,5,6,1.525,0
28,767,Wes Case,GLTC - RWD,2:38.108,4,6,3.861,0
29,515,Thomas Moss,GLTC - RWD,2:37.766,6,6,7.973,0
30,917,Lena Chin,GLTC - RWD,2:39.772,5,6,1.325,0
31,166,Ben Thorn,GLTC - FWD,2:39.201,6,6,0.744,0
32,22,Peter McParland,GLTC - RWD,2:39.787,4,6,0.251,0
33,32,Lisa Keyes,GLTC - FWD,2:40.739,4,6,13.185,0
34,88,Jacob Poole,GLTC - FWD,2:42.178,2,6,5.410,0
35,184,Eric Jensen,GLTC - RWD,2:45.107,5,6,23.866,0
36,777,Michael McGinnis,GLTC - AWD,2:45.789,1,6,14.634,0
37,26,Louis Chatroop,GLTC - RWD,2:38.387,4,5,1 Lap,0
38,171,Clayton Fitzpatrick,GLTC - RWD,2:52.839,2,5,1:16.169,0
39,860,Nathan Manning,GLTC - FWD,2:50.094,4,5,3.270,0
40,888,Dai Nguyen,GLTC - RWD,2:40.839,4,4,1 Lap,0
41,2,Erik Meadows,GLTC - RWD,2:48.393,4,4,3:31.374,0
42,17,Tony Marchev,GLTC - RWD,2:24.344,3,3,1 Lap,0
43,13,Ryan Upham,GLTC - RWD,2:27.036,2,2,1 Lap,0
44,159,Joshua Rubenstein,GLTC - RWD,2:33.626,2,2,18.612,0
45,528,Richard Sawicki,GLTC - RWD,2:45.968,2,2,46.762,0
46,52,Mackenzie Korince,GLTC - FWD,no time,0,,2 Laps,0
DQ,72,Scott Heckert,GLTC - RWD,2:28.830,5,6,,0
