Practice 2 Results - All Groups,,,,,
Pos,No.,Name,Class,Overall BestTm,Model/Engine
1,14,Kal Fortner,STREET MOD - RWD,1:59.653,AMG GTS
2,52,SerpentStangs Racing,UNLIMITED - RWD,1:59.667,Shelby GT500
3,77,Jason Kanakry,TRACK MOD - RWD,2:00.686,720S
4,234,Scott Heckert,UNLIMITED - RWD,2:00.747,Impala
5,121,Ryan Mathews,STREET MOD - RWD,2:01.107,Corvette
6,33,Chris Boersma,TRACK MOD - FWD,2:01.108,Civic
7,6,Michael Aumick,STREET MOD - AWD,2:02.229,WRX
8,82,Jaime Santos,STREET MOD - RWD,2:04.562,135i
9,363,Michael Kubiak,STREET GT - RWD,2:04.613,Corvette
10,687,Jackie Ding,STREET GT - RWD,2:05.269,M2
11,570,Kyle Magnuson,STREET GT - RWD,2:05.715,Cayman GT4
12,187,Keenan Prusank,STREET GT - RWD,2:06.816,Camaro
13,777,Josh Halka,STREET - AWD,2:07.238,WRX
14,449,Colin Fitzgerald,TRACK MOD - AWD,2:07.316,WRX
15,316,Joseph Muench,TRACK MOD - AWD,2:07.353,Impreza
16,210,Devon Meadows,TRACK MOD - AWD,2:07.887,WRX
17,120,Scott Shadbolt,TRACK MOD - RWD,2:07.953,M3
18,71,Kevin Horn,STREET GT - RWD,2:08.091,Camaro
19,79,Nicholas Kohrs,STREET MOD - FWD,2:08.110,Civic
20,470,Edward Segal,STREET - FWD,2:08.282,Civic Type R
21,34,Andy Voelkel,STREET GT - RWD,2:08.350,Corvette
22,513,Justin Ruble,STREET GT - RWD,2:08.523,M2
23,369,Igor Kesilyov,TRACK MOD - AWD,2:08.762,Model 3 Performance
24,17,Alex Artayet,STREET GT - RWD,2:08.848,M3
25,89,Brandon Hodge,STREET GT - RWD,2:09.343,GR Supra
26,40,Ben Bulthuis,STREET GT - RWD,2:09.357,GR Supra
27,8,Andrew Mishra,STREET GT - RWD,2:09.926,Cayman GT4
28,921,William Wu Chen,STREET GT - RWD,2:10.059,Supra
29,338,Ernestas Puzelis,UNLIMITED - RWD,2:10.061,370Z
30,323,Freddy De La Rosa,CLUB TR - RWD,2:10.135,S2000
31,364,Nicholas Hendrix,STREET GT - RWD,2:10.198,Corvette
32,781,Lyle Zyra,CLUB TR - RWD,2:10.233,GR86
33,44,Joel Phillips,STREET GT - RWD,2:10.494,911 Carrera S
34,2,Connor Gallagher,STREET GT - AWD,2:10.893,GTR
35,20,Matthew Koval,CLUB TR - RWD,2:11.693,S2000
36,27,Brad Perkins,UNLIMITED - RWD,2:11.905,M3
37,313,Otto Munoz,CLUB TR - RWD,2:12.052,S2000
38,418,Blake Fitzgerald,CLUB TR - RWD,2:12.122,S2000
39,994,Nathan Brown,STREET - FWD,2:12.527,Gti
40,495,Richard Cho,STREET - RWD,2:12.546,370z
41,373,Benjamin Smolen,STREET GT - RWD,2:13.063,Mustang
42,321,Phillip Jue,STREET MOD - RWD,2:13.428,350Z
43,736,Cody Smith,STREET MOD - RWD,2:13.548,Cutlass
44,40,Mary Barker,TRACK MOD - AWD,2:13.569,Impreza Awd
45,669,Andrew Purvis,STREET GT - RWD,2:13.892,Corvette
46,129,Johnny Rose,CLUB TR - RWD,2:15.020,GR 86
47,404,David Bamforth,TRACK MOD - RWD,2:15.277,Cayman GT4
48,880,Dead Boiz,CLUB TR - RWD,2:15.313,FR-S
49,92,Nate Vincent,UNLIMITED - RWD,2:15.817,190E Evo
