Qualifying 1 Results - All Groups,,,,,
Pos,No.,Name,Class,Overall BestTm,Model/Engine
1,109,Dana Basinski,CLUB TR - RWD,2:09.346,Brz
2,781,Lyle Zyra,CLUB TR - RWD,2:10.702,GR86
3,323,Freddy De La Rosa,CLUB TR - RWD,2:11.100,S2000
4,20,Matthew Koval,CLUB TR - RWD,2:11.729,S2000
5,418,Blake Fitzgerald,CLUB TR - RWD,2:12.363,S2000
6,880,Dead Boiz,CLUB TR - RWD,2:13.316,FR-S
7,313,Otto Munoz,CLUB TR - RWD,2:14.211,S2000
8,129,Johnny Rose,CLUB TR - RWD,2:16.788,GR 86
9,230,Daniel Persing,CLUB TR - RWD,2:19.522,BRZ
10,80,Chris Nahill,CLUB TR - RWD,2:21.113,BRZ
11,611,Benjamin Carter,CLUB TR - RWD,2:21.911,S2000
12,28,Knottfast Motorsports,CLUB TR - RWD,2:22.766,FR-S
13,231,Team NRB,CLUB TR - FWD,2:23.157,Celica
14,15,Adam Wrobel,CLUB TR - FWD,2:30.956,Integra
15,35,Daniel Griggs,CLUB TR - RWD,2:31.747,GR 86
16,322,Justin Okamoto,CLUB TR - RWD,2:34.655,318i
1,777,Josh Halka,STREET - AWD,2:05.106,WRX
2,333,Anthony Barber,STREET - AWD,2:06.010,Model 3 Performance
3,470,Edward Segal,STREET - FWD,2:07.949,Civic Type R
4,495,Richard Cho,STREET - RWD,2:12.216,370z
5,994,Nathan Brown,STREET - FWD,2:14.078,Gti
6,69,Cody Umbaugh,STREET - FWD,2:14.909,Civic
7,21,Devin Herndon,STREET - AWD,2:15.776,GLA45 AMG
8,724,Vijay Lorick,STREET - FWD,2:16.514,Elantra N
9,211,Patrick Pierre,STREET - AWD,2:17.090,WRX STi
10,997,Jason Gaydos,STREET - RWD,2:17.252,BRZ
11,119,Jesse Tong,STREET - AWD,2:18.283,Model 3
12,370,Ivan Onofriiciuc,STREET - RWD,2:20.546,370z
13,16,Rudolph Xu,STREET - AWD,2:20.947,Model 3
14,66,Joshua Hatch,STREET - AWD,2:21.894,Model 3
15,221,Justin Kennedy,STREET - FWD,2:25.354,Cooper S
16,7,Thomas Halka,STREET - AWD,2:48.524,Impreza
1,84,Ido Waksman,STREET GT - AWD,2:01.109,Corvette
2,187,Keenan Prusank,STREET GT - RWD,2:05.290,Camaro
3,687,Jackie Ding,STREET GT - RWD,2:05.566,M2
4,34,Andy Voelkel,STREET GT - RWD,2:05.732,Corvette
5,570,Kyle Magnuson,STREET GT - RWD,2:06.137,Cayman GT4
6,363,Michael Kubiak,STREET GT - RWD,2:06.892,Corvette
7,17,Alex Artayet,STREET GT - RWD,2:07.379,M3
8,513,Justin Ruble,STREET GT - RWD,2:07.528,M2
9,71,Kevin Horn,STREET GT - RWD,2:07.865,Camaro
10,40,Ben Bulthuis,STREET GT - RWD,2:08.194,GR Supra
11,364,Nicholas Hendrix,STREET GT - RWD,2:08.799,Corvette
12,921,William Wu Chen,STREET GT - RWD,2:08.903,Supra
13,8,Andrew Mishra,STREET GT - RWD,2:09.852,Cayman GT4
14,44,Joel Phillips,STREET GT - RWD,2:10.986,911 Carrera S
15,85,Vincent Nardone,STREET GT - RWD,2:14.042,Mustang
16,2,Connor Gallagher,STREET GT - AWD,2:14.815,GTR
17,910,Jared Sable,STREET GT - RWD,2:15.855,CTS
18,669,Andrew Purvis,STREET GT - RWD,2:16.060,Corvette
19,419,James Bates,STREET GT - RWD,2:16.188,Trans Am
20,66,Mitchell Lepianka,STREET GT - AWD,2:20.038,440i
21,75,Jerome Cahuzac,STREET GT - RWD,2:24.482,M2
22,89,Brandon Hodge,STREET GT - RWD,2:26.838,GR Supra
1,82,Jaime Santos,STREET MOD - RWD,2:12.564,135i
2,6,Michael Aumick,STREET MOD - AWD,2:12.872,WRX
