Qualifying 2 Results - All Groups *wet,,,,,
Pos,No.,Name,Class,Overall BestTm,Model/Engine
1,109,Dana Basinski,CLUB TR - RWD,2:39.890,Brz
2,781,Lyle Zyra,CLUB TR - RWD,2:47.206,GR86
3,312,Ryan Schabel,CLUB TR - RWD,2:50.030,E46
4,418,Blake Fitzgerald,CLUB TR - RWD,2:50.161,S2000
5,313,Otto Munoz,CLUB TR - RWD,2:53.933,S2000
6,880,Dead Boiz,CLUB TR - RWD,2:54.920,FR-S
7,20,Matthew Koval,CLUB TR - RWD,2:57.760,S2000
8,80,Chris Nahill,CLUB TR - RWD,3:00.511,BRZ
9,230,Daniel Persing,CLUB TR - RWD,3:01.895,BRZ
10,129,Johnny Rose,CLUB TR - RWD,3:02.469,GR 86
11,231,Team NRB,CLUB TR - FWD,no time,Celica
12,323,Freddy De La Rosa,CLUB TR - RWD,no time,S2000
13,322,Justin Okamoto,CLUB TR - RWD,no time,318i
1,470,Edward Segal,STREET - FWD,2:34.603,Civic Type R
2,21,Devin Herndon,STREET - AWD,2:42.670,GLA45 AMG
3,994,Nathan Brown,STREET - FWD,2:44.024,Gti
4,211,Patrick Pierre,STREET - AWD,2:45.508,WRX STi
5,333,Anthony Barber,STREET - AWD,2:50.420,Model 3 Performance
6,214,Sasha Anis,STREET - AWD,2:50.517,Model 3
7,997,Jason Gaydos,STREET - RWD,2:51.904,BRZ
8,724,Vijay Lorick,STREET - FWD,2:51.950,Elantra N
9,69,Cody Umbaugh,STREET - FWD,2:52.215,Civic
10,495,Richard Cho,STREET - RWD,2:53.828,370z
11,221,Justin Kennedy,STREET - FWD,2:58.502,Cooper S
12,119,Jesse Tong,STREET - AWD,2:58.732,Model 3
13,16,Rudolph Xu,STREET - AWD,3:00.068,Model 3
14,399,Kevin Kerr,STREET - AWD,3:00.943,Evolution
15,66,Joshua Hatch,STREET - AWD,3:01.478,Model 3
16,7,Thomas Halka,STREET - AWD,3:04.094,Impreza
17,370,Ivan Onofriiciuc,STREET - RWD,3:07.411,370z
18,777,Josh Halka,STREET - AWD,,WRX
1,687,Jackie Ding,STREET GT - RWD,2:26.372,M2
2,910,Jared Sable,STREET GT - RWD,2:33.439,CTS
3,84,Ido Waksman,STREET GT - RWD,2:33.484,Corvette
4,363,Michael Kubiak,STREET GT - RWD,2:35.264,Corvette
5,570,Kyle Magnuson,STREET GT - RWD,2:38.634,Cayman GT4
6,2,Connor Gallagher,STREET GT - AWD,2:41.011,GTR
7,513,Justin Ruble,STREET GT - RWD,2:41.135,M2
8,71,Kevin Horn,STREET GT - RWD,2:45.055,Camaro
9,364,Nicholas Hendrix,STREET GT - RWD,2:47.818,Corvette
10,669,Andrew Purvis,STREET GT - RWD,2:49.618,Corvette
11,373,Benjamin Smolen,STREET GT - RWD,2:55.606,Mustang
12,419,James Bates,STREET GT - RWD,2:56.715,Trans Am
13,75,Jerome Cahuzac,STREET GT - RWD,3:00.113,M2
1,14,Kal Fortner,STREET MOD - RWD,2:41.143,AMG GTS
2,321,Phillip Jue,STREET MOD - RWD,2:43.188,350Z
3,517,Tim Lutz,STREET MOD - RWD,2:45.281,Corvette
1,395,Michael Smith,SUNDAE CUP - FWD,2:58.675,Fit
2,488,Matt Dietlin,SUNDAE CUP - FWD,3:00.529,Fit
3,357,Luis Rodriguez,SUNDAE CUP - FWD,3:02.235,Fit
4,801,Daniel Malloy,SUNDAE CUP - FWD,3:06.206,2
5,184,Trip Walker,SUNDAE CUP - FWD,3:06.693,Fit
6,545,Danny Kruger,SUNDAE CUP - FWD,3:09.229,Fit
7,126,Jacob Abbott,SUNDAE CUP - FWD,3:09.311,Fit
8,1,Chris Wolf,SUNDAE CUP - FWD,3:09.836,Fit
9,313,Dily Daly,SUNDAE CUP - FWD,3:17.401,Fit
10,505,Isaac Rodriguez,SUNDAE CUP - FWD,3:29.953,2
1,210,Devon Meadows,TRACK MOD - AWD,2:28.722,WRX
2,449,Colin Fitzgerald,TRACK MOD - AWD,2:29.927,WRX
3,369,Igor Kesilyov,TRACK MOD - AWD,2:29.944,Model 3 Performance
4,316,Joseph Muench,TRACK MOD - AWD,2:35.438,Impreza
5,77,Jason Kanakry,TRACK MOD - RWD,2:36.749,720S
6,426,Alex Roy,TRACK MOD - RWD,2:41.212,M3
7,120,Scott Shadbolt,TRACK MOD - RWD,2:54.630,M3
1,715,Eric Rockwell,UNLIMITED - FWD,2:15.406,S3
2,27,Brad Perkins,UNLIMITED - RWD,2:26.706,M3
3,338,Ernestas Puzelis,UNLIMITED - RWD,2:42.762,370Z
