Podium Sprint Results - All Groups *wet,,,,,
Pos,No.,Name,Class,Overall BestTm,Model/Engine
1,109,Dana Basinski,CLUB TR - RWD,2:38.086,Brz
2,323,Freddy De La Rosa,CLUB TR - RWD,2:42.264,S2000
3,781,Lyle Zyra,CLUB TR - RWD,2:45.888,GR86
4,418,Blake Fitzgerald,CLUB TR - RWD,2:46.781,S2000
5,20,Matthew Koval,CLUB TR - RWD,2:47.268,S2000
1,333,Anthony Barber,STREET - AWD,2:27.365,Model 3 Performance
2,470,Edward Segal,STREET - FWD,2:34.126,Civic Type R
3,777,Josh Halka,STREET - AWD,2:34.219,WRX
4,994,Nathan Brown,STREET - FWD,2:45.674,Gti
5,495,Richard Cho,STREET - RWD,2:51.593,370z
1,84,Ido Waksman,STREET GT - RWD,2:25.364,Corvette
2,687,Jackie Ding,STREET GT - RWD,2:29.041,M2
3,187,Keenan Prusank,STREET GT - RWD,2:36.039,Camaro
4,34,Andy Voelkel,STREET GT - RWD,2:36.420,Corvette
5,570,Kyle Magnuson,STREET GT - RWD,2:48.132,Cayman GT4
1,79,Nicholas Kohrs,STREET MOD - FWD,2:23.791,Civic
2,6,Michael Aumick,STREET MOD - AWD,2:27.504,WRX
3,321,Phillip Jue,STREET MOD - RWD,2:43.578,350Z
4,517,Tim Lutz,STREET MOD - RWD,2:46.420,Corvette
5,736,Cody Smith,STREET MOD - RWD,2:48.852,Cutlass
1,91,Chris Rice,SUNDAE CUP - FWD,2:51.154,Fit
2,395,Michael Smith,SUNDAE CUP - FWD,2:51.214,Fit
3,126,Jacob Abbott,SUNDAE CUP - FWD,2:52.181,Fit
4,235,Anthony Novelli,SUNDAE CUP - FWD,DNS,Fit
5,488,Matt Dietlin,SUNDAE CUP - FWD,DNS,Fit
1,160,Christopher Hatch,TRACK MOD - AWD,2:29.071,Model 3
2,210,Devon Meadows,TRACK MOD - AWD,2:30.331,WRX
3,449,Colin Fitzgerald,TRACK MOD - AWD,2:32.888,WRX
4,316,Joseph Muench,TRACK MOD - AWD,2:36.950,Impreza
5,145,Devin Hofmann,TRACK MOD - AWD,2:53.637,AMG GTS
1,715,Eric Rockwell,UNLIMITED - FWD,2:25.659,S3
2,52,SerpentStangs Racing,UNLIMITED - RWD,2:58.750,Shelby GT500
3,92,Nate Vincent,UNLIMITED - RWD,3:08.433,190E Evo
4,27,Brad Perkins,UNLIMITED - RWD,DNF,M3
5,234,Scott Heckert,UNLIMITED - RWD,DNS,Impala
