GLTC Qualifying,,,,,
Pos,No.,Name,Class,Best Tm,Points
1,484,Matan Rosenberg,GLTC - RWD,1:38.910,3
2,90,Matt Waldbaum,GLTC - RWD,1:39.109,2
3,17,Tony Marchev,GLTC - RWD,1:39.617,1
4,73,Jason Saini,GLTC - RWD,1:40.035,0
5,212,Andy Smedegard,GLTC - RWD,1:40.146,0
6,184,Eric Jensen,GLTC - RWD,1:40.604,0
7,166,Ben Thorn,GLTC - FWD,1:40.995,0
8,320,Eddie Nakato,GLTC - RWD,1:41.035,0
9,224,Michael Hillo,GLTC - RWD,1:41.061,0
10,911,Julio Crispin,GLTC - RWD,1:41.081,0
11,272,Larry Moore,GLTC - RWD,1:41.643,0
12,11,Alex Audi,GLTC - RWD,1:41.722,0
13,144,Vytis Aranauskas,GLTC - RWD,1:41.767,0
14,47,Justin Ross,GLTC - RWD,1:41.998,0
15,246,Oscar Jackson,GLTC - RWD,1:42.050,0
16,527,Jackson Jensen,GLTC - RWD,1:42.188,0
17,173,Anthony Domenici,GLTC - RWD,1:42.248,0
18,410,Shukla Salil,GLTC - RWD,1:42.551,0
19,40,Jeremy Boysen,GLTC - FWD,1:42.574,0
20,207,Adam Wood,GLTC - AWD,1:42.639,0
21,28,Peter Zhang,GLTC - RWD,1:43.129,0
22,87,Nicholas Stentiford,GLTC - RWD,1:43.225,0
23,806,Adam Bao,GLTC - FWD,1:43.504,0
24,333,Fiona Lou,GLTC - RWD,1:43.740,0
25,20,George Koustoumbardis,GLTC - RWD,1:44.025,0
26,128,John Borchelt,GLTC - RWD,1:44.251,0
27,29,Jerick Javier,GLTC - RWD,1:44.359,0
28,145,Alexander Tarradellesnewell,GLTC - FWD,1:44.630,0
29,117,Rob Fuller,GLTC - RWD,1:44.851,0
30,104,Ben Lin,GLTC - RWD,1:45.193,0
31,888,Dai Nguyen,GLTC - RWD,1:45.366,0
32,149,Jonathan Lugod,GLTC - RWD,1:46.245,0
33,353,Mark Sadang,GLTC - FWD,1:48.502,0
34,51,David Rudzinski,GLTC - RWD,1:50.062,0
