GLTC Race 3 Results,,,,,,,,
Pos,No.,Name,Class,Best Tm,In Lap,Laps,Gap,Points
1,212,Andy Smedegard,GLTC - RWD,1:39.264,5,8,,25
2,90,Matt Waldbaum,GLTC - RWD,1:39.697,2,8,4.483,21
3,484,Matan Rosenberg,GLTC - RWD,1:39.658,7,8,2.382,18
4,224,Michael Hillo,GLTC - RWD,1:39.841,7,8,0.106,16
5,272,Larry Moore,GLTC - RWD,1:39.762,7,8,0.429,15
6,166,Ben Thorn,GLTC - FWD,1:40.365,4,8,3.131,14
7,184,Eric Jensen,GLTC - RWD,1:40.180,7,8,7.340,13
8,911,Julio Crispin,GLTC - RWD,1:39.911,6,8,0.270,12
9,527,Jackson Jensen,GLTC - RWD,1:41.725,6,8,8.315,11
10,320,Eddie Nakato,GLTC - RWD,1:40.340,7,8,0.189,10
11,17,Tony Marchev,GLTC - RWD,1:39.779,6,8,1.705,9
12,11,Alex Audi,GLTC - RWD,1:41.769,6,8,0.046,8
13,40,Jeremy Boysen,GLTC - FWD,1:41.497,6,8,0.932,7
14,173,Anthony Domenici,GLTC - RWD,1:41.709,6,8,0.600,6
15,246,Oscar Jackson,GLTC - RWD,1:42.226,6,8,1.599,5
16,144,Vytis Aranauskas,GLTC - RWD,1:41.111,6,8,3.631,4
17,29,Jerick Javier,GLTC - RWD,1:41.922,6,8,0.997,3
18,207,Adam Wood,GLTC - AWD,1:42.889,6,8,0.481,2
19,888,Dai Nguyen,GLTC - RWD,1:42.252,7,8,0.690,1
20,28,Peter Zhang,GLTC - RWD,1:41.423,5,8,0.165,0
21,87,Nicholas Stentiford,GLTC - RWD,1:41.827,8,8,1.097,0
22,806,Adam Bao,GLTC - FWD,1:43.125,6,8,4.885,0
23,333,Fiona Lou,GLTC - RWD,1:42.333,6,8,1.240,0
24,128,John Borchelt,GLTC - RWD,1:44.307,4,8,8.632,0
25,104,Ben Lin,GLTC - RWD,1:46.301,4,8,22.795,0
26,51,David Rudzinski,GLTC - RWD,1:49.654,2,6,2 Laps,0
27,73,Jason Saini,GLTC - RWD,1:41.902,3,3,3 Laps,0
28,410,Shukla Salil,GLTC - RWD,1:43.282,2,2,1 Lap,0
29,117,Rob Fuller,GLTC - RWD,1:51.117,1,1,1 Lap,0
30,20,George Koustoumbardis,GLTC - RWD,,0,,1 Lap,0
31,149,Jonathan Lugod,GLTC - RWD,,0,,4.325,0
