Practice 1 Results - All Groups & Model 3,,,,,
Pos,No.,Name,Class,Best Time/Heat,Model/Engine
1,491,Robin Shute,SUPER UNLIMITED - RWD,1:17.404,TSC-FS
2,714,Sasha Anis,UNLIMITED - RWD,1:25.555,350z
3,805,Craig Coker,UNLIMITED - AWD,1:28.745,MODEL S
4,270,Jason Chin,SUPER UNLIMITED - RWD,1:29.639,ALTIMA
5,642,Simon Sigier,UNLIMITED - RWD,1:30.676,GT2
6,450,James Kirkham,UNLIMITED - RWD,1:30.886,AMG GT
7,159,George Zhao,TRACK MOD - AWD,1:31.895,R8
8,909,Dai Yoshihara,UNLIMITED - RWD,1:32.365,S2000
9,274,Gabe Zamora,TRACK MOD - RWD,1:32.476,911
10,232,Andrew Dekoning,TRACK MOD - AWD,1:32.540,Model S
11,70,Dewey Dewitt,STREET MOD - AWD,1:32.731,IMPREZA
12,27,Brad Perkins,UNLIMITED - RWD,1:33.398,M3
13,14,Kal Fortner,STREET MOD - RWD,1:34.518,AMG GT S
14,407,Marcus Fry,TRACK MOD - RWD,1:35.138,510
15,914,Christopher Mayfield,STREET MOD - RWD,1:35.215,EVORA
16,702,Team Formula S,TRACK MOD - RWD,1:36.042,S2000
17,34,Andy Voelkel,STREET GT - RWD,1:36.421,CORVETTE
18,390,Gary Yeung,TRACK MOD - RWD,1:36.700,S2000
19,570,Kyle Magnuson,STREET GT - RWD,1:36.769,718 CAYMAN
20,63,Luca Barberis,STREET - AWD,1:37.106,LANCER
21,555,Joe Mielke,STREET - AWD,1:37.145,WRX STI
22,884,Stephen Schiefer,STREET MOD - RWD,1:37.427,GR SUPRA
23,789,Ryan Raduechel,UNLIMITED - RWD,1:37.832,MX-5 MIATA
24,916,Riley Stair,SUPER UNLIMITED - RWD,1:38.170,CIVIC
25,333,Tony Barber,MODEL 3 - AWD,1:38.409,MODEL 3
26,331,Mike Forsythe,TRACK MOD - RWD,1:39.621,S2000
27,38,Aaron Rekkedahl,STREET - FWD,1:39.626,CIVIC TYPE R
28,824,Noel Gill,TRACK MOD - RWD,1:39.636,VIPER
29,61,Fez Babar,CLUB TR - RWD,1:39.766,GR86
30,315,William Kwok,TRACK MOD - RWD,1:39.774,CORVETTE
31,339,Henry Lam,STREET MOD - RWD,1:39.915,RX-7
32,380,Jeffery Ting,STREET MOD - FWD,1:40.049,CIVIC TYPE R
33,310,Mike Coons,STREET - AWD,1:40.196,IMPREZA
34,595,Dustin Williams,STREET MOD - FWD,1:40.673,CIVIC TYPE R
35,140,David Carroll,STREET MOD - RWD,1:40.861,CIVIC
36,180,Zhenyang Huang,STREET MOD - RWD,1:41.006,GR SUPRA
37,918,Nicholas Aguayo,STREET MOD - RWD,1:41.115,GR SUPRA
38,511,Peter Granberg,CLUB TR - RWD,1:41.199,BRZ
39,654,Nick Aegerter,STREET - AWD,1:41.222,FOCUS
40,819,Karl Taht,STREET GT - RWD,1:41.278,CAYMAN
41,992,Christopher Rosales,STREET - FWD,1:41.321,CIVIC TYPE R
42,265,Neal Wiebmer,STREET - RWD,1:41.330,M3
43,617,Omar Kaayal,TRACK MOD - RWD,1:41.399,M3
44,13,Jerami Bailey,CLUB TR - RWD,1:41.642,FR-S
45,189,Brett Punay,STREET MOD - RWD,1:41.696,M3
