Practice 2 Results - All Groups,,,,,
Pos,No.,Name,Class,Best Time/Heat,Model/Engine
1,714,Sasha Anis,UNLIMITED - RWD,1:22.681,350z
2,642,Simon Sigier,UNLIMITED - RWD,1:26.439,GT2
3,805,Craig Coker,UNLIMITED - AWD,1:26.822,MODEL S
4,909,Dai Yoshihara,UNLIMITED - RWD,1:27.024,S2000
5,270,Jason Chin,SUPER UNLIMITED - RWD,1:28.211,ALTIMA
6,450,James Kirkham,UNLIMITED - RWD,1:29.950,AMG GT
7,848,Sylas Montgomery,SUPER UNLIMITED - RWD,1:29.977,ROAD COURSE SPRINT CAR
8,232,Andrew Dekoning,TRACK MOD - AWD,1:30.706,Model S
9,789,Ryan Raduechel,UNLIMITED - RWD,1:31.135,MX-5 MIATA
10,70,Dewey Dewitt,STREET MOD - AWD,1:31.156,IMPREZA
11,159,George Zhao,TRACK MOD - AWD,1:31.288,R8
12,274,Gabe Zamora,TRACK MOD - RWD,1:31.970,911
13,14,Kal Fortner,STREET MOD - RWD,1:32.987,AMG GT S
14,620,Michael Essa,UNLIMITED - RWD,1:33.234,SuperTrofeo
15,27,Brad Perkins,UNLIMITED - RWD,1:34.011,M3
16,914,Christopher Mayfield,STREET MOD - RWD,1:34.210,EVORA
17,52,Nicholas Gardner,UNLIMITED - RWD,1:34.237,SHELBY GT500
18,580,Damon Fryer,UNLIMITED - RWD,1:34.321,HURACAN
19,570,Kyle Magnuson,STREET GT - RWD,1:35.748,718 CAYMAN
20,525,Jeremy Lowder,UNLIMITED - RWD,1:35.973,CORVETTE
21,63,Luca Barberis,STREET - AWD,1:36.587,LANCER
22,884,Stephen Schiefer,STREET MOD - RWD,1:36.761,GR SUPRA
23,331,Mike Forsythe,TRACK MOD - RWD,1:37.483,S2000
24,555,Joe Mielke,STREET - AWD,1:37.695,WRX STI
25,380,Jeffery Ting,STREET MOD - FWD,1:38.148,CIVIC TYPE R
26,918,Nicholas Aguayo,STREET MOD - RWD,1:38.507,GR SUPRA
27,702,Team Formula S,TRACK MOD - RWD,1:38.691,S2000
28,339,Henry Lam,STREET MOD - RWD,1:38.850,RX-7
29,777,Josh Halka,STREET - AWD,1:38.915,IMPREZA
30,38,Aaron Rekkedahl,STREET - FWD,1:39.151,CIVIC TYPE R
31,916,Riley Stair,SUPER UNLIMITED - RWD,1:39.156,CIVIC
32,595,Dustin Williams,STREET MOD - FWD,1:39.190,CIVIC TYPE R
33,315,William Kwok,TRACK MOD - RWD,1:39.368,CORVETTE
34,19,Josh Powers,TRACK MOD - RWD,1:39.539,CORVETTE
35,143,Trey Tyler,STREET GT - RWD,1:39.596,GR SUPRA
36,511,Peter Granberg,CLUB TR - RWD,1:39.707,BRZ
37,310,Mike Coons,STREET - AWD,1:39.786,IMPREZA
38,140,David Carroll,STREET MOD - RWD,1:40.016,CIVIC
39,819,Karl Taht,STREET GT - RWD,1:40.023,CAYMAN
40,265,Neal Wiebmer,STREET - RWD,1:40.106,M3
41,199,Ian Flavin,CLUB TR - RWD,1:40.187,BRZ
42,237,Watson Christopher,STREET MOD - RWD,1:40.291,MX-5 MIATA
43,992,Christopher Rosales,STREET - FWD,1:40.351,CIVIC TYPE R
44,654,Nick Aegerter,STREET - AWD,1:40.357,FOCUS
45,404,David Bamforth,TRACK MOD - RWD,1:40.465,CAYMAN
46,61,Fez Babar,CLUB TR - RWD,1:40.666,GR86
47,824,Noel Gill,TRACK MOD - RWD,1:41.247,VIPER
48,141,Brandon Oglesby,TRACK MOD - RWD,1:41.862,1 SERIES
49,470,Eddy Segal,STREET - FWD,1:42.002,CIVIC
50,94,Mike Bryant,CLUB TR - RWD,1:42.038,MX-5
51,213,Jedwyn Taasin,CLUB TR - RWD,1:42.354,S2000
52,800,Scalar Performance,UNLIMITED - RWD,1:42.468,SCR1
53,792,Rafael Guerrero,STREET - RWD,1:42.660,RX7
54,194,Mike Callaway,STREET - AWD,1:42.675,IMPREZA
55,151,Nathan Poulson,CLUB TR - RWD,1:42.710,BRZ
56,108,Andre Wenzel,STREET MOD - RWD,1:43.177,RX-7
57,145,Devin Hofmann,STREET MOD - AWD,1:43.198,WRX
58,13,Jerami Bailey,CLUB TR - RWD,1:43.276,FR-S
59,414,Garrett Cogburn,CLUB TR - RWD,1:43.537,S2000
60,189,Brett Punay,STREET MOD - RWD,1:43.606,M3
61,164,Fenton Sun,STREET - FWD,1:43.648,ELANTRA N
62,239,Tan Nguyen,CLUB TR - RWD,1:43.790,S2000
63,147,Yo Keutla,TRACK MOD - RWD,1:44.974,911
64,98,Willem Drees,STREET - FWD,1:45.089,VELOSTER
65,454,Karla Pestotnik,CLUB TR - RWD,1:45.382,S2000
66,536,Steph Papadakis,STREET - AWD,1:47.938,COROLLA
67,64,Alex Westergaard,TRACK MOD - RWD,1:48.074,S2000
68,7,Tom Halka,STREET - AWD,1:48.567,IMPREZA
69,183,Jerald Yutadco,TRACK MOD - RWD,1:48.614,BRZ
70,170,Tom Tang,UNLIMITED - RWD,1:49.094,ELISE
71,123,Whiskey Danger Racing,CLUB TR - RWD,1:49.337,S2000
72,231,Lester Epps,CLUB TR - FWD,1:49.711,CELICA
73,344,Phil Jolicoeur,STREET MOD - AWD,1:50.496,5000
74,266,Shawn Bassett,UNLIMITED - RWD,1:50.516,CIVIC
75,249,Carlos Valenzuela,CLUB TR - FWD,1:50.760,Civic
76,191,Jessica Powers,TRACK MOD - RWD,1:51.680,CORVETTE
77,628,Patrick Melgar,STREET - FWD,1:51.858,VELOSTER
78,817,Team Riaction,CLUB TR - FWD,1:53.714,INTEGRA
79,46,Nehru Cheddie,STREET GT - RWD,1:53.969,911
80,126,Jacob Abbott,SUNDAE CUP - FWD,1:54.269,FIT
81,135,Taylour Wargo,SUNDAE CUP - FWD,1:54.318,FIT
82,281,Peter Nelson,CLUB TR - RWD,1:54.394,1 SERIES
83,122,Jason Davidson,SUNDAE CUP - FWD,1:57.083,FIT
84,876,Du Mah,SUNDAE CUP - FWD,1:58.428,FIT
85,305,Tj Keon,STREET GT - RWD,1:59.212,CROWN VICTORIA
86,322,Justin Okamoto,CLUB TR - RWD,2:00.743,318I
87,269,Christian Wendland,SUNDAE CUP - FWD,2:04.208,FIT
88,969,Fields Autoworks,SUNDAE CUP - FWD,2:04.597,Fit
89,617,Omar Kaayal,TRACK MOD - RWD,2:04.810,M3
90,874,Robert Robles,UNLIMITED - RWD,5:03.069,Supra
91,11,Graham Gaylord,CLUB TR - FWD,,COROLLA
