Podium Sprint Results - All Groups,,,,,
Pos,No.,Name,Class,Best Time/Heat,Model/Engine
1,61,Fez Babar,CLUB TR - RWD,1:39.603,GR86
2,511,Peter Granberg,CLUB TR - RWD,1:39.904,BRZ
3,199,Ian Flavin,CLUB TR - RWD,1:41.090,BRZ
4,13,Jerami Bailey,CLUB TR - RWD,1:41.304,FR-S
5,94,Mike Bryant,CLUB TR - RWD,DNF,MX-5
1,63,Luca Barberis,STREET - AWD,1:35.016,LANCER
2,555,Joe Mielke,STREET - AWD,1:35.842,WRX STI
3,777,Josh Halka,STREET - AWD,1:36.649,IMPREZA
4,333,Tony Barber,STREET - AWD,1:37.196,Model 3
5,310,Mike Coons,STREET - AWD,1:37.298,IMPREZA
1,570,Kyle Magnuson,STREET GT - RWD,1:35.245,718 CAYMAN
2,34,Andy Voelkel,STREET GT - RWD,1:36.680,CORVETTE
3,819,Karl Taht,STREET GT - RWD,1:38.410,CAYMAN
4,143,Trey Tyler,STREET GT - RWD,1:39.258,GR SUPRA
5,303,Brad Wintermantle,STREET GT - RWD,1:41.177,MUSTANG
1,14,Kal Fortner,STREET MOD - RWD,1:33.368,AMG GT S
2,914,Christopher Mayfield,STREET MOD - RWD,1:33.778,EVORA
3,884,Stephen Schiefer,STREET MOD - RWD,1:35.187,GR SUPRA
4,380,Jeffery Ting,STREET MOD - FWD,1:37.449,CIVIC TYPE R
5,70,Dewey Dewitt,STREET MOD - AWD,DNS,IMPREZA
1,126,Jacob Abbott,SUNDAE CUP - FWD,1:52.884,FIT
2,135,Taylour Wargo,SUNDAE CUP - FWD,1:53.730,FIT
3,122,Jason Davidson,SUNDAE CUP - FWD,1:55.650,FIT
4,876,Du Mah,SUNDAE CUP - FWD,1:55.888,FIT
5,369,Lucas Urban,SUNDAE CUP - FWD,DNS,ZX2
1,491,Robin Shute,SUPER UNLIMITED - RWD,1:12.417,TSC-FS
2,270,Jason Chin,SUPER UNLIMITED - RWD,1:24.417,ALTIMA
3,848,Sylas Montgomery,SUPER UNLIMITED - RWD,1:28.261,ROAD COURSE SPRINT CAR
4,770,Will Wattanawongkiri,SUPER UNLIMITED - RWD,1:29.982,FX
5,916,Riley Stair,SUPER UNLIMITED - RWD,1:34.454,CIVIC
1,274,Gabe Zamora,TRACK MOD - RWD,1:30.471,911
2,159,George Zhao,TRACK MOD - AWD,1:30.693,R8
3,232,Andrew Dekoning,TRACK MOD - AWD,1:30.818,Model S
4,315,William Kwok,TRACK MOD - RWD,1:32.634,CORVETTE
5,874,Robert Robles,TRACK MOD - RWD,DNF,Supra
1,714,Sasha Anis,UNLIMITED - RWD,1:24.341,350z
2,642,Simon Sigier,UNLIMITED - RWD,1:25.282,GT2
3,805,Craig Coker,UNLIMITED - AWD,1:26.893,MODEL S
4,450,James Kirkham,UNLIMITED - RWD,1:30.771,AMG GT
5,909,Dai Yoshihara,UNLIMITED - RWD,DNS,S2000
