Qualifying 2 Results - All Groups,,,,,
Pos,No.,Name,Class,Best Time/Heat,Model/Engine
1,61,Fez Babar,CLUB TR - RWD,1:39.171,GR86
2,511,Peter Granberg,CLUB TR - RWD,1:39.328,BRZ
3,199,Ian Flavin,CLUB TR - RWD,1:40.498,BRZ
4,94,Mike Bryant,CLUB TR - RWD,1:40.556,MX-5
5,239,Tan Nguyen,CLUB TR - RWD,1:41.001,S2000
6,13,Jerami Bailey,CLUB TR - RWD,1:41.168,FR-S
7,414,Garrett Cogburn,CLUB TR - RWD,1:41.622,S2000
8,213,Jedwyn Taasin,CLUB TR - RWD,1:41.626,S2000
9,249,Carlos Valenzuela,CLUB TR - FWD,1:41.969,Civic
10,151,Nathan Poulson,CLUB TR - RWD,1:42.831,BRZ
11,11,Graham Gaylord,CLUB TR - AWD,1:43.392,Corolla
12,123,Whiskey Danger Racing,CLUB TR - RWD,1:43.775,S2000
13,454,Karla Pestotnik,CLUB TR - RWD,1:45.684 UO,S2000
14,231,Lester Epps,CLUB TR - FWD,1:47.709,CELICA
15,817,Team Riaction,CLUB TR - FWD,1:50.231,INTEGRA
16,281,Peter Nelson,CLUB TR - RWD,1:51.735,1 SERIES
17,322,Justin Okamoto,CLUB TR - RWD,1:59.138,318I
18,337,Roberto Velazquez,CLUB TR - FWD,5:01.653,CIVIC
1,63,Luca Barberis,STREET - AWD,1:34.864,LANCER
2,555,Joe Mielke,STREET - AWD,1:36.216,WRX STI
3,777,Josh Halka,STREET - AWD,1:36.357,IMPREZA
4,333,Tony Barber,STREET - AWD,1:37.868,Model 3
5,310,Mike Coons,STREET - AWD,1:38.880,IMPREZA
6,38,Aaron Rekkedahl,STREET - FWD,1:39.378,CIVIC TYPE R
7,654,Nick Aegerter,STREET - AWD,1:39.677,FOCUS
8,992,Christopher Rosales,STREET - FWD,1:39.893,CIVIC TYPE R
9,470,Eddy Segal,STREET - FWD,1:40.262,CIVIC
10,265,Neal Wiebmer,STREET - RWD,1:40.370,M3
11,164,Fenton Sun,STREET - FWD,1:40.825,ELANTRA N
12,194,Mike Callaway,STREET - AWD,1:42.067,IMPREZA
13,273,Anthony Do,STREET - AWD,1:45.899,COROLLA
14,536,Steph Papadakis,STREET - AWD,1:46.181,COROLLA
15,792,Rafael Guerrero,STREET - RWD,1:46.480,RX7
