GLTC Qualifying Results,,,,,
Pos,No.,Name,Class,Best Tm,Points
1,212,Andy Smedegard,GLTC - RWD,1:31.870,3
2,484,Matan Rosenberg,GLTC - RWD,1:32.595,2
3,82,Eric Kutil,GLTC - FWD,1:33.265,1
4,41,James Houghton,GLTC - FWD,1:33.413,0
5,19,Aaron Leichty,GLTC - RWD,1:33.414,0
6,109,Dana Basinski,GLTC - RWD,1:33.720,0
7,90,Matt Waldbaum,GLTC - RWD,1:33.767,0
8,17,Tony Marchev,GLTC - RWD,1:33.793,0
9,130,James Smith,GLTC - RWD,1:33.949,0
10,184,Eric Jensen,GLTC - RWD,1:34.006,0
11,129,James Cathers,GLTC - RWD,1:34.009,0
12,917,Lena Chin,GLTC - RWD,1:34.089,0
13,85,Samuel Scott,GLTC - RWD,1:34.354,0
14,4,Adam Ulrich,GLTC - RWD,1:34.872,0
15,202,Jake Price,GLTC - RWD,1:35.005,0
16,144,Vytis Aranauskas,GLTC - RWD,1:35.391,0
17,71,Joel Morrison,GLTC - RWD,1:35.701,0
18,86,Jackie Ding,GLTC - FWD,1:35.748,0
19,24,Dustin Bartee,GLTC - FWD,1:35.818,0
20,26,Louis Chatroop,GLTC - RWD,1:36.174,0
21,10,Brian Tyson,GLTC - FWD,1:36.302,0
22,886,Jason Nguyen,GLTC - RWD,1:36.682,0
23,67,Mat Beck,GLTC - RWD,1:37.129,0
24,462,Natalie Corder,GLTC - RWD,1:38.183,0
25,75,Adam Jabaay,GLTC - FWD,1:38.355,0
26,100,Andrew Cowden,GLTC - RWD,1:39.667,0
27,119,Matt Cater,GLTC - AWD,1:39.672,0
28,311,Jose Santacruz,GLTC - FWD,1:40.040,0
29,860,Nathan Manning,GLTC - RWD,1:40.277,0
30,880,Oliver Gillinson,GLTC - FWD,1:40.961,0
31,44,Kerry James,GLTC - RWD,,0
DQ,77,Hans Horpedahl,GLTC - RWD,1:34.222,0
DQ,32,Jake Joraanstad,GLTC - RWD,1:34.511,0
DQ,40,Jeremy Boysen,GLTC - FWD,1:35.210,0
DQ,69,James Forbis,GLTC - RWD,1:35.326,0
DQ,78,Jason Kanakry,GLTC - RWD,1:35.642,0
DQ,38,Ernestas Puzelis,GLTC - RWD,1:36.881,0
