GLTC Race 3 Results,,,,,,,,
Pos,No.,Name,Class,Best Tm,In Lap,Laps,Gap,Points
1,484,Matan Rosenberg,GLTC - RWD,1:32.769,7,9,,25
2,212,Andy Smedegard,GLTC - RWD,1:32.852,7,9,0.086,21
3,17,Tony Marchev,GLTC - RWD,1:33.779,6,9,3.91,18
4,19,Aaron Leichty,GLTC - RWD,1:33.765,4,9,0.943,16
5,41,James Houghton,GLTC - FWD,1:33.568,3,9,0.734,15
6,109,Dana Basinski,GLTC - RWD,1:33.862,3,9,3.865,14
7,129,James Cathers,GLTC - RWD,1:34.091,3,9,3.502,13
8,184,Eric Jensen,GLTC - RWD,1:34.063,7,9,1.155,12
9,77,Hans Horpedahl,GLTC - RWD,1:34.356,7,9,0.93,11
10,82,Eric Kutil,GLTC - FWD,1:33.046,8,9,2.032,10
11,917,Lena Chin,GLTC - RWD,1:34.522,5,9,0.523,9
12,85,Samuel Scott,GLTC - RWD,1:34.519,7,9,1.274,8
13,202,Jake Price,GLTC - RWD,1:35.136,5,9,4.632,7
14,32,Jake Joraanstad,GLTC - RWD,1:34.880,4,9,1.088,6
15,71,Joel Morrison,GLTC - RWD,1:35.892,7,9,4.494,5
16,24,Dustin Bartee,GLTC - FWD,1:36.155,6,9,3.397,4
17,78,Jason Kanakry,GLTC - RWD,1:35.972,3,9,8.228,3
18,10,Brian Tyson,GLTC - FWD,1:36.520,7,9,1.024,2
19,90,Matt Waldbaum,GLTC - RWD,1:35.758,4,9,0.598,1
20,886,Jason Nguyen,GLTC - RWD,1:36.834,7,9,0.78,0
21,144,Vytis Aranauskas,GLTC - RWD,1:36.684,6,9,0.832,0
22,311,Jose Santacruz,GLTC - FWD,1:38.498,5,9,12.203,0
23,40,Jeremy Boysen,GLTC - FWD,1:36.051,6,9,4.371,0
24,177,Justin Lautz,GLTC - RWD,1:38.367,6,9,2.233,0
25,67,Mat Beck,GLTC - RWD,1:36.616,6,9,0.153,0
26,100,Andrew Cowden,GLTC - RWD,1:39.356,6,9,15.151,0
27,860,Nathan Manning,GLTC - RWD,1:40.372,9,9,0.841,0
28,119,Matt Cater,GLTC - AWD,1:40.556,9,9,1.389,0
29,75,Adam Jabaay,GLTC - FWD,1:40.280,9,9,0.183,0
30,462,Natalie Corder,GLTC - RWD,1:39.364,9,9,3.355,0
31,86,Jackie Ding,GLTC - FWD,1:40.526,2,2,7 Laps,0
32,130,James Smith,GLTC - RWD,,0,,2 Laps,0
33,26,Louis Chatroop,GLTC - RWD,,0,,1.145,0
DQ,69,James Forbis,GLTC - RWD,1:37.710,3,9,,0
