TrackBattle Heat 5 Results (all groups),,,,,
Pos,No.,Name,Class,Best Time/Heat,Model/Engine
1,500,Steven Luca,UNLIMITED - RWD,1:24.518,MUSTANG
2,338,Ernestas Puzelis,UNLIMITED - RWD,1:24.551,S2000
3,29x,Kyle Mckiou,TRACK MOD - RWD,1:25.681,GR SUPRA
4,89,Brandon Hodge,TRACK MOD - RWD,1:27.437,GR SUPRA
5,314,Michael Puglisi,TRACK MOD - AWD,1:27.694,LANCER
6,171,Andrius Bertulis,UNLIMITED - RWD,1:28.119,RCF
7,307,Andy Hsiao,TRACK MOD - RWD,1:28.719,CORVETTE
8,150,Alex Moss,STREET MOD - RWD,1:28.777,S2000
9,84,Ido Waksman,STREET GT - RWD,1:29.983,CORVETTE
10,82,Jaime Santos,STREET MOD - RWD,1:30.025,1 SERIES
11,420,Aric Streeter,UNLIMITED - RWD,1:30.879,SEVEN
12,655,Allen Ma,TRACK MOD - RWD,1:30.944,RX-7
13,226,Team GT4 Gang,STREET MOD - RWD,1:31.295,GT4 RS
14,364,Nicholas Hendrix,STREET GT - RWD,1:31.428,CORVETTE
15,187,Keenan Prusank,STREET GT - RWD,1:31.816,CAMARO
16,966,Michael Young,TRACK MOD - RWD,1:31.823,Z06
17,73,Jeremy Salenius,STREET MOD - RWD,1:31.881,CORVETTE
18,156,Mike Janssen,STREET GT - AWD,1:32.078,MODEL 3
19,625,Sam Bosnian,STREET - RWD,1:32.147,350Z
20,511,Peter Granberg,CLUB TR - RWD,1:32.344,BRZ
21,733,Edvinas Cinga,UNLIMITED - RWD,1:32.354,M3
22,193,Brad Moore,STREET - RWD,1:32.572,CAYMAN
23,841,Luka Lumovic,STREET MOD - RWD,1:32.691,1 SERIES
24,734,Austin Hertel,STREET GT - RWD,1:32.782,M2
25,822,Dallas Reed,STREET GT - RWD,1:32.829,CORVETTE
26,623,Stan Fayngold,CLUB TR - RWD,1:33.171,86
27,531,Evan Weider,CLUB TR - FWD,1:33.481,CIVIC
28,886,Team Mediocre-K,STREET MOD - RWD,1:34.053,FR-S
29,13,Jerami Bailey,CLUB TR - RWD,1:34.282,FR-S
30,38,Aaron Rekkedahl,STREET - FWD,1:34.303,CIVIC TYPE R
31,94,Mike Bryant,CLUB TR - RWD,1:34.415,MX-5
32,199,Ian Flavin,CLUB TR - RWD,1:34.496,BRZ
33,26,Arthur Dvortsen,CLUB TR - RWD,1:34.566,MX-5 MIATA
34,40,Ben Bulthuis,STREET GT - RWD,1:34.833,GR SUPRA
35,123,Whiskey Danger Racing,CLUB TR - RWD,1:35.347,S2000
36,22,Mitchell Hickling,STREET GT - RWD,1:35.464,M4
37,64,Alex Westergaard,TRACK MOD - RWD,1:36.235,S2000
38,126,Jacob Abbott,CLUB TR - RWD,1:36.503,BRZ
39,241,Dariush Lotfi,CLUB TR - RWD,1:37.248,MX-5 MIATA
40,415,Ivan Onofriiciuc,STREET - RWD,1:37.281,370Z
41,622,Jake Rawson,CLUB TR - RWD,1:37.631,3 SERIES
42,169,Dan Mai,CLUB TR - RWD,1:37.705,325I
43,75,Jerome Cahuzac,STREET GT - RWD,1:37.813,M2
44,208,Jerry Samountry,STREET GT - RWD,1:38.112,M4
45,238,Garrett Gloceri,CLUB TR - RWD,1:38.284,RX-8
46,260,Matthew Morehouse,STREET - AWD,1:38.616,FORESTER
47,372,Aladin Klicic,STREET - RWD,1:40.211,370Z
48,627,Ben Ciric,STREET - RWD,1:40.636,370Z
49,519,Malindima Sampa,CLUB TR - RWD,1:40.671,350Z
50,67,Jonathan Denk,STREET MOD - FWD,1:42.103,CIVIC
51,528,Richard Sawicki,SUNDAE CUP - RWD,1:42.552 DQ,MX-5 MIATA
52,370,Sam Deuling,SUNDAE CUP - FWD,1:43.839,FIT
53,144,Ryan Mukherjee,SUNDAE CUP - FWD,1:44.184,FIT
54,116,Lennon Radcliffe,SUNDAE CUP - FWD,1:44.306,COROLLA
55,488,Matt Dietlin,SUNDAE CUP - FWD,1:45.885,FIT
56,122,Jason Davidson,SUNDAE CUP - FWD,1:46.251,FIT
57,707,Piotr Boczek,SUNDAE CUP - FWD,1:46.333,FIT
58,248,Nathan Schlawin,SUNDAE CUP - FWD,1:46.705,FIT
59,636,Noah Masse,SUNDAE CUP - FWD,1:47.255,FIT
60,292,Jim Frohwirth,SUNDAE CUP - FWD,1:47.271,FIT
61,433,Robert Miller,SUNDAE CUP - FWD,1:49.216,RIO
62,117,Team SundaeFunday,SUNDAE CUP - FWD,1:53.571,FIT
63,45,Ross Ligibel,STREET - RWD,,M3
64,61,Fez Babar,CLUB TR - RWD,,GR86
65,43,John Farrow,TRACK MOD - AWD,,COROLLA
