TrackBattle Overall Results (all groups),,,,,
Pos,No.,Name,Class,Best Time/Heat,Model/Engine
1,500,Steven Luca,UNLIMITED - RWD,1:24.265,MUSTANG
2,338,Ernestas Puzelis,UNLIMITED - RWD,1:24.511,S2000
3,29x,Kyle Mckiou,TRACK MOD - RWD,1:25.119,GR SUPRA
4,29,Kyle Mckiou,STREET MOD - RWD,1:25.816,GR SUPRA
5,89,Brandon Hodge,TRACK MOD - RWD,1:26.854,GR SUPRA
6,687,Jackie Ding,TRACK MOD - RWD,1:27.087,M2
7,314,Michael Puglisi,TRACK MOD - AWD,1:27.694,LANCER
8,171,Andrius Bertulis,UNLIMITED - RWD,1:28.119,RCF
9,150,Alex Moss,STREET MOD - RWD,1:28.391,S2000
10,307,Andy Hsiao,TRACK MOD - RWD,1:28.563,CORVETTE
11,84,Ido Waksman,STREET GT - RWD,1:29.261,CORVETTE
12,82,Jaime Santos,STREET MOD - RWD,1:29.918,1 SERIES
13,886,Team Mediocre-K,STREET MOD - RWD,1:30.114,FR-S
14,212,Chris Smith,TRACK MOD - RWD,1:30.206,1 SERIES
15,364,Nicholas Hendrix,STREET GT - RWD,1:30.628,CORVETTE
16,420,Aric Streeter,UNLIMITED - RWD,1:30.879,SEVEN
17,655,Allen Ma,TRACK MOD - RWD,1:30.944,RX-7
18,226,Team GT4 Gang,STREET MOD - RWD,1:31.143,GT4 RS
19,297,Brian Van Orsdol,STREET MOD - RWD,1:31.351,GR SUPRA
20,555,Joe Mielke,STREET - AWD,1:31.419,WRX STI
21,187,Keenan Prusank,STREET GT - RWD,1:31.524,CAMARO
22,733,Edvinas Cinga,UNLIMITED - RWD,1:31.534,M3
23,625,Sam Bosnian,STREET - RWD,1:31.799,350Z
24,966,Michael Young,TRACK MOD - RWD,1:31.823,Z06
25,73,Jeremy Salenius,STREET MOD - RWD,1:31.881,CORVETTE
26,734,Austin Hertel,STREET GT - RWD,1:31.896,M2
