GLTC Qualifying Results,,,,,
Pos,No.,Name,Class,Best Tm,Points
1,7,Luke Mcgrew,GLTC - RWD,1:42.187,3
2,41,James Houghton,GLTC - FWD,1:42.348,2
3,82,Eric Kutil,GLTC - FWD,1:42.571,1
4,484,Matan Rosenberg,GLTC - RWD,1:42.995,0
5,90,Matt Waldbaum,GLTC - RWD,1:43.279,0
6,99,Ronnie Vajdak,GLTC - FWD,1:43.425,0
7,330,Eric Magnussen,GLTC - RWD,1:43.653,0
8,236,Jon Kozlow,GLTC - RWD,1:43.676,0
9,129,James Cathers,GLTC - RWD,1:43.845,0
10,184,Eric Jensen,GLTC - RWD,1:44.173,0
11,917,Lena Chin,GLTC - RWD,1:44.193,0
12,166,Ben Thorn,GLTC - FWD,1:44.292,0
13,204,Lealand Wamboldt,GLTC - FWD,1:44.420,0
14,98,Andrew Rains,GLTC - RWD,1:44.824,0
15,72,Dj Alessandrini,GLTC - RWD,1:44.927,0
16,715,Salil Shukla,GLTC - RWD,1:44.931,0
17,33,Justin Lee,GLTC - RWD,1:45.049,0
18,1,Gary Wimble,GLTC - RWD,1:45.155,0
19,83,Carlos Mendez,GLTC - RWD,1:45.161,0
20,28,Peter Zhang,GLTC - RWD,1:45.173,0
21,10,Brian Tyson,GLTC - FWD,1:45.293,0
22,17,Tony Marchev,GLTC - RWD,1:45.571,0
23,87,Nicholas Stentiford,GLTC - RWD,1:45.778,0
24,212,Andy Smedegard,GLTC - RWD,1:45.795,0
25,4,Adam Ulrich,GLTC - RWD,1:46.260,0
26,888,Dai Nguyen,GLTC - RWD,1:46.481,0
27,124,Peter Collins,GLTC - RWD,1:46.658,0
28,86,Jackie Ding,GLTC - RWD,1:46.725,0
29,84,Thomas Lathrop,GLTC - RWD,1:46.760,0
30,9,Adam Griffith,GLTC - RWD,1:47.272,0
31,69,James Forbis,GLTC - RWD,1:47.334,0
32,159,Joshua Rubenstein,GLTC - RWD,1:47.547,0
33,136,Austin Cobb,GLTC - RWD,1:47.555,0
34,886,Jason Nguyen,GLTC - RWD,1:48.020,0
35,36,Ernestas Puzelis,GLTC - RWD,1:48.446,0
36,337,Bryan Leonard,GLTC - RWD,1:48.931,0
37,171,Clayton Fitzpatrick,GLTC - RWD,1:49.347,0
38,71,Joel Morrison,GLTC - RWD,1:51.351,0
39,62,Doug Geiger,GLTC - RWD,1:51.719,0
40,56,Bob Ross,GLTC - RWD,1:51.843,0
41,521,Sean Macneil,GLTC - FWD,1:52.328,0
42,5,Kevin Bandy,GLTC - RWD,1:52.466,0
43,16,Robert Mcdaniels,GLTC - RWD,1:52.916,0
44,100,Andrew Cowden,GLTC - RWD,1:53.150,0
45,165,Carter Hollis,GLTC - FWD,1:54.013,0
46,860,Nathan Manning,GLTC - RWD,1:57.578,0
47,92,Marcus Luttrell,GLTC - RWD,2:44.985,0
