GLTC Race 4 Results,,,,,,,,
Pos,No.,Name,Class,Best Tm,In Lap,Laps,Gap,Points
1,98,Andrew Rains,GLTC - RWD,1:44.269,6,8,,25
2,330,Eric Magnussen,GLTC - RWD,1:43.743,8,8,0.525,21
3,82,Eric Kutil,GLTC - FWD,1:43.344,7,8,0.855,18
4,7,Luke Mcgrew,GLTC - RWD,1:42.560,8,8,0.075,16
5,129,James Cathers,GLTC - RWD,1:43.854,3,8,2.518,15
6,72,Dj Alessandrini,GLTC - RWD,1:44.147,4,8,3.887,14
7,715,Salil Shukla,GLTC - RWD,1:44.296,6,8,0.404,13
8,83,Carlos Mendez,GLTC - RWD,1:44.537,7,8,1.095,12
9,484,Matan Rosenberg,GLTC - RWD,1:44.000,4,8,1.086,11
10,1,Gary Wimble,GLTC - RWD,1:45.193,6,8,3.276,10
11,33,Justin Lee,GLTC - RWD,1:45.168,4,8,0.078,9
12,99,Ronnie Vajdak,GLTC - FWD,1:44.400,5,8,7.386,8
13,71,Joel Morrison,GLTC - RWD,1:46.136,7,8,1.335,7
14,917,Lena Chin,GLTC - RWD,1:44.297,7,8,0.722,6
15,888,Dai Nguyen,GLTC - RWD,1:45.314,7,8,1.196,5
16,236,Jon Kozlow,GLTC - RWD,1:44.207,7,8,0.339,4
17,69,James Forbis,GLTC - RWD,1:46.139,6,8,2.667,3
18,4,Adam Ulrich,GLTC - RWD,1:46.450,4,8,5.098,2
19,84,Thomas Lathrop,GLTC - RWD,1:46.628,3,8,0.27,1
20,159,Joshua Rubenstein,GLTC - RWD,1:46.542,5,8,0.532,0
21,90,Matt Waldbaum,GLTC - RWD,1:45.104,5,8,0.282,0
22,184,Eric Jensen,GLTC - RWD,1:44.694,6,8,0.927,0
23,124,Peter Collins,GLTC - RWD,1:45.812,4,8,1.495,0
24,87,Nicholas Stentiford,GLTC - RWD,1:46.101,3,8,0.084,0
25,136,Austin Cobb,GLTC - RWD,1:46.769,3,8,0.554,0
26,337,Bryan Leonard,GLTC - RWD,1:46.749,6,8,1.422,0
27,886,Jason Nguyen,GLTC - RWD,1:46.579,5,8,0.862,0
28,28,Peter Zhang,GLTC - RWD,1:45.922,8,8,0.676,0
29,171,Clayton Fitzpatrick,GLTC - RWD,1:47.170,6,8,2.527,0
30,9,Adam Griffith,GLTC - RWD,1:47.607,2,8,2.903,0
31,38,Ernestas Puzelis,GLTC - RWD,1:47.318,2,8,0.473,0
32,5,Kevin Bandy,GLTC - RWD,1:48.266,6,8,4.155,0
33,62,Doug Geiger,GLTC - RWD,1:48.295,6,8,1.481,0
34,56,Bob Ross,GLTC - RWD,1:48.662,6,8,8.287,0
35,100,Andrew Cowden,GLTC - RWD,1:50.830,3,8,9.939,0
36,860,Nathan Manning,GLTC - RWD,1:50.984,5,8,4.135,0
37,165,Carter Hollis,GLTC - FWD,1:51.297,3,8,0.151,0
38,16,Robert Mcdaniels,GLTC - RWD,1:54.416,3,8,23.887,0
39,204,Lealand Wamboldt,GLTC - FWD,1:44.282,3,7,1 Lap,0
40,41,James Houghton,GLTC - FWD,1:43.584,4,5,2 Laps,0
41,212,Andy Smedegard,GLTC - RWD,1:49.855,2,2,3 Laps,0
42,515,Thomas Moss,GLTC - RWD,,0,,2 Laps,0
