TrackBattle Practice 2 Results (all groups),,,,,
Pos,No.,Name,Class,Best Time/Heat,Model/Engine
1,445,Justin Peachey,TRACK MOD - RWD,1:36.043,CORVETTE
2,606,Allen Patten,STREET MOD - RWD,1:36.212,GR SUPRA
3,307,Andy Hsiao,STREET MOD - RWD,1:37.462,CORVETTE
4,6,Michael Aumick,STREET MOD - AWD,1:37.720,IMPREZA
5,687,Jackie Ding,TRACK MOD - RWD,1:38.452,GR SUPRA
6,14,Kal Fortner,STREET MOD - RWD,1:38.972,AMG GT S
7,114,Bronson Mcnemar,TRACK MOD - RWD,1:39.102,MX-5 MIATA
8,29,Kyle Mckiou,STREET MOD - RWD,1:39.349,GR SUPRA
9,751,Rob Wilmoth,TRACK MOD - AWD,1:39.646,RS 3
10,63,Luca Barberis,STREET - AWD,1:39.733,LANCER
11,33,Chris Boersma,TRACK MOD - FWD,1:39.749,CIVIC
12,404,David Bamforth,TRACK MOD - RWD,1:39.832,CAYMAN
13,550,Christian Aranha,STREET GT - RWD,1:40.109,CAMARO
14,716,Darius Zajac,TRACK MOD - RWD,1:40.454,CORVETTE
15,989,Chris Nelms,STREET MOD - RWD,1:40.586,M2
16,441,Jonathan Wheeler,STREET MOD - RWD,1:40.630,370Z
17,89,Brandon Hodge,TRACK MOD - RWD,1:41.064,GR SUPRA
18,171,Andrius Bertulis,UNLIMITED - RWD,1:41.314,RCF
19,777,Josh Halka,STREET - AWD,1:42.025,IMPREZA
20,2,Connor Gallagher,STREET GT - AWD,1:42.840,GT-R
21,185,Sam Corke,STREET GT - RWD,1:42.865,2 SERIES
22,909,Mark Kilgore,STREET GT - RWD,1:42.957,M4
23,773,Luie Zendejas,STREET GT - RWD,1:43.152,M2
24,104,Ben Lin,STREET - AWD,1:44.102,Evo
25,121,Ryan Mathews,STREET GT - RWD,1:44.106,CORVETTE
26,40,Ben Bulthuis,STREET GT - RWD,1:44.719,GR SUPRA
27,985,Dayton Delahoussaye,STREET MOD - RWD,1:44.972,MX-5 MIATA
28,21,Devin Herndon,STREET MOD - FWD,1:45.324,GLA
29,696,Fernando Granados,STREET MOD - RWD,1:45.521,GR SUPRA
30,650,Tim White,STREET - AWD,1:45.578,IMPREZA
31,470,Eddy Segal,STREET - FWD,1:45.648,CIVIC
32,310,Mike Coons,STREET - AWD,1:46.119,IMPREZA
33,625,Sam Bosnian,STREET - RWD,1:46.138,350Z
34,18,Kevin Vue,CLUB TR - FWD,1:46.291,INTEGRA
35,281,Randy Reeves,STREET MOD - RWD,1:46.408,MX-5 MIATA
36,421,Logan Kenseth,STREET MOD - RWD,1:46.669,CTS
37,326,Stan Fayngold,CLUB TR - RWD,1:46.786,FR-S
38,39,Gregory Formosa,STREET - AWD,1:46.988,LANCER
39,50,Azmath Mohammed,CLUB TR - RWD,1:47.193,MR2
40,340,Lisa Keyes,STREET GT - RWD,1:47.261,Supra
41,4,Kevin Parlett,UNLIMITED - RWD,1:47.507,G35
42,959,James Wood,TRACK MOD - RWD,1:47.687,RX-7
43,13,Jerami Bailey,CLUB TR - RWD,1:47.796,FR-S
44,334,Nicolas Fuller,CLUB TR - RWD,1:48.501,325I
45,514,Evan Mclaren,CLUB TR - FWD,1:48.777,INTEGRA
46,727,Mario Mirone,CLUB TR - FWD,1:48.967,CIVIC
47,58,Grant White,STREET MOD - RWD,1:48.996,MUSTANG
48,710,Hang Hu,TRACK MOD - RWD,1:49.009,
49,410,Foster Johnson,CLUB TR - RWD,1:49.185,S2000
50,703,Ryan Wyke,STREET - RWD,1:49.413,M3
51,145,Devin Hofmann,STREET MOD - AWD,1:49.686,WRX
52,641,Raul Iriarte,CLUB TR - RWD,1:49.746,3 SERIES
53,350,Nishant Patel,STREET - RWD,1:49.867,350Z
54,41,Nathan Eichinger,STREET MOD - AWD,1:49.918,IMPREZA
55,69,Cody Umbaugh,STREET - FWD,1:50.004,CIVIC
56,75,Jerome Cahuzac,STREET GT - RWD,1:50.161,M2
57,860,Joshua Garcia,TRACK MOD - RWD,1:50.382,COROLLA
58,10,Ian Brown,STREET MOD - FWD,1:51.031,COOPER
59,262,Dominick Golia,STREET - RWD,1:52.025,CROSSFIRE
60,266,Shawn Bassett,UNLIMITED - RWD,1:52.259,240Z
61,197,Racing Mechanical Advantage,TRACK MOD - AWD,1:52.568,IMPREZA
62,610,Benjamin Swanson,TRACK MOD - AWD,1:52.820,Impreza
63,126,Jacob Abbott,SUNDAE CUP - FWD,1:53.152,FIT
64,614,Mark Riehle,CLUB TR - FWD,1:53.298,COOPER
65,704,Bryan Meyers,CLUB TR - FWD,1:53.358,CIVIC
66,631,Peter Bruschi,STREET - RWD,1:54.647,MUSTANG
67,599,Brett Whisenant,STREET MOD - FWD,1:55.372,FIESTA
68,73,Jeremy Salenius,STREET MOD - RWD,1:56.029,CORVETTE
69,144,Ryan Mukherjee,SUNDAE CUP - FWD,1:56.308,FIT
70,156,Mike Janssen,SUNDAE CUP - FWD,1:57.103,COOPER
71,130,James Smith,SUNDAE CUP - FWD,1:58.668,FIT
72,808,Lucas Schaar,SUNDAE CUP - FWD,1:59.323,YARIS
73,373,Benjamin Smolen,SUNDAE CUP - FWD,1:59.432,JETTA
74,116,Lennon Radcliffe,SUNDAE CUP - FWD,1:59.610,COROLLA
75,91,Chris Rice,SUNDAE CUP - FWD,1:59.611,FIT
76,370,Sam Deuling,SUNDAE CUP - FWD,1:59.738,Fit
77,325,Nate Hoopes,STREET GT - RWD,2:00.143,1 SERIES
78,847,Tony Zsigmond,SUNDAE CUP - FWD,2:02.550,FIT
79,122,Jason Davidson,SUNDAE CUP - FWD,2:02.558,FIT
80,184,Trip Walker,SUNDAE CUP - RWD,2:02.847,FR-S
81,523,Sean Condon,CLUB TR - RWD,2:03.854,3 SERIES
82,700,Paul Jaquish,TRACK MOD - AWD,2:04.027,TALON
83,332,Corrin Tyson,CLUB TR - FWD,2:06.343,CIVIC
84,117,Daniel Glasgow,SUNDAE CUP - FWD,2:07.888,FIT
85,706,Troy Delahoussaye,STREET MOD - RWD,,MX-5 MIATA
86,28,Tony Barber,TRACK MOD - RWD,,FR-S
