TrackBattle Qualifying 1 Results (all groups),,,,,
Pos,No.,Name,Class,Best Time/Heat,Model/Engine
1,727,Mario Mirone,CLUB TR - FWD,1:43.826,CIVIC
2,514,Evan Mclaren,CLUB TR - FWD,1:44.448,INTEGRA
3,18,Kevin Vue,CLUB TR - FWD,1:45.470,INTEGRA
4,326,Stan Fayngold,CLUB TR - RWD,1:45.490,FR-S
5,13,Jerami Bailey,CLUB TR - RWD,1:46.041,FR-S
6,410,Foster Johnson,CLUB TR - RWD,1:46.960,S2000
7,334,Nicolas Fuller,CLUB TR - RWD,1:48.272,325I
8,641,Raul Iriarte,CLUB TR - RWD,1:49.928,3 SERIES
9,126,Jacob Abbott,CLUB TR - RWD,1:50.457,FR-S
10,614,Mark Riehle,CLUB TR - FWD,1:51.844,COOPER
11,704,Bryan Meyers,CLUB TR - FWD,1:54.668,CIVIC
12,373,Benjamin Smolen,CLUB TR - FWD,2:00.165,JETTA
13,523,Sean Condon,CLUB TR - RWD,2:01.463,3 SERIES
14,332,Corrin Tyson,CLUB TR - FWD,2:03.629,CIVIC
15,322,Justin Okamoto,CLUB TR - RWD,2:04.815,318I
16,330,James Houghton,CLUB TR - FWD,2:12.406,CSX
17,50,Azmath Mohammed,CLUB TR - RWD,DNF,MR2
1,63,Luca Barberis,STREET - AWD,1:39.469,LANCER
2,777,Josh Halka,STREET - AWD,1:40.657,IMPREZA
3,104,Ben Lin,STREET - AWD,1:42.506,Evo
4,650,Tim White,STREET - AWD,1:44.382,IMPREZA
5,625,Sam Bosnian,STREET - RWD,1:44.719,350Z
6,39,Gregory Formosa,STREET - AWD,1:45.728,LANCER
7,350,Nishant Patel,STREET - RWD,1:46.338,350Z
8,69,Cody Umbaugh,STREET - FWD,1:47.355,CIVIC
9,470,Eddy Segal,STREET - FWD,1:47.521,CIVIC
10,703,Ryan Wyke,STREET - RWD,1:50.022,M3
11,262,Dominick Golia,STREET - RWD,1:53.205,CROSSFIRE
12,310,Mike Coons,STREET - AWD,DNF,IMPREZA
1,550,Christian Aranha,STREET GT - RWD,1:40.137,CAMARO
2,256,Drew Vosk,STREET GT - RWD,1:40.977,GR SUPRA
3,34,Andy Voelkel,STREET GT - RWD,1:41.019,CORVETTE
4,185,Sam Corke,STREET GT - RWD,1:42.037,2 SERIES
5,121,Ryan Mathews,STREET GT - RWD,1:42.088,CORVETTE
6,909,Mark Kilgore,STREET GT - RWD,1:42.169,M4
7,773,Luie Zendejas,STREET GT - RWD,1:42.915,M2
8,40,Ben Bulthuis,STREET GT - RWD,1:44.684,GR SUPRA
9,340,Lisa Keyes,STREET GT - RWD,1:46.140,Supra
10,75,Jerome Cahuzac,STREET GT - RWD,1:48.408,M2
11,2,Connor Gallagher,STREET GT - AWD,1:57.718,GT-R
12,325,Nate Hoopes,STREET GT - RWD,2:03.271,1 SERIES
1,606,Allen Patten,STREET MOD - RWD,1:35.201,GR SUPRA
2,6,Michael Aumick,STREET MOD - AWD,1:35.938,IMPREZA
3,29,Kyle Mckiou,STREET MOD - RWD,1:36.603,GR SUPRA
4,14,Kal Fortner,STREET MOD - RWD,1:38.489,AMG GT S
5,989,Chris Nelms,STREET MOD - RWD,1:41.389,M2
6,696,Fernando Granados,STREET MOD - RWD,1:44.726,GR SUPRA
7,281,Randy Reeves,STREET MOD - RWD,1:44.858,MX-5 MIATA
8,421,Logan Kenseth,STREET MOD - RWD,1:45.173,CTS
9,145,Devin Hofmann,STREET MOD - AWD,1:45.467,WRX
10,21,Devin Herndon,STREET MOD - FWD,1:45.746,GLA
