TrackBattle Heat 5 Results (all groups),,,,,
Pos,No.,Name,Class,Best Time/Heat,Model/Engine
1,77,Jason Kanakry,TRACK MOD - RWD,1:31.904,M3
2,687,Jackie Ding,TRACK MOD - RWD,1:32.686,M2
3,299,Colton Drescosky,TRACK MOD - RWD,1:32.913,VIPER
4,6,Michael Aumick,STREET MOD - AWD,1:33.226,IMPREZA
5,34,Andy Voelkel,STREET GT - RWD,1:34.999,CORVETTE
6,84,Ido Waksman,STREET GT - RWD,1:35.201,CORVETTE
7,525,Jeremy Lowder,UNLIMITED - RWD,1:35.768,CAMARO
8,14,Kal Fortner,STREET MOD - RWD,1:35.770,AMG GT S
9,51,Jon Roed,STREET MOD - RWD,1:36.262,MX-5 MIATA
10,212,Chris Smith,TRACK MOD - RWD,1:36.611,1 SERIES
11,555,Joe Mielke,STREET - AWD,1:37.490,WRX STI
12,297,Brian Van Orsdol,STREET MOD - RWD,1:37.587,GR SUPRA
13,29,Kyle Mckiou,STREET MOD - RWD,1:37.828,GR SUPRA
14,404,David Bamforth,TRACK MOD - RWD,1:38.139,CAYMAN
15,187,Keenan Prusank,STREET GT - RWD,1:38.467,CAMARO
16,445,Justin Peachey,TRACK MOD - RWD,1:38.474,CORVETTE
17,41,James Houghton,CLUB TR - FWD,1:38.558,TSX
18,98,Steven Stewart,TRACK MOD - AWD,1:39.064,IMPREZA
19,236,Jimmy Vajdak,CLUB TR - RWD,1:39.158,GR86
20,44,Joel Phillips,STREET GT - RWD,1:39.220,911
21,531,Evan Weider,CLUB TR - FWD,1:39.435,CIVIC
22,326,Stan Fayngold,CLUB TR - RWD,1:39.470,86
23,511,Peter Granberg,CLUB TR - RWD,1:39.934,BRZ
24,822,Team VitourP1.com,STREET GT - RWD,1:40.162 DQ,CORVETTE
25,61,Fez Babar,CLUB TR - RWD,1:40.292,GR86
26,171,Andrius Bertulis,UNLIMITED - RWD,1:40.382,RCF
27,826,Tim Fleury,TRACK MOD - RWD,1:40.393,CAMARO
28,781,Lyle Zyra,CLUB TR - RWD,1:40.588,GR86
29,654,Nick Aegerter,STREET - AWD,1:40.683,FOCUS
30,215,Vito Jin,STREET GT - RWD,1:40.807,GR SUPRA
31,470,Eddy Segal,STREET - FWD,1:40.811,CIVIC
32,700,Paul Jaquish,TRACK MOD - AWD,1:40.906,TALON
33,625,Sam Bosnian,STREET - RWD,1:41.182,350Z
34,45,Ross Ligibel,STREET - RWD,1:41.275,M3
35,281,Randy Reeves,STREET MOD - RWD,1:41.347,MX-5 MIATA
36,123,Whiskey Danger Racing,CLUB TR - RWD,1:41.358,S2000
37,410,Foster Johnson,CLUB TR - RWD,1:41.390,S2000
38,961,John Veloso,STREET GT - RWD,1:41.743,GR SUPRA
39,199,Ian Flavin,CLUB TR - RWD,1:41.936,BRZ
40,94,Mike Bryant,CLUB TR - RWD,1:42.038,MX-5
41,58,Grant White,STREET MOD - RWD,1:42.094,MUSTANG
42,443,Andy Holst,STREET - RWD,1:42.271,M3
43,50,Azmath Mohammed,CLUB TR - RWD,1:42.367,MR2
44,609,Michael Hartigan,STREET - FWD,1:42.488,ELANTRA
45,155,Munzir Habibovic,STREET - RWD,1:42.616,350Z
46,82,Jaime Santos,STREET - FWD,1:42.697,FOCUS
47,194,Mike Callaway,STREET - AWD,1:42.724,IMPREZA
48,64,Alex Westergaard,TRACK MOD - RWD,1:42.761,S2000
49,22,Mitchell Hickling,STREET GT - RWD,1:43.184,M4
50,13,Jerami Bailey,CLUB TR - RWD,1:43.317,FR-S
51,423,Jacob Elkins,STREET GT - RWD,1:43.937,CORVETTE
52,25,Christopher Quashnie,STREET - FWD,1:44.376,CIVIC
53,415,Ivan Onofriiciuc,STREET - RWD,1:44.633,370Z
54,775,William Rori,STREET - FWD,1:45.311,ELANTRA
55,204,Emir Halilovic,STREET - RWD,1:45.534,FR-S
56,727,Mario Mirone,CLUB TR - FWD,1:45.779,CIVIC
57,519,Malindima Sampa,CLUB TR - RWD,1:46.089,350Z
58,260,Matthew Morehouse,STREET - AWD,1:46.552,FORESTER
59,241,Dariush Lotfi,CLUB TR - RWD,1:47.129,MX-5 MIATA
60,598,Cory Gordinier,STREET MOD - RWD,1:47.472,MX-5 MIATA
61,327,Aaron Dukes,CLUB TR - FWD,1:48.200,RSX
62,614,Mark Riehle,CLUB TR - FWD,1:48.200,COOPER
63,462,Natalie Corder,TRACK MOD - RWD,1:49.068,MX-5 MIATA
64,360,Gopihath Ramchand,CLUB TR - RWD,1:49.097,S2000
65,718,Richard Moussa,STREET - RWD,1:49.353,718 CAYMAN
66,728,Nathan Traxler,CLUB TR - RWD,1:49.408,BOXSTER
67,169,Dan Mai,CLUB TR - RWD,1:49.427,325I
68,806,Jordan Gunther,STREET - AWD,1:49.467,WRX
69,600,Izak Ambrose,STREET - AWD,1:49.854,IMPREZA
70,737,Cody Platschorre,STREET - RWD,1:51.250,G
71,144,Ryan Mukherjee,SUNDAE CUP - FWD,1:51.849,FIT
72,156,Mike Janssen,SUNDAE CUP - FWD,1:51.870,COOPER
73,134,Best David,SUNDAE CUP - FWD,1:51.949,FIT
74,124,Damian Mccann,STREET - AWD,1:52.044,IMPREZA
75,729,Chris Murray,SUNDAE CUP - RWD,1:52.138,MX-5 MIATA
76,707,Piotr Boczek,SUNDAE CUP - FWD,1:52.271,FIT
77,370,Sam Deuling,SUNDAE CUP - FWD,1:52.320,FIT
78,116,Lennon Radcliffe,SUNDAE CUP - FWD,1:52.781,COROLLA
79,428,Brad Smith,SUNDAE CUP - FWD,1:52.820,FIT
80,130,James Smith,SUNDAE CUP - FWD,1:52.968,FIT
81,99,George Reeves,CLUB TR - RWD,1:54.459,Miata
82,292,Jim Frohwirth,SUNDAE CUP - FWD,1:55.136,FIT
83,248,Nathan Schlawin,SUNDAE CUP - FWD,1:55.341,FIT
84,808,Lucas Schaar,SUNDAE CUP - FWD,1:55.675,YARIS
85,433,Robert Miller,SUNDAE CUP - FWD,1:56.389,RIO
86,216,Nickolas Berg,SUNDAE CUP - FWD,1:56.754,CIVIC
87,762,Alec Lavelle,SUNDAE CUP - FWD,2:00.537,FIT
88,107,Marcin Bobak,SUNDAE CUP - FWD,2:07.223,FIT
89,993,Samuel Miller,SUNDAE CUP - RWD,DNF,MX-5 MIATA
90,126,Jacob Abbott,CLUB TR - RWD,DNF,FR-S
91,22,Team VitourP1.com,UNLIMITED - RWD,DNF,RX-8
