GLTC Qualifying Results,,,,,
Pos,No.,Name,Class,Best Tm,Points
1,7,Luke Mcgrew,GLTC - RWD,1:39.546,3
2,484,Matan Rosenberg,GLTC - RWD,1:39.563,2
3,3,Erik Meadows,GLTC - RWD,1:39.780,1
4,82,Eric Kutil,GLTC - FWD,1:39.832,0
5,41,James Houghton,GLTC - FWD,1:39.931,0
6,90,Matt Waldbaum,GLTC - RWD,1:40.539,0
7,32,Jake Joraanstad,GLTC - RWD,1:40.601,0
8,55,Paul Darling,GLTC - RWD,1:40.622,0
9,184,Eric Jensen,GLTC - RWD,1:40.942,0
10,350,Julio Crispin,GLTC - RWD,1:41.161,0
11,715,Salil Shukla,GLTC - RWD,1:41.231,0
12,83,Carlos Mendez,GLTC - RWD,1:41.283,0
13,109,Dana Basinski,GLTC - RWD,1:41.336,0
14,917,Lena Chin,GLTC - RWD,1:41.374,0
15,28,Peter Zhang,GLTC - RWD,1:41.500,0
16,89,Steve Pruden,GLTC - RWD,1:41.606,0
17,42,Zac Lovoy,GLTC - RWD,1:41.657,0
18,202,Jacob Price,GLTC - RWD,1:41.840,0
19,212,Andy Smedegard,GLTC - RWD,1:41.877,0
20,1,Gary Wimble,GLTC - RWD,1:41.939,0
21,207,Adam Wood,GLTC - AWD,1:41.980,0
22,98,Andrew Rains,GLTC - RWD,1:41.999,0
23,26,Louis Chatroop,GLTC - RWD,1:42.286,0
24,330,Eric Magnussen,GLTC - RWD,1:42.521,0
25,84,Thomas Lathrop,GLTC - RWD,1:42.664,0
26,618,Bob Dice,GLTC - FWD,1:42.681,0
27,95,Robbie Vierhout,GLTC - RWD,1:42.945,0
28,17,Tony Marchev,GLTC - RWD,1:43.070,0
29,86,Jackie Ding,GLTC - FWD,1:43.073,0
30,222,Kyle Hale,GLTC - RWD,1:43.273,0
31,85,Samuel Scott,GLTC - RWD,1:43.461,0
32,24,Dustin Bartee,GLTC - FWD,1:43.494,0
33,52,Mackenzie Korince,GLTC - FWD,1:43.542,0
34,888,Dai Nguyen,GLTC - RWD,1:43.677,0
35,57,Jorge Ortiz,GLTC - RWD,1:43.744,0
36,78,Jason Kanakry,GLTC - RWD,1:43.817,0
37,44,Kerry James,GLTC - RWD,1:43.852,0
38,71,Joel Morrison,GLTC - RWD,1:44.017,0
39,43,Joe Tullo,GLTC - RWD,1:44.065,0
40,5,Kevin Bandy,GLTC - RWD,1:44.446,0
41,11,Jeremy Zeitler,GLTC - FWD,1:44.499,0
42,171,Clayton Fitzpatrick,GLTC - RWD,1:44.516,0
43,2,Aryton Grim,GLTC - RWD,1:45.037,0
44,337,Bryan Leonard,GLTC - RWD,1:45.363,0
45,541,Seth Gale,GLTC - FWD,1:45.767,0
46,714,Tony Barber,GLTC - RWD,1:46.236,0
47,860,Nathan Manning,GLTC - RWD,1:46.750,0
48,328,Ryan Schabel,GLTC - RWD,1:46.983,0
49,546,Andy Sundeen,GLTC - RWD,1:47.332,0
50,311,Jose Santacruz,GLTC - FWD,1:47.343,0
51,521,Sean Macneil,GLTC - FWD,1:49.687,0
52,308,Kyle Malarkey,GLTC - RWD,15:13.774,0
53,51,David Rudzinski,GLTC - RWD,no time,0
