GLTC Race 4 Results,,,,,,,,
Pos,No.,Name,Class,Best Tm,In Lap,Laps,Gap,Points
1,41,James Houghton,GLTC - FWD,2:06.404,4,6,,25
2,98,Andrew Rains,GLTC - RWD,2:09.264,4,6,1.65,21
3,82,Eric Kutil,GLTC - FWD,2:06.919,6,6,0.444,18
4,484,Matan Rosenberg,GLTC - RWD,2:08.319,5,6,0.933,16
5,7,Luke Mcgrew,GLTC - RWD,2:08.845,6,6,0.398,15
6,109,Dana Basinski,GLTC - RWD,2:07.028,6,6,5.664,14
7,90,Matt Waldbaum,GLTC - RWD,2:08.221,5,6,7.629,13
8,32,Jake Joraanstad,GLTC - RWD,2:11.072,6,6,2.496,12
9,3,Erik Meadows,GLTC - RWD,2:12.271,3,6,8.667,11
10,17,Tony Marchev,GLTC - RWD,2:11.858,2,6,2.232,10
11,330,Eric Magnussen,GLTC - RWD,2:13.025,5,6,2.654,9
12,715,Salil Shukla,GLTC - RWD,2:13.984,3,6,1.352,8
13,24,Dustin Bartee,GLTC - FWD,2:12.993,5,6,0.539,7
14,2,Aryton Grim,GLTC - RWD,2:13.786,5,6,0.252,6
15,55,Paul Darling,GLTC - RWD,2:13.642,6,6,5.025,5
16,28,Peter Zhang,GLTC - RWD,2:13.890,6,6,1.441,4
17,212,Andy Smedegard,GLTC - RWD,2:08.725,6,6,1.349,3
18,207,Adam Wood,GLTC - AWD,2:12.108,5,6,13.657,2
19,86,Jackie Ding,GLTC - FWD,2:16.468,3,6,0.367,1
20,43,Joe Tullo,GLTC - RWD,2:14.728,5,6,0.641,0
21,202,Jacob Price,GLTC - RWD,2:13.087,5,6,0.129,0
22,222,Kyle Hale,GLTC - RWD,2:14.421,6,6,2.046,0
23,337,Bryan Leonard,GLTC - RWD,2:16.970,5,6,1.663,0
24,917,Lena Chin,GLTC - RWD,2:14.466,6,6,3.477,0
25,83,Carlos Mendez,GLTC - RWD,2:17.945,3,6,3.024,0
26,85,Samuel Scott,GLTC - RWD,2:16.104,5,6,1.863,0
27,78,Jason Kanakry,GLTC - RWD,2:18.501,5,6,2.477,0
28,77,Hans Horpedahl,GLTC - RWD,2:14.645,3,6,3.63,0
29,328,Ryan Schabel,GLTC - RWD,2:16.771,6,6,2.061,0
30,714,Tony Barber,GLTC - RWD,2:18.711,3,6,1.623,0
31,11,Jeremy Zeitler,GLTC - FWD,2:16.398,3,6,0.816,0
32,89,Steve Pruden,GLTC - RWD,2:16.607,6,6,2.941,0
33,171,Clayton Fitzpatrick,GLTC - RWD,2:20.652,3,6,8.107,0
34,888,Dai Nguyen,GLTC - RWD,2:19.162,6,6,3.777,0
35,311,Jose Santacruz,GLTC - FWD,2:20.454,6,6,7.009,0
36,541,Seth Gale,GLTC - FWD,2:18.719,3,6,1.194,0
37,84,Thomas Lathrop,GLTC - RWD,2:20.888,3,6,16.948,0
38,5,Kevin Bandy,GLTC - RWD,2:21.520,2,4,2 Laps,0
39,57,Jorge Ortiz,GLTC - RWD,2:25.848,1,1,3 Laps,0
40,1,Gary Wimble,GLTC - RWD,DNS,0,,1 Lap,0
41,184,Eric Jensen,GLTC - RWD,DNS,0,,1.328,0
42,42,Zac Lovoy,GLTC - RWD,DNS,0,,0.193,0
43,26,Louis Chatroop,GLTC - RWD,DNS,0,,1.679,0
44,52,Mackenzie Korince,GLTC - FWD,DNS,0,,1.567,0
