TrackBattle Practice 4 Results (all groups),,,,,
Pos,No.,Name,Class,Best Time/Heat,Model/Engine
1,89,Brandon Hodge,TRACK MOD - RWD,1:33.025,GR SUPRA
2,606,Allen Patten,STREET MOD - RWD,1:33.388,GR SUPRA
3,77,Jason Kanakry,TRACK MOD - RWD,1:33.405,720S
4,29,Kyle Mckiou,STREET MOD - RWD,1:33.633,GR SUPRA
5,299,Colton Drescosky,TRACK MOD - RWD,1:33.728,VIPER
6,84,Ido Waksman,STREET GT - RWD,1:34.629,CORVETTE
7,389,Koby Shield,TRACK MOD - RWD,1:34.765,CORVETTE
8,121,Ryan Mathews,STREET MOD - RWD,1:34.811,CORVETTE
9,14,Kal Fortner,STREET MOD - RWD,1:34.859,AMG GT S
10,174,David Calzada,UNLIMITED - RWD,1:35.791,MIATA
11,34,Andy Voelkel,STREET GT - RWD,1:35.983,CORVETTE
12,250,Brownfield Andrew,TRACK MOD - RWD,1:36.718,GR SUPRA
13,54,Zachary Moore,STREET MOD - RWD,1:36.771,CORVETTE
14,104,Ben Lin,STREET - AWD,1:37.143,EVOLUTION
15,777,Joshua Halka,STREET - AWD,1:37.168,IMPREZA
16,364,Nicholas Hendrix,STREET GT - RWD,1:37.259,CORVETTE
17,27,Brad Perkins,TRACK MOD - RWD,1:37.398,M3
18,600,Izak Ambrose,STREET - AWD,1:38.029,IMPREZA
19,822,Team P1.tires,UNLIMITED - RWD,1:38.152,Z06
20,289,Michael Fitzpatrick,TRACK MOD - RWD,1:38.165,CORVETTE
21,139,Wilbur Huang,STREET MOD - RWD,1:38.469,GR SUPRA
22,22,Team VitourP1.com,UNLIMITED - RWD,1:38.488,RX-8
23,404,David Bamforth,TRACK MOD - RWD,1:39.038,CAYMAN
24,193,Brad Moore,STREET - RWD,1:39.212,718 CAYMAN
25,71,Kevin Horn,STREET GT - RWD,1:39.277,CAMARO
26,733,Edvinas Cinga,UNLIMITED - RWD,1:39.415,M3
27,338,Ernestas Puzelis,UNLIMITED - RWD,1:39.554,370Z
28,171,Andrius Bertulis,UNLIMITED - RWD,1:39.648,RCF
29,297,Brian Van Orsdol,STREET MOD - RWD,1:39.737,GR SUPRA
30,595,Dustin Williams,STREET - FWD,1:40.501,CIVIC
31,571,John Laughlin,STREET GT - RWD,1:40.862,RC
32,13,Jerami Bailey,CLUB TR - RWD,1:41.028,FR-S
33,961,John Veloso,STREET GT - RWD,1:41.056,GR SUPRA
34,45,Ross Ligibel,STREET - RWD,1:41.223,M3
35,511,Peter Granberg,CLUB TR - RWD,1:41.260,BRZ
36,194,Mike Callaway,STREET - AWD,1:41.470,IMPREZA
37,470,Eddy Segal,STREET - FWD,1:41.510,CIVIC
38,199,Ian Flavin,CLUB TR - RWD,1:41.545,BRZ
39,625,Sam Bosnian,STREET - RWD,1:41.572,350Z
40,326,Stan Fayngold,CLUB TR - RWD,1:41.573,86
41,155,Munzir Habibovic,STREET - RWD,1:41.734,350Z
42,212,Chris Smith,TRACK MOD - RWD,1:41.746,1 SERIES
43,61,Fez Babar,CLUB TR - RWD,1:41.942,GR86
44,123,Whiskey Danger Racing,CLUB TR - RWD,1:42.095,S2000
45,802,Joel Fallaise,UNLIMITED - RWD,1:42.289,SCR1
46,21,Devin Herndon,STREET MOD - FWD,1:42.337,GLA
47,11,Graham Gaylord,CLUB TR - AWD,1:42.592,COROLLA
48,7,Thomas Halka,STREET - AWD,1:42.707,IMPREZA
49,997,Jason Gaydos,CLUB TR - RWD,1:42.802,BRZ
50,909,Mark Kilgore,STREET GT - RWD,1:42.956,M4
51,50,Azmath Mohammed,CLUB TR - RWD,1:42.992,MR2
52,19,Josh Powers,TRACK MOD - RWD,1:43.159,CORVETTE
53,80,Chris Nahill,CLUB TR - RWD,1:43.268,BRZ
54,64,Alex Westergaard,TRACK MOD - RWD,1:43.537,S2000
55,230,Daniel Persing,CLUB TR - RWD,1:43.637,BRZ
56,238,Garrett Gloceri,CLUB TR - RWD,1:43.691,RX-8
57,145,Devin Hofmann,STREET MOD - AWD,1:43.939,WRX
58,40,Ben Bulthuis,STREET GT - RWD,1:43.979,GR SUPRA
59,44,Joel Phillips,STREET GT - RWD,1:44.016,911
60,151,Nathan Poulson,CLUB TR - RWD,1:44.241,BRZ
61,126,Jacob Abbott,CLUB TR - RWD,1:44.300,BRZ
62,814,Tony Hodermarsky,UNLIMITED - RWD,1:44.779,MUSTANG
63,142,Juan Johnson,CLUB TR - RWD,1:44.893,S2000
64,241,Dariush Lotfi,CLUB TR - RWD,1:45.076,MX-5 MIATA
65,415,Ivan Onofriiciuc,STREET - RWD,1:45.158,370Z
66,36,Daniel Cummings,SUPER UNLIMITED - RWD,1:45.464,360
67,654,Nick Aegerter,STREET - AWD,1:46.074,FOCUS
68,15,Adam Wrobel,CLUB TR - FWD,1:46.129,INTEGRA
69,76,Ethan Brown,STREET MOD - FWD,1:46.236,GOLF GTI
70,191,Jessica Powers,TRACK MOD - RWD,1:46.266,CORVETTE
71,218,Jason Mulderig,CLUB TR - RWD,1:47.415,S2000
72,169,Dan Mai,CLUB TR - RWD,1:47.752,325I
73,67,Jonathan Denk,STREET MOD - FWD,1:48.834,CIVIC
74,728,Nathan Traxler,CLUB TR - RWD,1:49.136,BOXSTER
75,124,Damian Mccann,STREET - AWD,1:49.535,IMPREZA
76,209,Kevin Wendt,STREET - AWD,1:49.828,LEGACY
77,915,Dylan Rodgers,CLUB TR - RWD,1:50.712,MX-5 MIATA
78,555,Joe Mielke,STREET - AWD,1:51.136,WRX STI
79,88,Collin Ryser,SUNDAE CUP - FWD,1:51.901,COOPER
80,528,Richard Sawicki,SUNDAE CUP - RWD,1:52.002,MX-5 MIATA
81,729,Chris Murray,SUNDAE CUP - RWD,1:52.147,MX-5 MIATA
82,411,Chris Rice,SUNDAE CUP - FWD,1:52.189,FIT
83,144,Ryan Mukherjee,SUNDAE CUP - FWD,1:52.489,FIT
84,707,Piotr Boczek,SUNDAE CUP - FWD,1:53.230,FIT
85,370,Sam Deuling,SUNDAE CUP - FWD,1:53.318,FIT
86,134,David Best,SUNDAE CUP - FWD,1:53.444,FIT
87,156,Mike Janssen,SUNDAE CUP - FWD,1:53.654,COOPER
88,181,Joseph King,SUNDAE CUP - FWD,1:54.592,PROTEGE
89,357,Team CSA4,CLUB TR - RWD,1:56.296,GR86
90,373,Benjamin Smolen,CLUB TR - FWD,1:56.540,JETTA
91,122,Jason Davidson,SUNDAE CUP - FWD,1:56.812,FIT
92,818,Jonny Grunwald,TRACK MOD - RWD,1:58.960,RX-7
93,823,Erin Weaver,CLUB TR - RWD,1:59.062,MX-5 MIATA
94,322,Justin Okamoto,CLUB TR - RWD,1:59.250,318I
95,717,Scott Hollingsworth,SUNDAE CUP - FWD,1:59.900,FIT
96,993,Samuel Miller,SUNDAE CUP - RWD,2:00.116,MX-5 MIATA
97,116,Lennon Radcliffe,SUNDAE CUP - FWD,2:00.341,COROLLA
98,216,Nickolas Berg,SUNDAE CUP - FWD,2:09.757,CIVIC
99,251,Justin Lachausse,STREET MOD - FWD,,CAMRY
100,33,Chris Boersma,TRACK MOD - FWD,,CIVIC
