TrackBattle Podium Sprint Results,,,,,
Pos,No.,Name,Class,Best Time/Heat,Model/Engine
1,514,Evan Mclaren,CLUB TR - FWD,1:39.639,INTEGRA
2,511,Peter Granberg,CLUB TR - RWD,1:40.394,BRZ
3,727,Mario Mirone,CLUB TR - FWD,DNS*,CIVIC
4,326,Stan Fayngold,CLUB TR - RWD,DNS*,FRS
5,330,James Houghton,CLUB TR - FWD,DQ,CSX
1,555,Joe Mielke,STREET - AWD,1:56.261,WRX STI
2,63,Luca Barberis,STREET - AWD,1:58.858,LANCER
3,104,Ben Lin,STREET - AWD,1:58.916,EVOLUTION
4,193,Brad Moore,STREET - RWD,2:00.931,718 CAYMAN
5,777,Joshua Halka,STREET - AWD,2:02.505,IMPREZA
1,34,Andy Voelkel,STREET GT - RWD,1:38.174,CORVETTE
2,84,Ido Waksman,STREET GT - RWD,1:38.370,CORVETTE
3,364,Nicholas Hendrix,STREET GT - RWD,1:45.486,CORVETTE
4,187,Keenan Prusank,STREET GT - RWD,1:56.468,CAMARO
5,71,Kevin Horn,STREET GT - RWD,1:59.237,CAMARO
1,606,Allen Patten,STREET MOD - RWD,1:33.076,GR SUPRA
2,14,Kal Fortner,STREET MOD - RWD,1:36.879,AMG GT S
3,297,Brian Van Orsdol,STREET MOD - RWD,1:37.346,GR SUPRA
4,29,Kyle Mckiou,STREET MOD - RWD,1:37.754,GR SUPRA
5,6,Michael Aumick,STREET MOD - AWD,1:40.519,IMPREZA
1,411,Chris Rice,SUNDAE CUP - FWD,1:51.705,FIT
2,144,Ryan Mukherjee,SUNDAE CUP - FWD,1:51.881,FIT
3,528,Richard Sawicki,SUNDAE CUP - RWD,1:51.924,MX-5 MIATA
4,130,James Smith,SUNDAE CUP - FWD,1:52.587,FIT
5,88,Collin Ryser,SUNDAE CUP - FWD,1:53.282,COOPER
1,687,Jackie Ding,TRACK MOD - RWD,1:32.663,M2
2,77,Jason Kanakry,TRACK MOD - RWD,1:32.981,720S
3,299,Colton Drescosky,TRACK MOD - RWD,1:33.309,VIPER
4,89,Brandon Hodge,TRACK MOD - RWD,1:34.301,GR SUPRA
5,314,Michael Puglisi,TRACK MOD - AWD,1:36.271,LANCER
1,171,Andrius Bertulis,UNLIMITED - RWD,1:41.332,RCF
2,266,Shawn Bassett,UNLIMITED - RWD,1:55.205,CIVIC
3,22,Team VitourP1.com,UNLIMITED - RWD,2:13.155,RX-8
4,57,Mike Dusold,UNLIMITED - RWD,DNS*,CAMARO
5,174,David Calzada,UNLIMITED - RWD,DNS*,MIATA
,,,,*finish order based on fastest time in Qualifying,
