"TrackBattle Qualifying 1 Results (all groups, by class)",,,,,
Pos,No.,Name,Class,Best Time/Heat,Model/Engine
1,57,Mike Dusold,UNLIMITED - RWD,1:31.662,CAMARO
2,77,Jason Kanakry,TRACK MOD - RWD,1:32.986,720S
3,89,Brandon Hodge,TRACK MOD - RWD,1:33.002,GR SUPRA
4,687,Jackie Ding,TRACK MOD - RWD,1:33.309,M2
5,606,Allen Patten,STREET MOD - RWD,1:33.725,GR SUPRA
6,22,Team VitourP1.com,UNLIMITED - RWD,1:33.729,RX-8
7,34,Andy Voelkel,STREET GT - RWD,1:33.881,CORVETTE
8,29,Kyle Mckiou,STREET MOD - RWD,1:34.001,GR SUPRA
9,299,Colton Drescosky,TRACK MOD - RWD,1:34.057,VIPER
10,6,Michael Aumick,STREET MOD - AWD,1:34.115,IMPREZA
11,14,Kal Fortner,STREET MOD - RWD,1:34.332,AMG GT S
12,389,Koby Shield,TRACK MOD - RWD,1:34.444,CORVETTE
13,250,Brownfield Andrew,TRACK MOD - RWD,1:34.746,GR SUPRA
14,27,Brad Perkins,TRACK MOD - RWD,1:35.034,M3
15,174,David Calzada,UNLIMITED - RWD,1:35.535,MIATA
16,84,Ido Waksman,STREET GT - RWD,1:35.667,CORVETTE
17,63,Luca Barberis,STREET - AWD,1:36.194,LANCER
18,297,Brian Van Orsdol,STREET MOD - RWD,1:36.508,GR SUPRA
19,212,Chris Smith,TRACK MOD - RWD,1:36.558,1 SERIES
20,777,Joshua Halka,STREET - AWD,1:36.850,IMPREZA
21,171,Andrius Bertulis,UNLIMITED - RWD,1:37.021,RCF
22,364,Nicholas Hendrix,STREET GT - RWD,1:37.131,CORVETTE
23,555,Joe Mielke,STREET - AWD,1:37.207,WRX STI
24,33,Chris Boersma,TRACK MOD - FWD,1:37.346,CIVIC
25,98,Steven Stewart,TRACK MOD - AWD,1:37.400,IMPREZA
26,54,Zachary Moore,STREET MOD - RWD,1:37.406,CORVETTE
27,289,Michael Fitzpatrick,UNLIMITED - RWD,1:37.601,CORVETTE
28,104,Ben Lin,STREET - AWD,1:38.034,EVOLUTION
29,338,Ernestas Puzelis,UNLIMITED - RWD,1:38.044,370Z
30,187,Keenan Prusank,STREET GT - RWD,1:38.098,CAMARO
31,266,Shawn Bassett,UNLIMITED - RWD,1:38.581,CIVIC
32,139,Wilbur Huang,STREET MOD - RWD,1:38.681,GR SUPRA
33,41,James Houghton,CLUB TR - FWD,1:38.784,TSX
34,822,Team P1.tires,UNLIMITED - RWD,1:39.198,Z06
35,193,Brad Moore,STREET - RWD,1:39.272,718 CAYMAN
36,514,Evan Mclaren,CLUB TR - FWD,1:39.363,INTEGRA
37,71,Kevin Horn,STREET GT - RWD,1:39.771,CAMARO
38,595,Dustin Williams,STREET - FWD,1:39.841,CIVIC
39,733,Edvinas Cinga,UNLIMITED - RWD,1:39.853,M3
40,727,Mario Mirone,CLUB TR - FWD,1:39.967,CIVIC
41,600,Izak Ambrose,STREET - AWD,1:39.990,IMPREZA
42,326,Stan Fayngold,CLUB TR - RWD,1:40.063,86
43,199,Ian Flavin,CLUB TR - RWD,1:40.272,BRZ
44,123,Whiskey Danger Racing,CLUB TR - RWD,1:40.518,S2000
45,961,John Veloso,STREET GT - RWD,1:40.547,GR SUPRA
46,511,Peter Granberg,CLUB TR - RWD,1:40.612,BRZ
47,13,Jerami Bailey,CLUB TR - RWD,1:40.625,FR-S
48,625,Sam Bosnian,STREET - RWD,1:40.635,350Z
49,194,Mike Callaway,STREET - AWD,1:41.148,IMPREZA
50,404,David Bamforth,TRACK MOD - RWD,1:41.382,CAYMAN
51,470,Eddy Segal,STREET - FWD,1:41.756,CIVIC
52,19,Josh Powers,TRACK MOD - RWD,1:41.785,CORVETTE
53,571,John Laughlin,STREET GT - RWD,1:41.923,RC
54,50,Azmath Mohammed,CLUB TR - RWD,1:41.990,MR2
55,45,Ross Ligibel,STREET - RWD,1:42.000,M3
56,11,Graham Gaylord,CLUB TR - AWD,1:42.007,COROLLA
57,80,Chris Nahill,CLUB TR - RWD,1:42.213,BRZ
58,44,Joel Phillips,STREET GT - RWD,1:42.261,911
59,151,Nathan Poulson,CLUB TR - RWD,1:42.761,BRZ
60,155,Munzir Habibovic,STREET - RWD,1:42.885,350Z
61,69,Cody Umbaugh,STREET - FWD,1:43.214,CIVIC
62,40,Ben Bulthuis,STREET GT - RWD,1:43.344,GR SUPRA
63,126,Jacob Abbott,CLUB TR - RWD,1:43.367,BRZ
64,21,Devin Herndon,STREET MOD - FWD,1:43.670,GLA
65,145,Devin Hofmann,STREET MOD - AWD,1:43.676,WRX
66,230,Daniel Persing,CLUB TR - RWD,1:43.720,BRZ
67,997,Jason Gaydos,CLUB TR - RWD,1:43.793,BRZ
68,64,Alex Westergaard,TRACK MOD - RWD,1:44.033,S2000
69,814,Tony Hodermarsky,UNLIMITED - RWD,1:44.126,MUSTANG
70,7,Thomas Halka,STREET - AWD,1:44.249,IMPREZA
71,142,Juan Johnson,CLUB TR - RWD,1:44.758,S2000
72,241,Dariush Lotfi,CLUB TR - RWD,1:45.191,MX-5 MIATA
73,740,Alexis Fregoso,CLUB TR - FWD,1:45.219,RSX
74,26,Arthur Dvortsen,CLUB TR - RWD,1:45.482,MX-5 MIATA
75,202,Rebekah Cohen,STREET MOD - FWD,1:45.673,CIVIC TYPE R
76,191,Jessica Powers,TRACK MOD - RWD,1:45.899,CORVETTE
77,15,Adam Wrobel,CLUB TR - FWD,1:45.989,INTEGRA
78,36,Daniel Cummings,SUPER UNLIMITED - RWD,1:46.241,360
79,218,Jason Mulderig,CLUB TR - RWD,1:46.714,S2000
80,169,Dan Mai,CLUB TR - RWD,1:47.599,325I
81,909,Mark Kilgore,STREET GT - RWD,1:47.718,M4
82,76,Ethan Brown,STREET MOD - FWD,1:48.294,GOLF GTI
83,209,Kevin Wendt,STREET - AWD,1:48.545,LEGACY
84,67,Jonathan Denk,STREET MOD - FWD,1:48.976,CIVIC
85,728,Nathan Traxler,CLUB TR - RWD,1:49.535,BOXSTER
86,598,Cory Gordinier,STREET MOD - RWD,1:50.498,MX-5 MIATA
