TrackBattle Qualifying 2 Results (all groups),,,,,
Pos,No.,Name,Class,Best Time/Heat,Model/Engine
1,727,Mario Mirone,CLUB TR - FWD,1:38.705,CIVIC
2,514,Evan Mclaren,CLUB TR - FWD,1:39.259,INTEGRA
3,511,Peter Granberg,CLUB TR - RWD,1:39.313,BRZ
4,326,Stan Fayngold,CLUB TR - RWD,1:39.951,86
5,13,Jerami Bailey,CLUB TR - RWD,1:40.151,FR-S
6,199,Ian Flavin,CLUB TR - RWD,1:40.675,BRZ
7,41,James Houghton,CLUB TR - FWD,1:41.209,TSX
8,61,Fez Babar,CLUB TR - RWD,1:42.131,GR86
9,80,Chris Nahill,CLUB TR - RWD,1:42.703,BRZ
10,230,Daniel Persing,CLUB TR - RWD,1:42.787,BRZ
11,151,Nathan Poulson,CLUB TR - RWD,1:42.901,BRZ
12,997,Jason Gaydos,CLUB TR - RWD,1:42.946,BRZ
13,241,Dariush Lotfi,CLUB TR - RWD,1:44.079,MX-5 MIATA
14,740,Alexis Fregoso,CLUB TR - FWD,1:44.494,RSX
15,126,Jacob Abbott,CLUB TR - RWD,1:44.607,BRZ
16,26,Arthur Dvortsen,CLUB TR - RWD,1:44.777,MX-5 MIATA
17,142,Juan Johnson,CLUB TR - RWD,1:45.098,S2000
18,15,Adam Wrobel,CLUB TR - FWD,1:46.135,INTEGRA
19,218,Jason Mulderig,CLUB TR - RWD,1:46.598,S2000
20,169,Dan Mai,CLUB TR - RWD,1:47.134,325I
21,728,Nathan Traxler,CLUB TR - RWD,1:48.154,BOXSTER
22,915,Dylan Rodgers,CLUB TR - RWD,1:51.367,MX-5 MIATA
23,373,Benjamin Smolen,CLUB TR - FWD,1:56.089,JETTA
24,823,Erin Weaver,CLUB TR - RWD,1:57.061,MX-5 MIATA
25,322,Justin Okamoto,CLUB TR - RWD,1:57.847,318I
26,123,Whiskey Danger Racing,CLUB TR - RWD,,S2000
1,555,Joe Mielke,STREET - AWD,1:35.962,WRX STI
2,777,Joshua Halka,STREET - AWD,1:36.436,IMPREZA
3,104,Ben Lin,STREET - AWD,1:37.355,EVOLUTION
4,595,Dustin Williams,STREET - FWD,1:39.337,CIVIC
5,193,Brad Moore,STREET - RWD,1:39.908,718 CAYMAN
6,470,Eddy Segal,STREET - FWD,1:40.508,CIVIC
7,194,Mike Callaway,STREET - AWD,1:40.511,IMPREZA
8,625,Sam Bosnian,STREET - RWD,1:40.537,350Z
9,600,Izak Ambrose,STREET - AWD,1:40.744,IMPREZA
10,45,Ross Ligibel,STREET - RWD,1:41.143,M3
11,69,Cody Umbaugh,STREET - FWD,1:41.219,CIVIC
12,155,Munzir Habibovic,STREET - RWD,1:41.820,350Z
13,654,Nick Aegerter,STREET - AWD,1:42.123,FOCUS
14,7,Thomas Halka,STREET - AWD,1:42.257,IMPREZA
15,415,Ivan Onofriiciuc,STREET - RWD,1:45.316,370Z
16,209,Kevin Wendt,STREET - AWD,1:47.630,LEGACY
17,63,Luca Barberis,STREET - AWD,5:18.615,LANCER
18,806,Jordan Gunther,STREET - AWD,,WRX
1,34,Andy Voelkel,STREET GT - RWD,1:34.269,CORVETTE
2,84,Ido Waksman,STREET GT - RWD,1:35.051,CORVETTE
3,364,Nicholas Hendrix,STREET GT - RWD,1:36.923,CORVETTE
4,187,Keenan Prusank,STREET GT - RWD,1:37.652,CAMARO
5,71,Kevin Horn,STREET GT - RWD,1:38.960,CAMARO
6,909,Mark Kilgore,STREET GT - RWD,1:39.363,M4
7,961,John Veloso,STREET GT - RWD,1:40.400,GR SUPRA
8,40,Ben Bulthuis,STREET GT - RWD,1:41.162,GR SUPRA
9,571,John Laughlin,STREET GT - RWD,1:41.522,RC
10,44,Joel Phillips,STREET GT - RWD,1:42.256,911
1,606,Allen Patten,STREET MOD - RWD,1:31.254,GR SUPRA
2,14,Kal Fortner,STREET MOD - RWD,1:33.545,AMG GT S
3,29,Kyle Mckiou,STREET MOD - RWD,1:34.038,GR SUPRA
4,297,Brian Van Orsdol,STREET MOD - RWD,1:35.631,GR SUPRA
5,54,Zachary Moore,STREET MOD - RWD,1:36.122,CORVETTE
6,139,Wilbur Huang,STREET MOD - RWD,1:38.180,GR SUPRA
7,145,Devin Hofmann,STREET MOD - AWD,1:42.057,WRX
8,76,Ethan Brown,STREET MOD - FWD,1:45.934,GOLF GTI
9,67,Jonathan Denk,STREET MOD - FWD,1:47.094,CIVIC
10,202,Rebekah Cohen,STREET MOD - FWD,1:47.594,CIVIC TYPE R
11,598,Cory Gordinier,STREET MOD - RWD,1:47.948,MX-5 MIATA
1,130,James Smith,SUNDAE CUP - FWD,1:51.450,FIT
2,528,Richard Sawicki,SUNDAE CUP - RWD,1:51.675,MX-5 MIATA
3,411,Chris Rice,SUNDAE CUP - FWD,1:51.787,FIT
4,144,Ryan Mukherjee,SUNDAE CUP - FWD,1:51.928,FIT
5,156,Mike Janssen,SUNDAE CUP - FWD,1:51.995,COOPER
6,707,Piotr Boczek,SUNDAE CUP - FWD,1:52.230,FIT
7,181,Joseph King,SUNDAE CUP - FWD,1:52.345,PROTEGE
8,134,David Best,SUNDAE CUP - FWD,1:52.572,FIT
9,88,Collin Ryser,SUNDAE CUP - FWD,1:52.574,COOPER
10,729,Chris Murray,SUNDAE CUP - RWD,1:52.988,MX-5 MIATA
11,370,Sam Deuling,SUNDAE CUP - FWD,1:53.081,FIT
12,116,Lennon Radcliffe,SUNDAE CUP - FWD,1:55.071,COROLLA
13,122,Jason Davidson,SUNDAE CUP - FWD,1:55.171,FIT
14,357,Team CSA4,SUNDAE CUP - FWD,1:55.950,FIT
15,216,Nickolas Berg,SUNDAE CUP - FWD,1:56.940,CIVIC
16,717,Scott Hollingsworth,SUNDAE CUP - FWD,1:59.249,FIT
1,36,Daniel Cummings,SUPER UNLIMITED - RWD,1:44.517,360
1,687,Jackie Ding,TRACK MOD - RWD,1:31.436,M2
2,77,Jason Kanakry,TRACK MOD - RWD,1:32.539,720S
3,314,Michael Puglisi,TRACK MOD - AWD,1:32.834,LANCER
4,299,Colton Drescosky,TRACK MOD - RWD,1:32.926,VIPER
5,89,Brandon Hodge,TRACK MOD - RWD,1:33.158,GR SUPRA
6,389,Koby Shield,TRACK MOD - RWD,1:34.463,CORVETTE
7,27,Brad Perkins,TRACK MOD - RWD,1:35.110,M3
8,250,Brownfield Andrew,TRACK MOD - RWD,1:35.543,GR SUPRA
9,212,Chris Smith,TRACK MOD - RWD,1:36.142,1 SERIES
10,33,Chris Boersma,TRACK MOD - FWD,1:37.604,CIVIC
11,404,David Bamforth,TRACK MOD - RWD,1:37.699,CAYMAN
12,98,Steven Stewart,TRACK MOD - AWD,1:38.056,IMPREZA
13,19,Josh Powers,TRACK MOD - RWD,1:41.659,CORVETTE
14,64,Alex Westergaard,TRACK MOD - RWD,1:45.747,S2000
15,191,Jessica Powers,TRACK MOD - RWD,1:48.942,CORVETTE
1,57,Mike Dusold,UNLIMITED - RWD,1:32.770,CAMARO
2,266,Shawn Bassett,UNLIMITED - RWD,1:35.377,CIVIC
3,22,Team VitourP1.com,UNLIMITED - RWD,1:37.385,RX-8
4,289,Michael Fitzpatrick,UNLIMITED - RWD,1:38.109,CORVETTE
5,822,Team P1.tires,UNLIMITED - RWD,1:38.640,Z06
6,171,Andrius Bertulis,UNLIMITED - RWD,1:40.180,RCF
7,338,Ernestas Puzelis,UNLIMITED - RWD,1:40.509,CAYMAN
8,733,Edvinas Cinga,UNLIMITED - RWD,1:43.378,M3
9,802,Joel Fallaise,UNLIMITED - RWD,1:43.760,SCR1
