GLTC Qualifying Results,,,,,
Pos,No.,Name,Class,Best Tm,Points
1,82,Eric Kutil,GLTC - FWD,58.863,3
2,41,James Houghton,GLTC - FWD,58.91,2
3,17,Tony Marchev,GLTC - RWD,59.028,1
4,55,Paul Darling,GLTC - RWD,59.104,0
5,243,Kevin Zhu,GLTC - FWD,59.143,0
6,484,Matan Rosenberg,GLTC - RWD,59.201,0
7,374,Emile Tabb,GLTC - RWD,59.207,0
8,49,Nicholas Barbato,GLTC - RWD,59.251,0
9,90,Matt Waldbaum,GLTC - RWD,59.275,0
10,917,Lena Chin,GLTC - RWD,59.276,0
11,184,Eric Jensen,GLTC - RWD,59.356,0
12,99,Ronnie Vajdak,GLTC - FWD,59.365,0
13,85,Samuel Scott,GLTC - RWD,59.395,0
14,72,Scott Heckert,GLTC - RWD,59.478,0
15,202,Jake Price,GLTC - RWD,59.492,0
16,330,Eric Magnussen,GLTC - RWD,59.597,0
17,204,Lealand Wamboldt,GLTC - FWD,59.634,0
18,3,Erik Meadows,GLTC - RWD,59.729,0
19,28,Peter Zhang,GLTC - RWD,59.757,0
20,45,Colton Wade,GLTC - RWD,59.77,0
21,83,Carlos Mendez,GLTC - RWD,59.77,0
22,77,Hans Horpedahl,GLTC - RWD,59.875,0
23,241,Tyler Pappas,GLTC - RWD,1:00.073,0
24,52,Mackenzie Korince,GLTC - FWD,1:00.139,0
25,715,Salil Shukla,GLTC - RWD,1:00.164,0
26,213,Scott Robertson,GLTC - RWD,1:00.223,0
27,212,Andy Smedegard,GLTC - RWD,1:00.432,0
28,155,Michael Pagano,GLTC - RWD,1:00.487,0
29,5,Kevin Bandy,GLTC - RWD,1:00.539,0
30,162,Eddie Nakato,GLTC - RWD,1:00.645,0
31,337,Bryan Leonard,GLTC - RWD,1:00.658,0
32,105,Brandon Ganem,GLTC - RWD,1:00.807,0
33,65,Eric Thompson,GLTC - AWD,1:00.817,0
34,159,Joshua Rubenstein,GLTC - RWD,1:00.829,0
35,8,Jeff Wasilko,GLTC - RWD,1:00.880,0
36,166,Ben Thorn,GLTC - FWD,1:00.990,0
37,86,Jackie Ding,GLTC - FWD,1:01.006,0
38,886,Jason Nguyen,GLTC - RWD,1:01.156,0
39,404,Donald Lui,GLTC - RWD,1:01.410,0
40,515,Thomas Moss,GLTC - RWD,1:01.774,0
41,26,Louis Chatroop,GLTC - RWD,1:02.149,0
42,714,Tony Barber,GLTC - RWD,1:02.286,0
43,84,Thomas Lathrop,GLTC - RWD,1:02.408,0
44,51,David Rudzinski,GLTC - FWD,1:02.696,0
45,205,Matias Arias,GLTC - FWD,1:02.740,0
46,992,Azim Aliriza,GLTC - RWD,1:02.778,0
47,39,Christopher Schooler,GLTC - RWD,1:02.865,0
48,25,Nicolas Fuller,GLTC - RWD,1:02.938,0
49,179,Patrick Huxley,GLTC - FWD,1:03.266,0
50,161,Larry Luck,GLTC - RWD,1:03.418,0
51,311,Jose Santacruz,GLTC - FWD,1:03.827,0
52,888,Dai Nguyen,GLTC - RWD,1:08.523,0
53,120,Cyndie Picotte,GLTC - FWD,1:11.769,0
DQ,42,Zac Lovoy,GLTC - RWD,1:00.811,0
