GLTC/A Race 2 Results,,,,,,,,
Pos,No.,Name,Class,Best Tm,In Lap,Laps,Gap,Points
1,484,Matan Rosenberg,GLTC - RWD,58.791,3,15,,25
2,41,James Houghton,GLTC - FWD,58.717,10,15,0.684,21
3,17,Tony Marchev,GLTC - RWD,58.956,5,15,2.75,18
4,99,Ronnie Vajdak,GLTC - FWD,59.398,12,15,6.175,16
5,55,Paul Darling,GLTC - RWD,59.002,5,15,0.165,15
6,49,Nicholas Barbato,GLTC - RWD,59.039,6,15,1.656,14
7,374,Emile Tabb,GLTC - RWD,59.1,7,15,2.026,13
8,202,Jake Price,GLTC - RWD,59.054,6,15,1.237,12
9,90,Matt Waldbaum,GLTC - RWD,58.817,6,15,5.754,11
10,3,Erik Meadows,GLTC - RWD,59.718,5,15,3.912,10
11,72,Scott Heckert,GLTC - RWD,59.436,5,15,0.416,9
12,715,Salil Shukla,GLTC - RWD,59.721,12,15,0.9,8
13,28,Peter Zhang,GLTC - RWD,59.405,13,15,1.966,7
14,52,Mackenzie Korince,GLTC - FWD,59.692,14,15,0.113,6
15,159,Joshua Rubenstein,GLTC - RWD,1:00.463,13,15,9.51,6
16,86,Jackie Ding,GLTC - FWD,1:00.765,8,15,6.645,4
17,404,Donald Lui,GLTC - RWD,1:00.834,13,15,1.035,3
18,917,Lena Chin,GLTC - RWD,58.722,9,15,1.213,2
19,886,Jason Nguyen,GLTC - RWD,1:00.420,11,15,0.196,1
20,5,Kevin Bandy,GLTC - RWD,1:00.675,10,15,0.059,0
21,184,Eric Jensen,GLTC - RWD,59.92,5,15,15.368,0
22,77,Hans Horpedahl,GLTC - RWD,59.664,8,12,3 Laps,0
23,204,Lealand Wamboldt,GLTC - FWD,59.657,4,4,8 Laps,0
24,82,Eric Kutil,GLTC - FWD,1:06.364,1,1,3 Laps,0
DQ,241,Tyler Pappas,GLTC - RWD,59.548,4,15,,0
DQ,83,Carlos Mendez,GLTC - RWD,59.4,13,15,,0
DQ,330,Eric Magnussen,GLTC - RWD,59.268,5,15,,0
