GLTC/B Race 3 Results,,,,,,,,
Pos,No.,Name,Class,Best Tm,In Lap,Laps,Gap,Points
1,41,James Houghton,GLTC - FWD,59.017,6,12,,25
2,484,Matan Rosenberg,GLTC - RWD,58.902,6,12,0.679,21
3,99,Ronnie Vajdak,GLTC - FWD,59.247,6,12,0.43,18
4,17,Tony Marchev,GLTC - RWD,59.282,8,12,0.209,16
5,55,Paul Darling,GLTC - RWD,59.196,5,12,0.257,15
6,202,Jake Price,GLTC - RWD,59.149,6,12,1.283,14
7,49,Nicholas Barbato,GLTC - RWD,59.174,10,12,0.624,13
8,72,Scott Heckert,GLTC - RWD,59.509,8,12,2.41,12
9,374,Emile Tabb,GLTC - RWD,59.213,12,12,0.796,11
10,90,Matt Waldbaum,GLTC - RWD,59.36,8,12,1.128,10
11,715,Salil Shukla,GLTC - RWD,59.775,3,12,3.427,9
12,3,Erik Meadows,GLTC - RWD,59.672,4,12,0.088,8
13,77,Hans Horpedahl,GLTC - RWD,59.51,5,12,0.458,7
14,28,Peter Zhang,GLTC - RWD,59.62,6,12,0.47,6
15,85,Samuel Scott,GLTC - RWD,58.652,4,12,0.091,5
16,52,Mackenzie Korince,GLTC - FWD,59.897,4,12,1.376,4
17,241,Tyler Pappas,GLTC - RWD,59.629,8,12,0.458,3
18,212,Andy Smedegard,GLTC - RWD,59.352,5,12,1.227,2
19,330,Eric Magnussen,GLTC - RWD,59.479,6,12,2.186,0
20,83,Carlos Mendez,GLTC - RWD,59.527,8,12,3.535,0
21,86,Jackie Ding,GLTC - FWD,1:00.603,4,12,1.62,0
22,155,Michael Pagano,GLTC - RWD,59.893,5,12,0.286,0
23,213,Scott Robertson,GLTC - RWD,59.863,12,12,1.741,0
24,159,Joshua Rubenstein,GLTC - RWD,1:00.440,10,12,3.452,0
25,404,Donald Lui,GLTC - RWD,1:00.916,9,12,4.288,0
26,204,Lealand Wamboldt,GLTC - FWD,1:01.231,5,5,7 Laps,0
27,82,Eric Kutil,GLTC - FWD,,0,,5 Laps,0
