GLTC/B Race 3 Results,,,,,,,,
Pos,No.,Name,Class,Best Tm,In Lap,Laps,Gap,Points
1,243,Kevin Zhu,GLTC - FWD,58.994,5,13,2.931,3
2,37,Bryan Leonard,GLTC - RWD,59.271,8,13,8.148,2
3,184,Eric Jensen,GLTC - RWD,59.334,9,13,0.224,1
4,42,Zac Lovoy,GLTC - RWD,1:00.347,5,13,11.881,0
5,5,Kevin Bandy,GLTC - RWD,1:00.647,4,13,0.139,0
6,886,Jason Nguyen,GLTC - RWD,1:00.227,7,13,0.439,0
7,515,Thomas Moss,GLTC - RWD,1:01.250,10,13,7.977,0
8,162,Eddie Nakato,GLTC - RWD,1:00.985,3,13,0.025,0
9,714,Tony Barber,GLTC - RWD,1:01.574,9,13,7.379,0
10,11,Jeremy Zeitler,GLTC - FWD,1:01.389,12,13,0.149,0
11,992,Azim Aliriza,GLTC - RWD,1:01.955,13,13,2.418,0
12,205,Matias Arias,GLTC - FWD,1:01.431,13,13,2.715,0
13,26,Louis Chatroop,GLTC - RWD,1:01.337,6,13,1.52,0
14,51,David Rudzinski,GLTC - FWD,1:02.275,10,13,0.755,0
15,84,Thomas Lathrop,GLTC - RWD,1:01.907,10,13,0.472,0
16,161,Larry Luck,GLTC - RWD,1:02.471,7,13,13.325,0
17,311,Jose Santacruz,GLTC - FWD,1:02.407,8,13,0.147,0
18,25,Nicolas Fuller,GLTC - RWD,1:02.294,7,13,0.188,0
19,8,Jeff Wasilko,GLTC - RWD,1:02.281,7,13,0.465,0
20,179,Patrick Huxley,GLTC - FWD,1:02.795,8,13,1.309,0
21,120,Cyndie Picotte,GLTC - FWD,1:09.633,11,11,2 Laps,0
22,39,Christopher Schooler,GLTC - RWD,1:01.875,5,6,5 Laps,0
23,917,Lena Chin,GLTC - RWD,59.059,12,13,,3
