TrackBattle Heat 2 Results (all groups),,,,,
Pos,No.,Name,Class,Best Time/Heat,Model/Engine
1,714,Sasha Anis,UNLIMITED - RWD,50.852,350Z
2,500,Steven Luca,UNLIMITED - RWD,53.299,MUSTANG
3,27,Brad Perkins,TRACK MOD - RWD,55.324,M3
4,606,Allen Patten,STREET MOD - RWD,55.436,GR SUPRA
5,29x,Kyle Mckiou,TRACK MOD - RWD,55.438,GR SUPRA
6,490,Peter Liu,STREET MOD - RWD,56.634,GR SUPRA
7,82,Jaime Santos,STREET MOD - RWD,56.696,135I
8,33,Chris Boersma,TRACK MOD - FWD,56.87,CIVIC
9,212,Chris Smith,TRACK MOD - RWD,56.975,1 SERIES
10,307,Andy Hsiao,TRACK MOD - RWD,57.357,CORVETTE
11,14,Kal Fortner,STREET MOD - RWD,57.455,AMG GT S
12,34,Andy Voelkel,STREET GT - RWD,57.717,CORVETTE
13,84,Ido Waksman,STREET GT - RWD,57.781,CORVETTE
14,63,Luca Barberis,STREET - AWD,57.933,LANCER
15,404,David Bamforth,TRACK MOD - RWD,58.069,CAYMAN
16,4,Kevin Parlett,UNLIMITED - RWD,58.09,G35
17,150,Alex Moss,STREET MOD - RWD,58.144,S2000
18,511,Peter Granberg,CLUB TR - RWD,58.414,BRZ
19,632,Chris Ferraro,UNLIMITED - RWD,58.465,M3
20,187,Keenan Prusank,STREET GT - RWD,58.496,CAMARO
21,71,Kevin Horn,STREET GT - RWD,58.545,CAMARO
22,471,Sylvain Toupin,UNLIMITED - RWD,58.67,300ZX
23,550,Christian Aranha,STREET GT - RWD,58.89,CAMARO
24,727,Mario Mirone,CLUB TR - FWD,58.993,CIVIC
25,525,Jeremy Lowder,UNLIMITED - RWD,59.102,CAMARO
26,114,Bronson Mcnemar,TRACK MOD - RWD,59.115,MX-5 MIATA
27,555,Joe Mielke,STREET - AWD,59.242,WRX STI
28,256,Drew Vosk,STREET GT - RWD,59.349,GR SUPRA
29,700,Paul Jaquish,TRACK MOD - AWD,59.402,TALON
30,2,Connor Gallagher,STREET GT - AWD,59.491,GT-R
31,50,Azmath Mohammed,CLUB TR - RWD,59.687,MR2
32,925,Evan Motl,CLUB TR - RWD,59.863,S2000
33,80,Chris Nahill,CLUB TR - RWD,59.99,BRZ
34,633,Nathan Geyer,UNLIMITED - RWD,1:00.216,M3
35,427,Daley Pagano,STREET GT - RWD,1:00.277,M4
36,991,Michael Budai,CLUB TR - FWD,1:00.369,CIVIC
37,230,Daniel Persing,CLUB TR - RWD,1:00.370,BRZ
38,470,Eddy Segal,STREET - FWD,1:00.431,CIVIC
39,269,Shawn Bassett,UNLIMITED - RWD,1:00.458,240Z
40,281,Randy Reeves,STREET MOD - RWD,1:00.489,MX-5 MIATA
41,220,Jesse Echanique,TRACK MOD - AWD,1:00.510,ECLIPSE
42,53,Benson Tai,STREET - RWD,1:00.536,S2000
43,800,Joel Fallaise,UNLIMITED - RWD,1:00.585,SCR1
44,176,Cody Hunt,STREET MOD - RWD,1:00.831,CORVETTE
45,994,Nathan Brown,STREET - FWD,1:01.218,GTI
46,241,Dariush Lotfi,CLUB TR - RWD,1:01.244,MX-5 MIATA
47,194,Mike Callaway,STREET - AWD,1:01.336,IMPREZA
48,69,Cody Umbaugh,STREET - FWD,1:01.432,CIVIC
49,174,Nick Green,CLUB TR - FWD,1:01.481,FIT
50,218,Jason Mulderig,CLUB TR - RWD,1:01.488,S2000
51,825,Team JZ Motorsports,STREET - FWD,1:01.494,CIVIC
52,198,Bruce Yhun,CLUB TR - FWD,1:01.550,CIVIC
53,575,Clay Davidson,STREET MOD - RWD,1:01.566,MUSTANG
54,565,Mark Brylo,STREET - AWD,1:01.731,LANCER
55,997,Jason Gaydos,CLUB TR - RWD,1:01.750,BRZ
56,317,Timothy Turner,STREET MOD - RWD,1:01.896,M3
57,126,Jacob Abbott,CLUB TR - RWD,1:02.019,BRZ
58,973,Luke Paglione,CLUB TR - FWD,1:02.263,INTEGRA
59,238,Garrett Gloceri,CLUB TR - RWD,1:02.318,RX-8
60,365,Bill Washburn,TRACK MOD - RWD,1:02.492,CSL
61,464,Nicholas Babin,CLUB TR - RWD,1:02.536,MX-5 MIATA
62,76,Ethan Brown,STREET MOD - FWD,1:03.246,GOLF GTI
63,401,Sean Sullivan,STREET - FWD,1:03.247,GOLF GTI
64,738,Ian Johnson,CLUB TR - RWD,1:03.279,RX-8
65,145,Devin Hofmann,STREET MOD - AWD,1:03.324,WRX
66,924,Dave Pratte,STREET MOD - RWD,1:03.813,MX-5 MIATA
67,614,Mark Riehle,CLUB TR - FWD,1:03.853,COOPER
68,58,Grant White,STREET MOD - RWD,1:03.859,MUSTANG
69,959,James Wood,TRACK MOD - RWD,1:04.201,RX-7
70,21,Devin Herndon,STREET - AWD,1:04.310,IMPREZA
71,507,Vincent Nardone,CLUB TR - RWD,1:04.492,3 SERIES
72,915,Dylan Rodgers,CLUB TR - RWD,1:04.567,MX-5 MIATA
73,134,David Best,SUNDAE CUP - FWD,1:04.988,FIT
74,411,Chris Rice,SUNDAE CUP - FWD,1:05.145,FIT
75,370,Sam Deuling,SUNDAE CUP - FWD,1:05.501,FIT
76,412,Austin Obrien,SUNDAE CUP - FWD,1:05.822,FIT
77,181,Joseph King,SUNDAE CUP - FWD,1:05.893,PROTEGE
78,861,Grant Bourne,CLUB TR - RWD,1:06.142,86
79,981,Tim Pforzheimer,SUNDAE CUP - FWD,1:06.910,FIT
80,216,Nickolas Berg,SUNDAE CUP - FWD,1:06.951,CIVIC
81,744,Ian Stone,SUNDAE CUP - FWD,1:07.261,FIT
82,322,Justin Okamoto,CLUB TR - RWD,1:07.382,318I
83,416,Scott Merrick,STREET - RWD,1:07.480,RX-7
84,545,Danny Kruger,SUNDAE CUP - FWD,1:07.527,FIT
85,369,Igor Kesilyov,STREET GT - AWD,1:07.612,MODEL S
86,808,Lucas Schaar,SUNDAE CUP - FWD,1:07.693,YARIS
87,325,Nate Hoopes,STREET GT - RWD,1:08.089,1 SERIES
88,818,Jonny Grunwald,TRACK MOD - RWD,1:14.267,RX-7
89,523,Sean Condon,CLUB TR - RWD,1:15.251,3 SERIES
90,252,Adam Korince,SUNDAE CUP - FWD,1:16.878,FIT
