TrackBattle Overall Results (all groups),,,,,
Pos,No.,Name,Class,Best Time/Heat,Model/Engine
1,714,Sasha Anis,UNLIMITED - RWD,50.686,350Z
2,500,Steven Luca,UNLIMITED - RWD,52.533,MUSTANG
3,335,Evan Slater,UNLIMITED - RWD,53.636,944
4,606,Allen Patten,STREET MOD - RWD,53.887,GR SUPRA
5,27,Brad Perkins,TRACK MOD - RWD,54.666,M3
6,29x,Kyle Mckiou,TRACK MOD - RWD,54.699,GR SUPRA
7,29,Kyle Mckiou,STREET MOD - RWD,55.105,GR SUPRA
8,490,Peter Liu,STREET MOD - RWD,56.056,GR SUPRA
9,82,Jaime Santos,STREET MOD - RWD,56.19,135I
10,150,Alex Moss,STREET MOD - RWD,56.261,S2000
11,34,Andy Voelkel,STREET GT - RWD,56.311,CORVETTE
12,212,Chris Smith,TRACK MOD - RWD,56.336,1 SERIES
13,220,Jesse Echanique,TRACK MOD - AWD,56.709,ECLIPSE
14,307,Andy Hsiao,TRACK MOD - RWD,56.74,CORVETTE
15,33,Chris Boersma,TRACK MOD - FWD,56.87,CIVIC
16,84,Ido Waksman,STREET GT - RWD,57.072,CORVETTE
17,14,Kal Fortner,STREET MOD - RWD,57.153,AMG GT S
18,404,David Bamforth,TRACK MOD - RWD,57.238,CAYMAN
19,269,Shawn Bassett,UNLIMITED - RWD,57.402,240Z
20,525,Jeremy Lowder,UNLIMITED - RWD,57.47,CAMARO
21,89,Brandon Hodge,TRACK MOD - RWD,57.505,GR SUPRA
22,63,Luca Barberis,STREET - AWD,57.65,LANCER
23,514,Evan Mclaren,CLUB TR - FWD,57.754,INTEGRA
24,4,Kevin Parlett,UNLIMITED - RWD,57.781,G35
25,471,Sylvain Toupin,UNLIMITED - RWD,57.835,300ZX
26,632,Chris Ferraro,UNLIMITED - RWD,57.839,M3
27,555,Joe Mielke,STREET - AWD,57.95,WRX STI
28,330,James Houghton,CLUB TR - FWD,58.009 DQ,CSX
29,633,Nathan Geyer,UNLIMITED - RWD,58.041,M3
30,511,Peter Granberg,CLUB TR - RWD,58.061,BRZ
31,114,Bronson Mcnemar,TRACK MOD - RWD,58.081,MX-5 MIATA
32,550,Christian Aranha,STREET GT - RWD,58.154,CAMARO
33,275,Steven Mahadeo,TRACK MOD - FWD,58.2,CIVIC
34,146,Rob Dahm,TRACK MOD - RWD,58.275,RX-7
35,187,Keenan Prusank,STREET GT - RWD,58.279,CAMARO
36,176,Cody Hunt,STREET MOD - RWD,58.39,CORVETTE
37,71,Kevin Horn,STREET GT - RWD,58.522,CAMARO
38,727,Mario Mirone,CLUB TR - FWD,58.658,CIVIC
39,700,Paul Jaquish,TRACK MOD - AWD,58.693,TALON
40,2,Connor Gallagher,STREET GT - AWD,58.886,GT-R
41,256,Drew Vosk,STREET GT - RWD,58.948,GR SUPRA
42,50,Azmath Mohammed,CLUB TR - RWD,59.46,MR2
43,230,Daniel Persing,CLUB TR - RWD,59.491,BRZ
44,470,Eddy Segal,STREET - FWD,59.568,CIVIC
45,281,Randy Reeves,STREET MOD - RWD,59.629,MX-5 MIATA
46,369,Igor Kesilyov,STREET GT - AWD,59.698,MODEL S
47,427,Daley Pagano,STREET GT - RWD,59.771,M4
48,925,Evan Motl,CLUB TR - RWD,59.811,S2000
49,991,Michael Budai,CLUB TR - FWD,59.876,CIVIC
50,80,Chris Nahill,CLUB TR - RWD,59.907,BRZ
51,317,Timothy Turner,STREET MOD - RWD,59.917,M3
52,800,Joel Fallaise,UNLIMITED - RWD,1:00.215,SCR1
53,565,Mark Brylo,STREET - AWD,1:00.275,LANCER
54,825,Team JZ Motorsports,STREET - FWD,1:00.338,CIVIC
55,53,Benson Tai,STREET - RWD,1:00.536,S2000
56,994,Nathan Brown,STREET - FWD,1:00.538,GTI
57,69,Cody Umbaugh,STREET - FWD,1:00.679,CIVIC
58,997,Jason Gaydos,CLUB TR - RWD,1:00.685,BRZ
59,241,Dariush Lotfi,CLUB TR - RWD,1:00.907,MX-5 MIATA
60,218,Jason Mulderig,CLUB TR - RWD,1:00.960,S2000
61,575,Clay Davidson,STREET MOD - RWD,1:00.967,MUSTANG
62,365,Bill Washburn,TRACK MOD - RWD,1:01.046,CSL
63,126,Jacob Abbott,CLUB TR - RWD,1:01.143,BRZ
64,174,Nick Green,CLUB TR - FWD,1:01.144,FIT
65,238,Garrett Gloceri,CLUB TR - RWD,1:01.162,RX-8
66,464,Nicholas Babin,CLUB TR - RWD,1:01.300,MX-5 MIATA
67,194,Mike Callaway,STREET - AWD,1:01.336,IMPREZA
68,145,Devin Hofmann,STREET MOD - AWD,1:01.356,WRX
69,198,Bruce Yhun,CLUB TR - FWD,1:01.550,CIVIC
70,76,Ethan Brown,STREET MOD - FWD,1:01.619,GOLF GTI
71,58,Grant White,STREET MOD - RWD,1:01.813,MUSTANG
72,973,Luke Paglione,CLUB TR - FWD,1:02.263,INTEGRA
73,959,James Wood,TRACK MOD - RWD,1:02.471,RX-7
74,614,Mark Riehle,CLUB TR - FWD,1:02.623,COOPER
75,861,Grant Bourne,CLUB TR - RWD,1:02.648,86
76,738,Ian Johnson,CLUB TR - RWD,1:02.666,RX-8
77,507,Vincent Nardone,CLUB TR - RWD,1:03.141,3 SERIES
78,401,Sean Sullivan,STREET - FWD,1:03.227,GOLF GTI
79,915,Dylan Rodgers,CLUB TR - RWD,1:03.381,MX-5 MIATA
80,21,Devin Herndon,STREET - AWD,1:03.498,IMPREZA
81,924,Dave Pratte,STREET MOD - RWD,1:03.813,MX-5 MIATA
82,411,Chris Rice,SUNDAE CUP - FWD,1:04.160,FIT
83,181,Joseph King,SUNDAE CUP - FWD,1:04.199,PROTEGE
84,134,David Best,SUNDAE CUP - FWD,1:04.397,FIT
85,370,Sam Deuling,SUNDAE CUP - FWD,1:04.496,FIT
86,216,Nickolas Berg,SUNDAE CUP - FWD,1:04.553,CIVIC
87,412,Austin Obrien,SUNDAE CUP - FWD,1:05.045,FIT
88,545,Danny Kruger,SUNDAE CUP - FWD,1:05.512,FIT
89,981,Tim Pforzheimer,SUNDAE CUP - FWD,1:06.057,FIT
90,416,Scott Merrick,STREET - RWD,1:06.346,RX-7
91,744,Ian Stone,SUNDAE CUP - FWD,1:06.519,FIT
92,808,Lucas Schaar,SUNDAE CUP - FWD,1:06.627,YARIS
93,322,Justin Okamoto,CLUB TR - RWD,1:06.958,318I
94,325,Nate Hoopes,STREET GT - RWD,1:07.237,1 SERIES
95,818,Jonny Grunwald,TRACK MOD - RWD,1:08.108,RX-7
96,252,Adam Korince,SUNDAE CUP - FWD,1:09.222,FIT
97,732,Chris Johnson,UNLIMITED - RWD,1:09.461,SKYLINE GTR
98,993,Samuel Miller,SUNDAE CUP - RWD,1:11.115,MX-5 MIATA
99,523,Sean Condon,CLUB TR - RWD,1:12.959,3 SERIES
100,257,Thomas Austin,STREET - AWD,1:39.372,IMPREZA
